title,desc
"TelkomGroup Donasi Hampir Rp40,7 Miliar Bagi Masyarakat Terdampak Covid-19","Selain berdonasi, TelkomGroup juga terima bantuan dari Menteri BUMN."
KPK: Bencana dan Korupsi Saling Berimpitan,KPK membentuk tim khusus untuk mengawal dan mengawasi proses percepatan penanganan virus Corona (Covid-19) dalam hal penggunaan anggaran untuk PBJ.
"Pasien RS Wisma Atlet Rabu 20 Mei: 755 Positif Corona, 188 PDP",Sementara untuk pasien yang keluar dari RS Darurat Wisma Atlet mencapai 1.657 orang.
BMKG: Hujan di Jabodetabek Hari Ini Dalam Kategori Normal,"Hujan dan angin kencang terjadi di sejumlah wilayah di Jakarta, Rabu (20/5/2020) sore. Salah satunya di wilayah Pulogebang, Cakung, Jakarta Timur."
Ketua Gugus Tugas: 124 Kabupaten/Kota Nihil Kasus Positif Corona,"Kendati belum ada kasus, Doni mengatakan 124 kabupaten/kota tersebut belum bisa dipastikan 100 persen aman dari Corona."
"Perppu Corona Sudah Jadi UU, Pemohon Uji Materi Serahkan Sepenuhnya ke Hakim MK","Ketua Majelis Hakim uji materi Perppu Corona, Anwar Usman menyampaikan akan menampung dan membahas permintaan pemohon dalam Rapat Permusyawaratan Hakim (RPH)."
Jokowi: Kita Harus Mampu Hasilkan Vaksin hingga Luncurkan Produk Penanganan Corona,"Jokowi berharap, Indonesia dapat menemukan vaksin virus Corona Covid-19."
Doa Niat Zakat Fitrah untuk Diri Sendiri dan Orang Lain,Begini doa dan niat pembayaran zakat fitrah yang sudah bisa dilakukan hingga sebelum Hari Raya Idul Fitri.
Kepala Bappenas: Tes Masif Covid-19 di Indonesia Termasuk yang Rendah di Dunia,Suharso mengatakan Indonesia masih dibawah Malaysia.
Panglima TNI Pimpin Sertijab Kepala Staf Angkatan Udara,Pengangkatan Marsekal Fadjar Prasetyo sebagai KSAU berdasarkan Keputusan Presiden RI Nomor 33/TNI/Tahun 2020 tertanggal 18 Mei 2020.
"Ramai di Medsos Jakarta Hujan Badai, Ini Penjelasan BMKG","Dwikorita menganggap, penyebutan hujan badai yang ramai disampaikan masyarakat di media sosial merupakan istilah yang kurang tepat."
Arus Balik Usai Idul Fitri Jadi Ancaman Baru Penyebaran Covid-19 di Jakarta,"Menurut dia, masyarakat yang kembali ke Jakarta dari daerah-daerah yang menjadi pusat penyebaran virus corona dapat menjadi carrier."
"Wagub DKI: Selama Belum Ada Vaksin, Kita Harus Berdamai dan Berdansa dengan Corona","Menurut Wagub DKI tersebut, adanya pandemi Covid-19 mau tidak mau masyarakat dituntut menjalani pola hidup baru, terutama dari segi kebersihan."
"Gempa Magnitudo 5,3 Guncang Melonguane Sulut","Gempa tersebut terjadi pukul 19.45 WIB, Rabu (20/5/2020)."
BMKG: Gempa Hari Ini Guncang Lombok Utara NTB,Gempa menggetarkan pada pukul 07:23:55 WIB.
"Cegah Mudik Lokal, Dishub DKI Identifikasi Warga Lewat Pakaian Saat Lebaran",Dia juga mengatakan pihaknya akan melakukan pengawasan kepada masyarakat yang teridentifikasi melakukan mudik dari pakaian yang dikenakan.
"FOTO: Selama 26 Hari, Polda Metro Jaya Paksa Putar Balik 20 Ribu Kendaraan","Sejak 24 April sampai 19 Mei 2020, Direktorat Lalu Lintas (Ditlantas) telah memutarbalikkan 20.972 kendaraan mudik Lebaran yang hendak meninggalkan Jabodetabek."
Jaksa Kejari DI Yogyakarta Divonis 4 Tahun Penjara,Hakim menyatakan jaksa Eka Safitri terbukti melanggar Pasal 11 Undang-Undang Pemberantasan Korupsi juncto Pasal 55 Ayat 1 ke-1 KUHP juncto Pasal 64 Ayat 1 KUHP.
Menristek: Daya Tular Covid-19 20 Kali Lebih Kuat Dibanding SARS,"Penyebaran virus asal Wuhan, China itu begitu cepat sehingga kehadirannya menjadi ancaman besar bagi seluruh negara, termasuk Indonesia."
Doni Monardo: 81 Persen Masyarakat Ingin Segera Akhiri PSBB,Doni mengaku prihatin melihat masih banyaknya masyarakat yang beraktivitas di luar rumah di masa PSBB.
"H-7 Lebaran, Satpol PP Jakbar Pantau Pusat Perbelanjaan dalam Menerapkan PSBB","Ivand menanggapi fenomena membeludaknya pembeli di satu pusat belanja di kawasan Meruya, Kembangan Jakarta Barat."
Motor Listrik Bertanda Tangan Jokowi Laku Dilelang Rp 2.5 M di Konser Virtual Lawan Corona,Proses lelang motor listrik yang dipandu oleh pembawa acara Choky Sitohang dan Andy F. Noya itu berlangsung seru dan alot.
"Bareng GKC Jokowi, Sandiaga Bagi-Bagi Sembako di Jakarta Selatan",Sandi menyusuri gang-gang kecil menuju pemukiman warga yang akan diberikan bantuan sembako.
Ketua KPK: Baca Buku Dapat Bentuk Karakter dan Integritas,"Ia mengatakan jujur, miris, dan pilu melihat kebiasaan membaca dan menulis mulai ditinggalkan, tergerus perkembangan zaman dan kemajuan teknologi."
"The New Normal, Skenario Instruksi BUMN yang Siap Dijalankan Telkom Pasca Lebaran",Telkom berkomitmen penuh untuk mendukung segala upaya KBUMN maupun pemerintah dalam menanggulangi dan memutus mata rantai penyebaran Covid-19.
Senyum Semringah Anak-Anak Yatim dapat Santunan di Tengah Pandemi Covid-19,"Bersama kaum dhuafa yang juga ikut hadir, para anak yatim dan anggota komunitas memanjatkan doa dan berzikir bersama, memohon agar pandemi Corona ini bisa segera berakhir."
"VIDEO: Curi Motor Bareng, Wanita Ditinggal Kabur Pacar Saat Ditangkap Warga","Tak sendiri, seorang wanita bersekongkol bersama pacarnya untuk mencuri sepeda motor. Namun, sang pacar kabur meninggalkan wanita tersebut usai terciduk warga."
Potret Sesaknya Pasar Anyar Bogor Jelang Lebaran di Tengah Wabah Corona,"Sebuah video yang menunjukkan sesaknya Pasar Kebon Kembang, Kota Bogor oleh pengunjung di tengah pandemi Corona, viral."
"2 Batita di Solo Positif Corona, Diduga Tertular Jemaah Tarawih",Dua pasien baru positif Corona di Kota Solo masih berusia di bawah tiga tahun atau batita. Satu pasien berumur 1 tahun dan satu pasien lainnya berusia 2 tahun.
"Camat Tanah Abang: Pasar Ditutup, Tapi Pedagang Berjualan di Trotoar","Camat Tanah Abang, Yassin Passaribu menyatakan saat ini kawasan Pasar Tanah Abang, Jakarta Pusat masih belum beroperasi. Namun, sejumlah pedagang berjualan di trotoar depan pasar."
"Kampanye Nasional Aksi Bersama untuk Sesama Resmi Diluncurkan, Ini Kolaborasi Tiap Daerah",Peluncuran Aksi Bersama Bantu Sesama secara daring ini dihadiri oleh 431 peserta konferensi virtual serta 580 pemirsa yang mengikuti secara langsung di kanal YouTube ICCN.
"VIDEO: Abaikan PSBB, PKL Kembali Penuhi Pasar Tanah Abang","Masyarakat memadati lapak pedagang kali lima (PKL) di Pasar Tanah Abang, Jakarta Pusat seminggu jelang lebaran. Suasana kawasan Pasar Tanah Abang padat dijejali warga ketika Jakarta menerapkan PPSBB sebagai dampak wabah virus corona."
"Pandemi Corona, Masjid di Menteng Jakpus Ini Sediakan Layanan Jemput Zakat","Masjid Umar Ibnu Abdul Aziz di RT 005/RW 012, Kelurahan Menteng Dalam, Jakarta Selatan menyediakan layanan jemput zakat setiap hari selama ramadan."
Bandara Soekarno-Hatta Siapkan Protokol Antisipasi Pemberlakuan The New Normal,PT Angkasa Pura II (Persero) menyiapkan protokol guna mengantisipasi skenario The New Normal di tengah pandemi COVID-19.
"Tingkat Pelanggaran PSBB Tinggi Jelang Lebaran, Pemkab Ciajur Batasi Pertokoan Hanya Buka 4 Jam","Plt Bupati Cianjur, Herman Suherman mengatakan menjelang berakhirnya PSBB parsial dua hari ke depan, tingkat pelanggaran yang dilakukan warga semakin tinggi."
"Jelang Lebaran Warga Bogor Serbu Pasar untuk Beli Baju, Bima Arya Geram","Bogor masih memberlakukan PSBB untuk mencegah penyebaran Corona. Namun, warga menyerbu Pasar Kebon Kembang pada hari ini. Bima Arya pun geram."
KPK Benarkan Gelar OTT di Kemendikbud,Kegiatan berawal dari dugaan akan adanya penyerahan sejumlah uang yang diduga dari pihak Rektor UNJ kepada pejabat di Kemendikbud.
"Di Sidoarjo, Pelangar PSBB yang Bandel Disanksi Ikut Makamkan Jenazah Pasien Corona",Forum Koordinasi Pimpinan Daerah Sidoarjo punya cara unik menyadarkan pelanggar kebijakan Pembatasan Sosial Berskala Besar (PSBB).
"Achmad Yurianto: WHO Mengatakan Corona Sulit Hilang, Biasakan Hidup Sehat","Juru bicara pemerintah untuk penanganan Covid-19, Achmad Yurianto meminta masyarakat untuk terus terbiasa dengan kehidupan yang mengacu pada protokol kesehatan dalam kehidupan sehari-hari."
"Bentrok Anggota Dua Ormas di Bekasi, 4 Motor Dibakar","Kombes Pol Wijonarko menerangkan, bentrokan melibatkan Ormas Pemuda Pancasila dengan Persaudaraan Setia Hati Terate (PSHT)."
"Beroperasi di Hari Lebaran, KRL Hanya Melayani Sektor Pengecualian PSBB",Jam operasional mulai pukul 05.00-08.00 WIB pada pagi hari dan pukul 16.00-18.00 WIB pada sore hari di seluruh lintas perjalanan.
Polisi: Paling Banyak Pelanggaran Mudik Terjadi di Jalur Tikus,Polisi belum memberikan rincian berapa banyak kendaraan yang mudik melalui jalur arteri maupun jalur tikus.
