descs,class
1118 rute jakarta kota bogor sempat perjalanan krl itu kini sudah normal pt kereta commuter indonesia memohon maaf atas kendala operasional krl ka 1118 relasi jakarta kota bogor yang anjlok di km 1 200 antara jakarta kota stasiun jayakarta pukul 14 28 wib hingga saat ini petugas dari pt kci dan pt kai daop 1 jakarta tengah berupaya menangani kendala tersebut kereta penolong atau nr juga sudah berada di lokasi untuk mempercepat proses evakuasi kata vp corporate communications pt kci anne purba dalam keterangan tertulis selasa 25 2 2020 pada pukul 16 54 wib kereta anjlok ini sudah tertangani kereta itu dievakuasi ke dipo krl bukit duri kendala operasional krl ka 1118 relasi jakarta kota bogor yang terjadi pada pukul 14 28 wib tadi sudah berhasil diatasi oleh petugas dari pt kci dan pt kai daop 1 jakarta kereta yang sebelumnya mengalami kendala telah dievakuasi ke dipo krl bukit duri setelah evakuasi kereta petugas juga telah memastikan seluruh prasarana perkeretaapian dapat kembali dilintasi kereta dengan aman mulai pukul 16 54 wib kata anne meski demikian anne mengatakan perlu waktu mengurai antrean ka petugas terus bekerja usai kendala operasional tersebut perjalanan krl lintas bogor depok jakarta kota pp dan cikarang bekasi jakarta kota pp saat ini telah berangsur normal namun masih perlu waktu untuk mengurai antrean kereta yang sebelumnya terjadi ujarnya,neutral
128 personel disiagakan dalam rangka pencegahan penyebaran covid 19 mereka bertugas mensosialisasikan pola hidup bersih dan sehat social distancing termasuk juga memberikan bantuan penyemprotan disinfektan penyemprotan cairan disinfektan di sentra sentra tempat ibadah tempat tempat strategis fasilitas umum mako polda rumah rumah dinas dan rumah pejabat pemprov lampung kata kabid humas polda lampung kombes zahwani pandra arsyad dalam keterangan tertulisnya jumat 19 3 2020 pandra menuturkan personel polda lampung telah melakukan penyemprotan disinfektan di rumah gubernur wakil gubernur dan sekda lampung dia kemudian mengatakan polda lampung juga telah melakukan kegiatan latihan atau simulasi penanganan pasien corona jadi simulasi untuk melihat kesiapan personel polda lampung terkait upaya pencegahan pandemi covid 19 mulai dari perkenalan alat alat khusus subden kimia biologi radioaktif kbr ujar pandra alat alat kbr yang dimaksud antara lain alat pelindung baju level a 6 unit level b 15 unit dan level c 10 unit serta masker kbr 42 unit kemudian diperkenalkan juga alat dekontaminasi alat dekontaminasi baik untuk personal maupun massal yang terdiri dari tenda dekontaminasi 2 unit personal dekontaminasi shower 1 unit mobil dekontaminasi 2 unit sanijet machine 2 unit papar dia sebelumnya kepala dinas kesehatan kadinkes lampung reihana mengkonfirmasi satu pasien dalam pengawasan pdp di lampung positif covid 19 pasien merupakan pria berumur 62 tahun asal bandarlampung sementara itu ada dua pdp berusia balita hingga saat ini dinkes pemprov lampung masih menunggu hasil tes corona dua balita tersebut dari litbangkes kemenkes,positive
234 anak milenial banyuwangi melakukan flashmob tarian jaranan buto di lapangan kradenan purwoharjo anak anak yang masih duduk di bangku sd hingga sma itu membawakan tari dengan apik nan kolosal tak seperti tari jaranan buto pada umumnya flashmob kali ini dipenuhi dengan improvisasi dari sisi koreografi begitu pula pada sisi musikalisasi yang mendapat sentuhan pop guna mendukung alur cerita yang ditampilkan,positive
241 warga negara indonesia wni yang dievakuasi sudah dari wuhan china sudah tiba di bandara hang nadim batam memastikan semua wni yang tiba telah dinyatakan sehat semua wni yang dijemput dalam evakuasi kemanusiaan ini dipastikan semuanya dinyatakan sehat melalui prosedur kesehatan sesuai standar who world health organization kata juru bicara presiden fadjroel rachman dalam pesan singkatnya minggu 2 2 2020 fadjroel mengatakan proses evakuasi kemanusiaan dan transit observasi dilakukan berdasarkan inpres no 4 tahun 2019 proses tersebut dilakukan di bawah koordinasi menko polhukam mahfud md dan menko pmk muhadjir effendi terimakasih sebesar besarnya kepada seluruh rakyat indonesia yang dengan tulus ikhlas menunjukkan nilai perikemanusiaannya dalam menyambut pulang 245 wni saudara sebangsa setanah air kita sekali lagi marilah kita bergotong royong bahu membahu menghadapi dan melewati masa masa sulit ini demi nilai perikemanusiaan yang melekat dalam diri kita semua selamat kembali ke tanah air tercinta indonesia tuturnya sebelumya warga negara indonesia wni sudah tiba di bandara hang nadim batam wni tiba di batam kemudian berpindah rangkaian ke pesawat milik tni angkatan udara au untuk berangkat ke natuna kepulauan riau kepri pesawat batik air yang mengangkut para wni tiba di bandara hang nadim sekitar pukul 08 50 wib terlihat tim medis dari kementerian kesehatan kemenkes dan medis dari otoritas bandara ikut membantu wni yang hendak dievakuasi ke pesawat tni au,neutral
ac milan menunggu jawaban bekas bintangnya untuk ditunjuk menjadi direktur olahraga hal itu disampaikan oleh bos milan ivan gazidis kepada awak media seperti dilansir rabu 29 mei 2019 posisi tersebut ditinggalkan oleh leonardo yang pergi bersama pelatih gennaro gattuso menyusul kegagalan rossoneri masuk ke babak kwalifikasi liga champions tahun depan sebelumnya direktur lille luis campos dibidik untuk menduduki posisi tersebut namun gazidis menegaskan bahwa pihaknya memutuskan menunjuk mantan pemain besar milan maldini sebagai direktur strategi olahraga dan pengembangan tim meskipun demikian milan tetap memberikan tenggang waktu kepada maldini untuk mengambil keputusan mantan pemain belakang dan kapten tim itu memecahkan rekor merumput di milan dia tampil sebanyak 902 kali selama 24 tahun di san siro saya mengagumi maldini kata gazidis kepada dia mewakili nilai nilai dan budaya klub kalian melihat maldini sama dengan melihat milan mengenai gattuso yang meninggalkan klub gazidis mengatakan dia punya rencana memanggil maldini guna membantu milan di bidang kepelatihan untuk mengisi kekosongan pelatih penunjukan pelatih harus dilakukan hati hati ujar gazidis saya tidak mempersoalkan usia atau kewarganegaraannya yang penting dia cocok dengan apa yang kita inginkan dan mau membangun tim,neutral
acara penahbisan uskup ruteng tetap digelar pemerintah provinsi nusa tenggara timur ntt sudah melakukan pengecekan ke lokasi acaranya tetap berlanjut sudah berlanjut kata staf khusus gubernur ntt samuel pakereng saat dimintai konfirmasi kamis 19 3 2020 dia mengatakan acara digelar dengan tetap memperhatikan imbauan waspada terhadap penyebaran wabah covid 19 di lokasi acara para peserta dites suhu badannya jadi kalau yang tadi kami cek ke sana seluruh umat diukur suhu badan waktu masuk ujar dia acara ini digelar sebagai penahbisan mgr siprianus hormat sebagai uskup ruteng siprianus hormat ditunjuk paus fransiskus untuk menggantikan mgr hubertus leteng siprianus hormat akan ditahbiskan oleh kardinal ignatius suharyo dari siaran langsung yang dilihat di youtube tampak jemaat memenuhi ruangan acara ini sempat diimbau untuk ditunda terkait mewabahnya virus corona jokowi berkali kali mengingatkan masyarakat untuk menghindari keramaian sebagai antisipasi penyebaran oleh karena itu salah satu kebijakannya ialah belajar dan bekerja di rumah kebijakan belajar di rumah kebijakan bekerja di rumah dan kebijakan beribadah di rumah jangan sampai kebijakan ini dilihat sebagai sebuah kesempatan untuk liburan saya lihat satu minggu kemarin di pantai carita di puncak lebih ramai dari biasanya sehingga hal ini akan memunculkan sebuah keramaian yang berisiko memperluas penyebaran covid 19 kata jokowi saat memimpin rapat terbatas seperti ditayangkan dalam laman youtube sekretariat presiden kamis 19 3 2020 dia juga meminta masyarakat mengikuti anjuran pemerintah terkait di tengah pandemi virus corona covid 19 sejumlah tempat keramaian diimbau untuk dihindari untuk mencegah penularan saya minta diterapkan secara ketat menjaga jarak di area publik termasuk dalam transportasi publik seperti di bandara stasiun kereta api stasiun bus untuk cegah penularan ujar dia,neutral
ada beberapa alasan untuk mengubah gaya rambut misalnya pasca putus cinta pekerjaan baru atau hanya ingin kembali ke gaya rambut sebelumnya perubahan gaya rambut dialami dia menambahkan beberapa warna rambut pink pada rambut pirangnya aktris pemeran tokoh arya stark dalam serial ini punya alasan khusus mengubah gaya rambutnya menurut maisie williams ini adalah caranya menunjukkan kebebasan tak hanya perannya di game of thrones berakhir di musim terakhir ini tapi industri secara keseluruhan saya mengecatnya karena saya tidak ingin bekerja kata williams dalam wawancaranya dengan majalah rolling stones ini cara yang cukup bagus untuk menghentikan itu dan rasanya sangat baik aku telah berjuang sepanjang masa remajaku dengan mencoba memberi cap pada penampilanku tetapi juga menjadi kanvas kosong sebagai aktor sementara untuk pilihan warna pink itu adalah warna favorit aktris kelahiran 15 april 1997 meskipun pada awalnya maisie williams tak menyukai warna pink saya sangat menyukai pink selama ini saya berpura pura bahwa warna favorit saya adalah hijau saya pikir saya bukan seorang feminis jika warna favorit saya adalah pink ujarnya seperti dilansir dari laman refinery29 maisie williams pertama kali terlihat dengan rambut berwarna pink pada novemer lalu dia bukan satu satunya aktris serial game of thrones yang mengubah penampilan setelah menyelesaikan syuting musim terakhir emilia clarke juga mengubah rambutnya menjadi pixie bahkan kit harington melepaskan ikal ikonik jon snow sahabat maisie williams belum memamerkan perubahan rambut besar apa pun tetapi dia mengaku terinspirasi dengan warna rambut williams maisie williams mewarnai rambutnya merah muda cerah dan saya menyukainya jadi saya berpikir warna pastel seperti hijau atau biru katanya kepada refinery29,neutral
ada beberapa cara yang bisa kita lakukan misalnya dengan tidur cukup minimal 7 jam mengurangi stres rajin mencuci tangan hingga mengonsumsi makanan yang bernutrisi ada beberapa jenis makanan yang bisa kita konsumsi untuk memperkuat tentara tubuh dalam melawan patogen yang masuk makanan yang biasanya dikonsumsi hangat hangat ini memang sudah lama dikenal sebagai obat flu yang ampuh sup yang terdiri dari daging ayam dan berbagai sayuran ini bernutrisi tinggi dan mengandung air dua hal yang dibutuhkan untuk mempercepat penyembuhan sakit probiotik sering disebut juga sebagai bakteri baik dalam usus mikroorganisme yang bermanfaat ini merupakan pertahanan pertama dalam usus dan juga melindungi seluruh organ dalam sebelum ada patogen yang ikut masuk dalam aliran darah makanan yang kaya antara lain yogurt tanpa gula kefir miso hingga kombucha walau di pasaran ada suplemen probiotik tapi ahli nutrisi lebih merekomendasikan dalam bentuk makanan yang utama protein hewani tanpa lemak dan juga protein nabati juga akan meningkatkan daya tahan tubuh dengan cara melancarkan proses pergantian sel jika kita sedang menghindari penyakit flu atau mempercepat pemulihan konsumsi air yang cukup sangatlah penting hindari mengonsumsi jus buah karena hal ini akan membuat lonjakan gula darah sehingga kita akan merasa lebih lelah cairan tubuh harus ditingkatkan untuk melawan infeksi karena itu lebih dianjurkan mengonsumsi tambahan dua gelas air dari asupan minum sehari hari cukupi kebutuhan tubuh akan vitamin terutama d a dan e akan membantu melindungi tubuh dari infeksi dan juga merangsang antibody untuk melawan penyakit demikian juga dengan vitamin a yang banyak terdapat dalam brokoli wortel hingga ubi merah untuk mencukupi kebutuhan tubuh kita memproduksi vitamin ini terutama dari sinar matahari beberapa makanan yang mengandung vitamin d antara lain seafood jamur telur dan makanan yang diperkaya vitamin vitamin e merupakan antioksidan yang membantu menetralisir radikal bebas dalam tubuh asupan vitamin ini yang cukup juga akan membantu tubuh melawan penyakit menular kita bisa mendapatkan vitamin ini dari kacang hazelnut selai kacang serta sayuran hijau,positive
ada berbagai imbauan yang dikeluarkan saat pandemi virus imbauan itu pun berseliweran di percakapan online maupun offline salah satu diantaranya ialah permintaan agar masyarakat menunda perawatan gigi hingga wabah virus corona usai tak sedikit yang menghubungkan konsultasi ke dokter gigi dengan tingginya risiko penularan virus corona namun benarkah demikian seorang dokter gigi sekaligus dosen di universitas airlangga surabaya markus budi rahardjo pun membenarkannya betul bisa saja katanya saat dihubungi tempo co pada minggu 22 maret 2020 ia mengatakan bahwa ini merujuk pada penyebaran virus yang memang terjadi lewat kontak droplets atau percikan saat seseorang pergi ke dokter gigi dan akan melakukan perawatan dia pasti membuka mulut artinya ada kontak langsung dari pasien ke dokter untuk menyebarkan virus lewat air liur risiko ini yang mau diminimalkan katanya meski begitu pria yang akrab disapa budi itu menerangkan bahwa penundaan perawatan gigi hanya diterapkan pada kasus sedang ke ringan contohnya perawatan bau mulut mulut kering merapikan gigi dan memutihkan gigi kalau yang bersifat memperbaiki penampilan itu sebaiknya diundur katanya sedangkan bagi mereka yang dalam keadaan darurat atau sering disebut dengan dental emergency pasien pun tetap diperbolehkan untuk mengunjungi contoh dari dental emergency itu adalah sakit gigi tak tertahankan infeksi atau bengkak dan pendarahan yang tidak dapat berhenti walaupun sudah minum obat itu justru harus memeriksakan diri katanya,positive
ada dua sepeda motor koleksi merpati museum yogyakarta yang merupakan rare item dan termasuk paling langka di dunia dua itu adalah indian type power plus produksi amerika tahun 1916 dan chater lea 1924 keluaran inggris hebatnya dua motor bangkotan itu masih orisinil semua komponennya dan bisa beroperasi laiknya motor normal motor indian 1916 itu mengusung mesin gahar v twin dengan kapasitas mesin 1 000 cc sedangkan chater lea 1924 tersemat mesin berkapasitas 350 cc keduanya dipajang berdampingan mesra di lantai dua museum yang memiliki koleksi 400 motor tua keluaran di atas tahun 1980 itu untuk chater lea itu oleh kolektor dan pecinta motor disebut tinggal satu satunya di dunia namun yang indian mungkin satu satunya di indonesia ujar pemilik dan pendiri merpati museum david sunar handoko kepada tempo di kantornya jalan kh ahmad dahlan yogya sabtu 9 maret 2019 lalu lantas bagaimana bos jaringan dealer motor merpati grup itu mendapatkan dua motor harta karun itu handoko menuturkan jelang akhir tahun 1990 an saat ayah dua anak itu masih getol berburu motor antik seorang kenalannya di jakarta memberitahu jika sejumlah pemukiman kawasan segitiga senen akan dibongkar dan berubah menjadi atrium senen di antara bangunan yang hendak dibongkar saat itu ada sebuah dealer motor tua yang sudah tak beroperasi lagi rupanya dealer motor tua di kawasan segitiga senen itu memiliki semacam gudang bawah tanah yang dipakai menyimpan sejumlah koleksi motor tua yang ditutupi dengan balok balok kayu untuk menyamarkan lokasinya sang pemilik dealer tua itu sengaja menyimpan sejumlah motor tuanya di gudang itu agar tak dijarah tentara jepang pada masa pendudukan dalam gudang itulah terdapat motor motor langka seperti indian 1916 dan juga chater lea 1924 serta beberapa harley davidson saat pemukiman itu jadi dibongkar belasan motor tua dari gudang itu pun ikut dikeluarkan dan diletakkan di pinggir jalanan saya patungan dengan teman lalu beli motor motor itu saya dapat 12 motor dari gudang itu yang di antaranya ya indian 1916 dan chater lea 1924 itu ujar handoko handoko mengaku mendapatkan indian 1916 saat itu seharga rp 16 juta dan untuk chater lea 1924 ia beli senilai rp1 2 5 juta harga dua motor legendaris itu pun hanya senilai yamaha nmax baru handoko menuturkan dua motor langka itu saat ditemukan masih bagus kondisinya sehingga ia tak perlu merogoh kocek banyak untuk membangunnya wong semua fungsinya masih baik ujarnya handoko mengakui sejak dua motor antik itu diboyong dan dipajang di museumnya tak sedikit kolektor yang berminat memiliki namum tak satupun yang sampai bernyali memberikan angka nominal penawaran rata rata yang berminat cuma tanya dijual enggak saya langsung jawab tak akan saya jual jadi mereka langsung stop enggak sampai nawar karena berapa pun itu saya tak jual ujarnya,neutral
