date,title,descs
"Kamis, 19 Mar 2020 11:57 WIB",         Gunung Bromo Ditutup Cegah Penyebaran Corona    ,"Obyek Wisata Bromo Tengger Semeru ditutup. Kebijakan penutupan untuk mencegah penularan virus corona itu ditandatangani Kepala Balai Besar Taman Nasional Bromo Tengger Semeru Malang. Di samping penutupan, BBTNBTS menunda dan membatasi kegiatan penelitian, pendidikan, ekspedisi dan lainnya di Kawasan TNBTS yang melibatkan dan kontak langsung dengan orang banyak. Kepala seksi 1 Taman Nasional Bromo Tengger Semeru Sarmin mengatakan penutupan merujuk pada penetapan pandemi Coivid-19 sebagai bencana nasional oleh presiden. Penutupan juga mengacu surat edaran Kementerian Kehutanan dan lingkungan hidup, surat edaran Dirjen Konservasi sumber daya alam dan ekosistem serta rekomendasi dari Pemkab Probolinggo. ""Pemberlakuan penutupan, mulai berlaku sejak 19-31 Maret 2020,"" ujar Sarmin via selulernya, Kamis (19/3/2020). Sebelumnya Selasa (17/3) di Kantor Dinas Pemuda dan Olahraga Pariwisata dan Kebudayaan, Kabupaten Probolinggo, Kadisporaparbud Sugeng Wiyanto menginstruksikan penutupan seluruh obyek wisata yang ada di kabupaten setempat. Instruksi penutupan menurut Sugeng, menyikapi turunnya surat edaran Bupati Probolinggo tentang kepariwisataan, di mana disebutkan penutupan seluruh objek wisata di Kabupaten Probolinggo dimulai sejak 17 hingga 31 Maret 2020. Sugeng menyampaikan imbauan penutupan tak hanya berlaku bagi obyek wisata di bawah naungan pemerintah Kabupaten Probolinggo, namun juga swasta. Pun demikian dengan objek wisata Gunung Bromo. Pemkab Probolinggo mengimbau agar pengelola wisata Gunung Bromo melalui Resor Cemoro Lawang untuk melakukan penutupan sementara. ""Penutupan ini, berlaku selama 14 hari terhitung mulai 17 hingga 31 Maret 2020. Sampai nantinya dilakukan evaluasi sebelum tanggal 31 Maret 2020,"" jelasnya di Kantor Disporaparbud, Kabupaten Probolinggo. Sugeng melanjutkan bagi pengelola hotel, restoran, dan homestay dan pelaku usaha jasa wisata. Agar dalam memberikan pelayanan wajib mengikuti protokol kesehatan, yang dikeluarkan Dinas Kesehatan Kabupaten Probolinggo. ""Jadi protokol kesehatan itu, yakni penggunaan hand sanitizer dan thermo gun waktu mendeteksi tamu yang datang,"" kata Sugeng. Apabila nantinya diketemukan tamu yang memiliki ciri terjangkit virus Covid-19, Sugeng mengimbau agar pelaku wisata segera mendorong bersangkutan, menghubungi hotline di nomor 112 atau 08113373119."
"Selasa, 17 Mar 2020 21:12 WIB","         Korupsi Jasmas, 3 Mantan Anggota DPRD Surabaya Dituntut 3 Tahun    ","Tiga terdakwa kasus korupsi Jaring Aspirasi Masyarakat (Jasmas) menjalani sidang tuntutan. Ketiga terdakwa dituntut masing-masing 3 tahun dari Jaksa Penuntut Umum (JPU). Para terdakwa itu yakni Ratih Retnowati, Syaiful Aidy dan Dini Rijanti. Ketiga terdakwa yang merupakan mantan anggota DPRD Surabaya periode 2014-2019 itu menjalani persidangan dibagi masing-masing dalam tiga sesi. Jaksa M Fadil membacakan tuntutan terhadap terdakwa Ratih Retnowati yang dilanjutkan pembacaan Syaiful Aidy dan terkhir Dini Rijanti. Adapun tuntutan yang dijatuhkan kepada tiga terdakwa sama yakni 3 tahun penjara. ""Pidana penjara selama 3 tahun dikurangi selama terdakwa berada dalam tahanam sementara dengan perintah agar terdakwa tetap ditahan,"" kata jaksa M Fadil saat membacakan tuntutan di Ruang Candra Pengadilan Tipikor Surabaya, Selasa (17/3/2020). Selain menuntut tiga terdakwa dengan hukuman penjara, jaksa juga membebankan denda masing-masing sebesar Rp 100 juta. Dan jika tidak dibayarkan diganti 6 bulan kurungan. ""Menjatuhkan pidana denda sebesar Rp 100 juta dengan ketentuan apabila pidana denda tersebut tidak dibayar, maka diganti dengan pidana kurungan selama 6 bulan,"" ujar jaksa. Tiga Anggota DPRD Kota Surabaya periode 2014-2019 ditetapkan sebagai tersangka kasus Jasmas 2016. Peran mereka dalam kasus tersebut diduga sama dengan tiga tersangka yang telah ditahan."
"Sabtu, 14 Mar 2020 15:11 WIB","         Cegah Penyebaran Corona, Ini Upaya Polisi Kota Kediri    ","Sebagai langkah antisipasi bertambahnya warga yang terinfeksi  , polisi di Kota Kediri melakukan upaya pencegahan. Polisi menyediakan hand sanitizer dan mengecek suhu tubuh warga di fasilitas umum. Hari ini, Polresta Kediri bersama PT KAI melakukan pemeriksaan suhu tubuh penumpang KAI. Selain memeriksa suhu tubuh, juga diberikan edukasi tentang hidup sehat kepada para penumpang di Stasiun Kediri. Penumpang diminta untuk menggunakan hand sanitizer sebagai sarana cuci tangan. Kapolresta Kediri AKBP Miko Indrayana menjelaskan bahwa kegiatan ini sebagai sarana upaya pencegahan penyebaran virus corona. ""Kami memberikan edukasi kepada masyarakat yang akan menggunakan jasa kereta api khususnya yang berada di stasiun Kediri untuk terus menjaga pola hidup sehat. Salah satunya selalu mencuci tangan setiap selesai beraktivitas. Di Stasiun Kediri sudah disiapkan hand sanitizer di setiap pintu masuk dan keluar stasiun,"" jelas Miko kepada wartawan, Sabtu (14/3/2020). ""Kami berharap upaya yang telah kami lakukan dapat memberi manfaat serta mencegah penyebaran virus . Kami mengimbau kepada masyarakat khususnya di wilayah hukum Polresta Kediri untuk tetap tenang serta jangan termakan informasi yang tidak benar (hoax) tentang virus corona dan tetap beraktivitas seperti biasa namun tetap menjaga kebersihan,"" tegas Miko. Kendati sempat kaget, namun penumpang kereta api baik yang akan turun dan naik kereta api justru merasa terbantu dengan adanya tes suhu tubuh dan pemberian hand sanitizer. ""Kaget awalnya ada apa di stasiun kok ramai polisi, ternyata ada pemeriksaan suhu tubuh dan hand sanitizer, lumayan bagus kami jadi bisa terbantu untuk mengerti kondisi suhu tubuh kami. Dan diberikan pembersih tangan lagi saat turun dari kereta api,"" Jelas Muntoha, salah seorang penumpang kereta api dari Surabaya yang akan ke Nganjuk."
"Sabtu, 14 Mar 2020 08:51 WIB",         Cerita Suami yang Tega Jual Istri Sendiri Gegara Ekonomi    ,"Seorang suami di Surabaya  nya sendiri. Motif ekonomi menjadi penyebab sang suami tega menjual istri. Bagaimana ceritanya? Junatan bingung karena gajinya sebagai office boy sudah tak mencukupi lagi untuk menghidupi istri dan dua anaknya. Pria 40 tahun itu kemudian mengutarakan ide gilanya kepada sang istri. Tentu saja istri yang telah dinikahinya selama 13 tahun itu menolak. Dia tak mau dijual kepada para pria hidung belang. Namun bujukan dengan alasan ekonomi membuat sang istri luluh. Pada Januari lalu, Junatan membuat akun twitter. Di dalam akun itu, pria warga Kampung Malang Tengah, Tegalsari, Surabaya tersebut mengunggah foto dan video istrinya baik seksi maupun telanjang. Caption yang menyertainya adalah ajakan atau tawaran untuk bersetubuh dengan istrinya baik berdua (cuckold) maupun bertiga (threesome). Ternyata, banyak yang tertarik. ""Berdasarkan patroli cyber, kami temukan aktivitas prostitusi di akun media sosial twitter. Kami menemukan akun yang menjual perempuan. Pada kasus ini menjual istrinya sendiri kepada pelanggan,"" ujar Kanit Resmob Polrestabes Surabaya Iptu Arief Wicaksono kepada wartawan, Jumat (13/3/2020). Junatan menawarkan istrinya dengan tarif Rp 1-2,5 juta untuk sekali berhubungan, itu sudah termasuk hotel. Sudah tiga kali Junatan menjual istrinya. Arief mengatakan pada Januari dan Pebruari, pelaku menjual istrinya masing-masing satu kali dengan layanan cuckold. Pada bulan Januari, pelaku menjual istrinya dengan tarif Rp 1 juta. Sementara pada Februari, isrinya dijual Rp 1,5 juta. Sementara pada bulan Maret, pelaku  nya dengan layanan threesome. Pada layanan terakhir sebelum tertangkap ini, pelaku menjual istrinya seharga Rp 2,5 juta. ""Semua perbuatan asusila ini dilakukan di hotel di Surabaya,"" kata Arief. Junatan sendiri digerebek dan ditangkap di salah satu kamar hotel di kawasan Surabaya pusat saat pelaku bertransaksi di dalam hotel. Dari hasil penggerebekan, polisi mengamankan barang bukti berupa bill hotel, tiga buah handphone, celana dalam, alat kontrasepsi, dan uang tunai sebesar Rp 3,6 juta. Atas kejahatan yang dilakukannya, pelaku terancam pasal 506 dan atau pasal 296 KUHP dan atau pasal 2 UU RI no 21 tahun 2007 tentang penghapusan   dengan ancaman hukuman 1 tahun 4 bulan."
"Jumat, 13 Mar 2020 16:48 WIB","         KUR Tembus Rp 1 Triliun, BRI Apresiasi Pertumbuhan Ekonomi Banyuwangi    ","PT Bank Rakyat Indonesia (Persero) Tbk (BRI) mengapresiasi pertumbuhan ekonomi Banyuwangi dalam kurun delapan tahun terakhir. Terlebih, pertumbuhan ekonomi tersebut diiringi dengan tingginya penyerapan dana kredit usaha rakyat (KUR) yang mencerminkan geliat ekonomi usaha mikro, kecil, dan menengah (UMKM). Hal itu diungkapkan Wakil Pemimpin Wilayah BRI Malang, Rahman Arif. Dia mengatakan bahwa saat ini penyerapan KUR di Banyuwangi telah mencapai Rp 1 triliun. Ini adalah angka yang cukup tinggi untuk ukuran kabupaten. ""Kami baru saja bertemu Bupati Banyuwangi Pak Azwar Anas di Banyuwangi. Saya berterima kasih kepada pemerintah daerah yang telah ikut mendorong penyerapan KUR di Banyuwangi. KUR di Banyuwangi tercatat meningkat 15-25 persen, dan trennya naik terus,"" kata Rahman saat dihubungi wartawan, Jumat (13/3/2020). KUR sendiri adalah program pemerintah dengan memberi pembiayaan murah tanpa jaminan dengan bunga hanya 6 persen per tahun. Peningkatan KUR tersebut, kata Rahman, membuktikan bahwa ekonomi kecil di Banyuwangi telah tumbuh dengan pesat. UMKM banyak bermunculan. Hal ini didorong oleh banyaknya inovasi dan beragam agenda festival yang menarik wisatawan berkunjung ke kabupaten tersebut, apalagi Bandara Banyuwangi terus menambah frekuensi rute dari Surabaya dan Jakarta secara langsung. ""Upaya-upaya daerah yang trickle down seperti ini memantik tumbuhnya warung-warung rakyat. Karena banyak wisatawan yang datang, akhirnya masyarakat terdorong untuk membikin usaha. Misalnya, membuat warung di tempat-tempat wisata. Nah di sinilah KUR banyak terserap karena dana ini memang diperuntukkan bagi pelaku usaha kecil. Di samping jaminannya mudah, bunganya juga murah,"" terang Rahman. Rahman juga menyampaikan, portofolio KUR di Banyuwangi dalam kondisi yang baik atau sehat, dengan rasio kredit bermasalah yang rendah. Rahman memastikan pihaknya siap mendukung pertumbuhan ekonomi Banyuwangi, khususnya dalam hal kemudahan akses permodalan bagi UMKM. ""Sebagai bentuk apresiasi, kami pun siap menjadi bagian dari pemerintah daerah untuk menyalurkan KUR di Banyuwangi. Agar kita bisa maju dan berkembang bersama-sama,"" ujarnya. Sementara itu, Bupati Anas mengaku senang dengan tumbuhnya geliat ekonomi masyarakat Banyuwangi. Dengan banyaknya dana KUR yang terserap oleh warga, penciptaan lapangan kerja di Banyuwangi semakin meningkat. ""Inilah yang terus kita dorong agar warga bisa memulai usahanya sendiri, jadi tidak hanya nunggu lowongan kerja. Jika UMKM tumbuh, kesejahteraan warga akan meningkat,"" kata Anas. Anas pun berharap agar sinergi dengan BRI bisa terus dijalin dengan baik. ""Dukungan dari berbagai pihak, termasuk Bank BRI, akan sangat membantu pengembangan Banyuwangi ke depan,"" pungkas Anas."
"Jumat, 13 Mar 2020 15:35 WIB","         Pembuat Tandon Air di Pasuruan Tewas Tersengat Listrik, 4 Lainnya Luka    ","Naas menimpa Mahrus (32), pekerja bangunan di Pasuruan. Warga Dusun Krajan, Desa Tampung, Kecamatan Rembang, Kabupaten Pasuruan, ini tewas tersengat listrik saat membuat tandon air. Musibah yang menimpa korban terjadi saat dia dan 4 temannya memasang penyangga tandon air di rumah Purwoko, Jalan Durian, Perumnas Bugul, Kota Pasuruan, Jumat (13/3/2020). Saat rangka penyangga tandon air diangkat, sebagian besinya terkena aliran listrik kabel pompa air. Seketika korban tersengat listrik dan tewas. ""Posisi korban ini di tengah rangka penyangga bertugas mengangkat, sedangkan 4 orang lainnya ada di luar penyangga yang bertugas menahan. Saat ada sengatan korban bisa menyelamatkan diri. Sementara 4 temannya, Misantono (34), Solikin (60), Basar (36), Sampurno (50), mengalami luka. ""Mereka dalam perawatan di rumah sakit,"" terang Endy. Polisi saat ini masih melakukan penyelidikan peristiwa ini. ""Polsek Bugulkidul sudah olah TKP, memeriksa saksi-saksi dan mengamankan barang bukti,"" pungkas Endy."
"Jumat, 13 Mar 2020 13:21 WIB",         Seorang Suami di Surabaya Diamankan Gegara Jual Istri ke Pria Hidung Belang    ,"Seorang suami di Surabaya  ke para lelaki hidung belang. Sang suami menjual istrinya untuk layanan seksual berdua (cuckold) atau bertiga (threesome). Suami itu adalah Junatan (40), warga Kampung Malang Tengah, Tegalsari, Surabaya. Pelaku menjual istrinya lewat media sosial ""Kami mengamankan satu pelaku. Dia menawarkan istrinya sendiri untuk layanan seksual,"" kata Kanit Resmob Polrestabes Surabaya Iptu Arief Wicaksono kepada wartawan di Mapolrestabes Surabaya, Jumat (13/3/2020). Arief mengatakan terungkapnya kasus  nya ini berkat patroli cyber yang dilakukan oleh Subnit Cyber Resmob Polrestabes Surabaya. Dari hasil patroli itu, petugas menemukan akun medsos yang menawarkan jasa layanan seksual istri untuk pria lain. Akun medsos tersebut mengunggah foto perempuan yang diaku sebagai istri pemilik akun. Jika ada yang tertarik, pria hidung belang bisa mengirimkan pesan dan jika sudah deal, maka bisa dilanjut dengan ketemuan. ""Setelah kami telusuri ada transaksi seperti ini, selanjutnya kami melakukan penyelidikan. Dan pada 10 Maret lalu kita melakukan penangkapan,"" kata Arief. Pelaku digerebek dan ditangkap di salah satu kamar hotel di kawasan Surabaya pusat saat pelaku bertransaksi di dalam hotel. Dari hasil penggerebekan, polisi mengamankan barang bukti berupa bill hotel, tiga buah handphone, celana dalam, alat kontrasepsi, dan uang tunai sebesar Rp 3,6 juta. Atas kejahatan yang dilakukannya, pelaku terancam pasal 506 dan atau pasal 296 KUHP dan atau pasal 2 UU RI no 21 tahun 2007 tentang penghapusan tindak perdangan orang dengan ancaman hukuman 1 tahun 4 bulan."
"Jumat, 13 Mar 2020 12:19 WIB",         Kuasa Hukum Bantah Pendeta Cabuli Jemaat Selama 6 Tahun Karena Fantasi    ,"Seorang   di Surabaya, Hanny Layantara ditetapkan menjadi tersangka kasus pencabulan jemaatnya yang saat itu masih di bawah umur. Hanny disebut melakukan hal ini karena fantasi. Kuasa Hukum Hanny, Jeffry Simatupang menegaskan kliennya melakukan pencabulan, bukan pemerkosaan. Hal ini juga bukan atas dasar fantasi karena melihat korban sudah dewasa. ""Pada hari ini disampaikan bahwa motif klien kami melakukan tindakan tersebut adalah 1 sampai 3 tadi menyebutkan. Salah satunya, karena fantasilah, karena korban sudah terlihat dewasa. Bagi kami begini, psikiatris dan kliennya, atau klien kami, itu memiliki kode etik, itu rahasia dan itu tidak boleh dibuka ke publik. Karena Ada UU dan kode etik praktik kedokteran,"" ungkap Jeffry saat dikonfirmasi di Surabaya, Jumat (13/3/2020). Jeffry juga menganggap kasus ini sudah kedaluwarsa karena baru dilaporkan 14 tahun setelah kejadian yang berlangsung di tahun 2006. Selain itu, Jeffry juga mempertanyakan alat bukti apa yang membuat kliennya telah ditetapkan sebagai tersangka pencabulan. Padahal, kasus ini disebut telah lama terjadi. ""Kalau dalam pencabulan kan alat buktinya susah, yang jadi masalah adalah pada beban pembuktian, bukan di kami. Tapi beban pembuktian ada di pelapor ya nanti diwakili oleh jaksa penuntut umum. Kalau memang kasus ini dinyatakan alat bukti nya ini cukup segera limpahkan ke pengadilan, kami siap menghadapinya,"" papar Jeffry. ""Tapi kalau memang kasus ini tidak ada alat buktinya jangan dipaksakan dong. Kalau memang tidak ada bukti atau pun kurang alat bukti, ya tunggu statusnya jangan dinaikkan,"" imbuhnya. Di kesempatan yang sama, Jeffry berharap polisi serta menuntaskan berkas kasus ini dan melimpahkannya ke kejaksaan. ""Tapi kalau terjadi kenaikan (status menjadi tersangka) dan yakin ada dua alat bukti yang sah menurut hukum maka limpahkan ke pengadilan kami siap menghadapinya,"" pungkasnya."
"Kamis, 12 Mar 2020 13:45 WIB","         Sungguh Terlalu, Guru SD di Surabaya Cabuli 8 Murid    ","Guru SD swasta di Surabaya diamankan polisi. Ia   delapan siswa-siswinya. Guru yang diamankan Unit PPA Satreskrim Polrestabes Surabaya berinisial NHB (40). Pelaku diamankan pada Februari usai petugas menerima laporan dari orang tua korban. ""Kita mengungkap kasus pencabulan terhadap anak di bawah umur yang mana korbannya lebih dari satu orang. Yang teridentifikasi masih delapan orang. Korban laki-laki dan perempuan,"" kata Wakasat Reskrim Polrestabes Surabaya Kompol Ardian Satrio Utomo kepada wartawan di Mapolrestabes Surabaya, Kamis (12/3/2020).  Ardian menambahkan, pelaku diketahui berprofesi sebagai guru di salah satu SD swasta di Surabaya. ""Salah satunya guru matematika. Namun sekarang sudah dikeluarkan dari sekolah,"" imbuh Ardian.          "
"Rabu, 11 Mar 2020 15:03 WIB",         Tambang Pasir di Mojokerto yang Tewaskan Pekerjanya Ditutup    ,"Polisi menutup lahan   tradisional di Dusun Grogol, Desa Kepuhpandak, Kecamatan Kutorejo, Kabupaten Mojokerto. Penutupan ini menyusul adanya seorang pekerja tambang yang tewas tertimpa tanah longsor di lokasi pagi tadi. Kasat Reskrim Polres Mojokerto AKP Dewa Yoga mengatakan penutupan dilakukan dengan memasang garis polisi di area tambang pasir tersebut. Selain itu, Polsek Kutorejo juga sudah mengimbau para penambang pasir tradisional tidak lagi bekerja di lokasi. ""Kami police line tidak boleh ada kegiatan, itu sudah paksaan (penutupan),"" kata Dewa saat dikonfirmasi detikcom, Rabu (11/3/2020). Sampai saat ini, Dewa mengaku belum menerima informasi terkait identitas pemilik lahan   tradisional tersebut. Pihaknya akan menggali keterangan dari warga sekitar dan pejabat setempat. Dewa juga belum bisa memastikan adanya aktivitas penambangan pasir secara ilegal di lokasi kejadian. Pasalnya, saat salah seorang pekerja tewas tertimpa tanah longsor, sedang tidak ada aktivitas penambangan pasir di lokasi. ""Kecelakaan ini laporannya korban sedang benerin jalan, bukan lagi menambang. Pada saat itu juga tidak ada kegiatan tambang,"" terangnya. Latif (50) tewas tertimpa tanah longsor saat bekerja membuat jalan untuk mengangkut pasir hasil tambang di lahan galian C Dusun Grogol, Desa Kepuhpandak pagi tadi sekitar pukul 07.30 WIB.   yang menimpanya dari tebing sekitar 5 meter di atas korban. Bagian bawah tebing ini diduga bekas digali oleh korban secara manual untuk mencari pasir dan batu. Tubuh bapak tiga anak warga Desa Tangunan, Kecamatan Puri, Mojokerto itu sempat tertimbun material tanah longsor dengan ketebalan sekitar 80 cm."
