date,title,descs
"Kamis, 19 Mar 2020 17:23 WIB",         Masjid Tertua di Surabaya Disemprot Disinfektan    ,"Upaya-upaya preventif terus dilakukan pemprov Jatim mencegah virus corona. Bila sebelumnya Gereja Protestan di Indonesia Bagian Barat (GPIB), kali ini BPBD Jawa Timur menyemprot disinfektan masjid tertua di Surabaya, Masjid Rahmat Jalan Kembang Kuning. Ketua Satgas Penanganan Covid-19 Jawa Timur Heru Tjahjono yang hadir dalam penyemprotan disinfektan ini mengatakan langkah preventif ini merupakan insiatif Gubernur Jawa Timur Khofifah Indar Parawansa. ""Jadi agar bersih, bagaimana masyarakat bisa nyaman beribadah di masjid. Selain kita semprotkan disinfektan, hari ini juga kita berikan bantuan hand sanitizer dan masker di Masjid Rahmat,"" kata Heru di lokasi didampingi oleh Kepala Pelaksana BPBD Jatim, Suban Wahyudiono, Kamis (19/3/2020). Usai menyemprotkan disinfektan di Masjid Rahmat, tim BPBD terdiri dari para relawan dan gugus pramuka membagikan sarung tangan ke pedagang makanan di sekitar masjid. Hal ini untuk memastikan para pedagang berjualan dengan kondisi higenis. Tidak hanya di Masjid Rahmat yang disemprotkan disinfektan oleh tim BPBD Jatim. Heru menyebut penyemprotan juga dilakukan di Masjid Al-Falah Jalan Raya Darmo Surabaya dan GPIB Jemaat Eben Haezer Surabaya di Jalan Taman Bintoro. ""Jadi ini bentuk upaya pemprov untuk menanggulangi wabah virus Covid-19. Kita akan lakukan terus secara berkelanjutan tidak berhenti sampai di sini, sampai wabah ini benar-benar teratasi,"" paparnya. Sementara Kalaksa BPBD Jatim, Suban Wahyudiono mengaku Jumat-Sabtu (20-21/3/2020) penyemprotan disinfektan difokuskan di kantor-kantor dinas Pemprov Jatim. ""Kita terus lakukan upaya ini. Besok kantor-kantor OPD yang akan kita semprot disinfektan,"" terangnya."
"Kamis, 19 Mar 2020 15:12 WIB","         Heboh Selebaran Biaya Pemeriksaan Corona di Surabaya, Ini Penjelasan RS Unair    ","Heboh selebaran berisi paket biaya pemeriksaan   di RS Unair Surabaya di Twitter. Surat itu lantas dibantah Dirut RS Unair Prof Dr dr Nasronudin SpPD K-PTI FINASIM. Dia menjelaskan, surat yang beredar itu tidak diberlakukan di  . Justru pihaknya telah mengikuti kebijakan dari pemerintah. ""Kita mengikuti kebijakan pemerintah. Itu hanya draf, siapa yang share itu ya. Tidak kita berlakukan,"" jelasnya kepada detikcom saat dikonfirmasi, Kamis (19/3/2020). Dia menegaskan, dalam kondisi dan situasi seperti ini, pihak RS mendahulukan pertolongan utama. ""Tidak berlaku. Tidak tepat di situasi gini ada aneka tarif. Kita menolong dulu nggih,"" kata dia. Dalam surat lampiran dari   berisikan pengumuman No: 736/UN3.9.1/TU/2020. Sesuai dengan keputusan Menkes RI No HK. 01.07/MENKES/169/2020 tentang penetapan rumah sakit rujukan penanggulangan penyakut infeksi emerging tertentu yang menunjuk RS Unair sebagai rumah sakit rujukan penyakit infeksi emerging tertentu dan peraturan Menkes No 59 tahun 2016 tentang pembebasan biaya pasien penyakit infeksi emerging tertentu serta peraturan Menkes No HK.01.07/MENKES/182/2020 tentang jejaring laboratorium pemeriksaan corona virus disease 2019 (COVID-19). ""Perawatan pasien Covid-19 di   dan pemeriksaan laboratorium PCR Covid-19 yang dilakukan RS Unair bersama ITD akan ditanggung oleh pemerintah sesuai dengan ketentuan peraturan tersebut, yaitu ODP (yang memerlukan pemeriksaan PCR Covid-19) atau PDP yang telah ditetapkan oleh RS Unair,"" tulis surat itu. Apabila ada masyarakat yang menginginkan pemeriksaan terkait Covid-19 atas permintaan sendiri maka akan diberlakukan tarif sesuai dengan ketentuan  . Sehubungan dengan beredarnya draf pemberitahuan tentang besaran biaya layanan Covid-19 di RS Unair, dapat kami sampaikan bahwa pemberitaan yang beredar tersebut masih bersifat draf dan tidak berlaku."
"Kamis, 19 Mar 2020 11:57 WIB",         Gunung Bromo Ditutup Cegah Penyebaran Corona    ,"Obyek Wisata Bromo Tengger Semeru ditutup. Kebijakan penutupan untuk mencegah penularan virus corona itu ditandatangani Kepala Balai Besar Taman Nasional Bromo Tengger Semeru Malang. Di samping penutupan, BBTNBTS menunda dan membatasi kegiatan penelitian, pendidikan, ekspedisi dan lainnya di Kawasan TNBTS yang melibatkan dan kontak langsung dengan orang banyak. Kepala seksi 1 Taman Nasional Bromo Tengger Semeru Sarmin mengatakan penutupan merujuk pada penetapan pandemi Coivid-19 sebagai bencana nasional oleh presiden. Penutupan juga mengacu surat edaran Kementerian Kehutanan dan lingkungan hidup, surat edaran Dirjen Konservasi sumber daya alam dan ekosistem serta rekomendasi dari Pemkab Probolinggo. ""Pemberlakuan penutupan, mulai berlaku sejak 19-31 Maret 2020,"" ujar Sarmin via selulernya, Kamis (19/3/2020). Sebelumnya Selasa (17/3) di Kantor Dinas Pemuda dan Olahraga Pariwisata dan Kebudayaan, Kabupaten Probolinggo, Kadisporaparbud Sugeng Wiyanto menginstruksikan penutupan seluruh obyek wisata yang ada di kabupaten setempat. Instruksi penutupan menurut Sugeng, menyikapi turunnya surat edaran Bupati Probolinggo tentang kepariwisataan, di mana disebutkan penutupan seluruh objek wisata di Kabupaten Probolinggo dimulai sejak 17 hingga 31 Maret 2020. Sugeng menyampaikan imbauan penutupan tak hanya berlaku bagi obyek wisata di bawah naungan pemerintah Kabupaten Probolinggo, namun juga swasta. Pun demikian dengan objek wisata Gunung Bromo. Pemkab Probolinggo mengimbau agar pengelola wisata Gunung Bromo melalui Resor Cemoro Lawang untuk melakukan penutupan sementara. ""Penutupan ini, berlaku selama 14 hari terhitung mulai 17 hingga 31 Maret 2020. Sampai nantinya dilakukan evaluasi sebelum tanggal 31 Maret 2020,"" jelasnya di Kantor Disporaparbud, Kabupaten Probolinggo. Sugeng melanjutkan bagi pengelola hotel, restoran, dan homestay dan pelaku usaha jasa wisata. Agar dalam memberikan pelayanan wajib mengikuti protokol kesehatan, yang dikeluarkan Dinas Kesehatan Kabupaten Probolinggo. ""Jadi protokol kesehatan itu, yakni penggunaan hand sanitizer dan thermo gun waktu mendeteksi tamu yang datang,"" kata Sugeng. Apabila nantinya diketemukan tamu yang memiliki ciri terjangkit virus Covid-19, Sugeng mengimbau agar pelaku wisata segera mendorong bersangkutan, menghubungi hotline di nomor 112 atau 08113373119."
"Kamis, 19 Mar 2020 10:13 WIB",         Karaoke hingga Bioskop di Kota Mojokerto Ditutup Imbas Corona    ,"Kerumunan massa di Kota Mojokerto mulai dibatasi untuk mencegah penyebaran virus corona. Pemerintah menutup tempat-tempat hiburan yang biasa dikunjungi warga. Mulai dari karaoke, bioskop hingga taman bermain. Penutupan dilakukan Wali Kota Mojokerto Ika Puspitasari atau Ning Ita melalui Surat Edaran nomor 443.33/2857/417.302/2020 yang dikeluarkan Rabu (18/3). Ning Ita menegaskan, penutupan tempat-tempat hiburan itu mulai dilakukan hari ini. ""Penutupan itu kami lakukan untuk mencegah penyebaran COVID-19, masyarakat Kota Mojokerto harus menjauhi kerumunan,"" kata Ning Ita kepada detikcom, Kamis (19/3/2020). Ia merinci, terdapat 12 item tempat hiburan dan pusat keramaian di Kota Mojokerto yang ditutup mulai hari ini. Yaitu Car Free Day (CFD) di Jalan Benteng Pancasila dan alun-alun tiap Minggu pagi, pasar kaget di Surodinawan tiap Minggu pagi, bioskop, semua karaoke dan TPA Randegan. Penutupan juga dilakukan terhadap alun-alun Kota, hutan kota, kampung tematik, jogging track, taman bermain Benteng Pancasila, Gubuk Wayang, serta perpustakaan umum. ""Kami minta Satpol PP dan bantuan TNI dan Polri untuk mengawasi pelaksanaan surat edaran ini,"" terang Ning Ita. Upaya mencegah penyebaran corona juga dilakukan Pemkot Mojokerto dengan memperpanjang masa belajar di rumah bagi siswa tingkat PAUD-SMP. Yaitu dari semula 21 Maret diperpanjang sampai 29 Maret 2020. Kegiatan Posyandu balita dan lansia ditiadakan hingga 29 Maret nanti. ""Kami minta pemantauan tumbuh kembang anak dan kesehatan lansia dilakukan keluarga masing-masing bekerjasama dengan kader motivator kesehatan, hasilnya supaya dilaporkan ke puskesmas,"" jelas Ning Ita. Ning Ita juga mengajak warganya menerapkan pola hidup sehat agar terhindar dari virus corona. Yakni rajin mencuci tangan dengan sabun dan air mengalir, mengkonsumsi makanan bergizi, menerapkan etika batuk dan bersin, olahraga minimal 15 menit setiap hari, serta istirahat yang cukup. ""Social distancing juga harus dilakukan. Yaitu dengan menjauhi kerumunan, kerja, belajar dan ibadah di rumah, meminimalisir bersentuhan dan berdekatan dengan orang lain, serta menunda kegiatan massal seperti reuni dan arisan,"" tandasnya."
"Kamis, 19 Mar 2020 09:51 WIB",         Banyuwangi Juga Optimalkan Layanan Call Center 112 Cegah Corona    ,"Pemkab Banyuwangi mengoptimalkan layanan call center 112 untuk mencegah penyebaran virus corona. Layanan call center, yang sebelumnya telah ada untuk menerima pengaduan warga, kini dilengkapi petugas kesehatan yang bisa menjelaskan tentang Covid-19. ""Saat ini juga banyak hoaks tentang Covid-19. Kemarin di medsos ada yang tanya kabar bahwa di wilayah Sempu, Banyuwangi, sudah ada positif corona, kan itu hoaks. Maka warga yang ingin bertanya bisa langsung kontak 112, bebas pulsa,"" ujar Bupati Banyuwangi Abdullah Azwar Anas saat meninjau call center 112 di Kantor Pemkab Banyuwangi, Kamis (19/3/2020). ""Masyarakat bisa melapor bila ada yang mengalami gejala atau mencari informasi awal seputar penanganan corona. Petugas siap 24 jam. Tanya-tanya tentang corona juga bisa dilakukan,"" kata Anas. Anas menambahkan, tidak berarti semua yang melapor kemudian akan didatangi petugas kesehatan. ""Yang tahu secara klinis tentu petugas kesehatan yang bertugas. Jadi penelepon akan ditanya soal riwayat, keluhan, dan sebagainya. Petugas kesehatan menyampaikan saran dan bila perlu melakukan tindakan sesuai dengan teknis ilmu medisnya, mereka yang paham,"" jelas Anas. Terkait pencegahan penyebaran virus corona, kata Anas, layanan 112 juga telah diintegrasikan dengan layanan kegawatdaruratan rumah sakit 118. ""Jadi aspek medisnya, langsung terintegrasi ke 118,"" ujarnya. Dalam sehari, rata-rata layanan call center 112 menerima 100 telepon dari warga dengan berbagai pengaduan. Mayoritas melaporkan soal pelayanan publik dan kegawatdaruratan seperti orang sakit dan ibu hamil berisiko tinggi. ""Saya berharap, layanan ini juga tidak digunakan untuk bercanda. Misalnya telepon untuk melaporkan kejadian yang sebenarnya tidak ada, melaporkan keluhan anak yang malas mengerjakan pelajaran secara online di rumah, dan sebagainya,"" ujarnya. Kepala Dinas Kominfo Banyuwangi Budi Santoso menambahkan, selain layanan Call Center 112, untuk bisa mengetahui perkembangan terbaru berdasarkan data dari Dinas Kesehatan Banyuwangi tentang kasus corona. ""Masyarakat bisa melihat informasi dari Dinas Kesehatan seputar perkembangan kasus corona di Banyuwangi. Di sana antara lain ada data jumlah pemantauan Orang Dalam Resiko (ODR), Orang Dalam Pemantauan (ODP), Pasien Dalam Pengawasan (PDP). Sekarang situsnya terus dilengkapi dengan berbagai materi edukasi tentang corona,"" jelas Budi. "
"Rabu, 18 Mar 2020 20:17 WIB",         Polisi Kota Kediri Selidiki 4 Akun Medsos Diduga Lakukan Kejahatan Siber    ,"Polisi Kota Kediri menyelidiki empat akun yang diduga melakukan kejahatan siber. Empat akun tersebut diduga memanfaatkan kepanikan warga akan wabah  . Pernyataan tersebut diutarakan Kapolres Kediri Kota AKBP Miko Indrayana kepada wartawan. Pihaknya menyelidiki akun yang menjual masker hingga menawarkan jasa penyemprotan disinfektan. ""Saat ini Tim Siber Polres Kediri Kota sedang melakukan penyelidikan terhadap empat akun sosmed yang ditengarai melakukan kejahatan siber. Berupa memanfaatkan kepanikan dan ketakutan warga soal virus corona. Dengan menjual masker, hand sanitizer secara online. Serta mengaku menyediakan jasa semprotan disinfektan ke rumah. Namun pada akhirnya mereka semua ditipu ataupun barang berharga dalam rumahnya dicuri,"" Jelas Miko, Rabu (18/3/2020). Tidak hanya patroli siber, polisi juga mengimbau warga agar lebih menjaga diri dan keluarga. Terutama terkait kegiatan masyarakat yang melibatkan banyak orang. Seperti kegiatan keagamaan, acara musik, unjuk rasa ataupun kegiatan lainnya. ""Polisi tidak melarang, namun kami mengimbau setidaknya kegiatan yang melibatkan banyak orang dibatasi atau bahkan ditiadakan. Semuanya demi menjaga keselamatan dan mencegah penyebaran virus. Jangan justru memanfaatkan kondisi yang sedang prihatin ini dengan melakukan aksi unjuk rasa dan demonstrasi, mari saling menjaga jangan sampai Kota Kediri terjangkit,"" imbuh Miko. Miko juga berharap, warga tidak melakukan panic buying. Terutama soal masker dan hand sanitizer. Ia menjamin dan meyakinkan masyarakat bahwa stok masker masih aman. Yang sewaktu-waktu dapat digunakan jika keadaan mendesak."
"Rabu, 18 Mar 2020 17:20 WIB","         Kediri Tutup Karaoke, Panti Pijat hingga Wisata Alam untuk Cegah Corona    ","Pemerintah Kota dan Kabupaten Kediri kompak menutup sementara hiburan malam hingga wisata alam. Semua itu dilakukan untuk mencegah penyebaran  . Keputusan tersebut tertuang dalam surat edaran Bupati dan Wali Kota Kediri tentang penutupan sementara usaha hiburan. Seperti yang diutarakan Wali Kota Kediri Abdullah Abu Bakar. ""Untuk Kota Kediri kami menutup sementara karaoke, panti pijat, diskotek, tempat hiburan malam dan tempat wisata,"" ucap Abu, Rabu (18/3/2020). Bahkan Abu juga melakukan sidak dan imbauan ke sejumlah hotel dan swalayan untuk sama-sama melakukan upaya pencegahan virus corona di Kota Kediri. Ia juga mengimbau masyarakat lebih mengutamakan beraktivitas dalam rumah."
"Rabu, 18 Mar 2020 07:55 WIB","         Langka di Pasaran, Gadis Ini Bikin Masker Berbahan Kain Perca    ","Akhir-akhir ini mewabahnya   membuat permintaan masker meningkat. Akibatnya masker menjadi langka dan mahal. Seorang gadis asal Ponorogo, Yutina Tri Sundari (24) membuat masker dari kain perca. Bahkan sejak virus corona menyebar, penjualan masker miliknya meningkat. Dimulai dengan memilih kain, kemudian diukur sesuai dengan kebutuhan, tak berapa lama, tangan terampil Yutina pun mulai menjahit. Mulai dari bagian masker hingga talinya. ""Awalnya bikin baju, terus iseng bikin masker dari kain perca. Setelah saya upload ternyata banyak peminatnya,"" tutur Yutina kepada detikcom saat ditemui di rumahnya Jalan HOS Cokroaminoto, Rabu (18/3/2020). Sejak   masuk ke Indonesia, jelas dia, pesanan masker perca miliknya membludak. Pesanan per hari bisa mencapai ratusan. Pesanan ada yang melalui teman atau online. ""Mungkin karena sekarang masker langka di apotek, jadi milih pakai   yang bisa dicuci berulang-ulang,"" ujarnya. Menurutnya, masker buatannya lebih aman. Sebab ada dua lapisan dan di dalamnya yang bisa diisi tisu. Jika masker kotor, bisa dicuci dan dipakai kembali. ""Masker ini ada 2 lapis, di dalamnya bisa diisi tisu untuk menyaring udara. Kalau kotor nanti tisunya diambil terus maskernya dicuci,"" jelasnya. Yutina mengaku untuk satu masker buatannya dihargai Rp 10 ribu. Dalam satu hari, dia dibantu ibunya bisa membuat 30  . ""Sekarang bikin paling lama 15 menit untuk satu masker,"" pungkas Yutina."
"Selasa, 17 Mar 2020 21:12 WIB","         Korupsi Jasmas, 3 Mantan Anggota DPRD Surabaya Dituntut 3 Tahun    ","Tiga terdakwa kasus korupsi Jaring Aspirasi Masyarakat (Jasmas) menjalani sidang tuntutan. Ketiga terdakwa dituntut masing-masing 3 tahun dari Jaksa Penuntut Umum (JPU). Para terdakwa itu yakni Ratih Retnowati, Syaiful Aidy dan Dini Rijanti. Ketiga terdakwa yang merupakan mantan anggota DPRD Surabaya periode 2014-2019 itu menjalani persidangan dibagi masing-masing dalam tiga sesi. Jaksa M Fadil membacakan tuntutan terhadap terdakwa Ratih Retnowati yang dilanjutkan pembacaan Syaiful Aidy dan terkhir Dini Rijanti. Adapun tuntutan yang dijatuhkan kepada tiga terdakwa sama yakni 3 tahun penjara. ""Pidana penjara selama 3 tahun dikurangi selama terdakwa berada dalam tahanam sementara dengan perintah agar terdakwa tetap ditahan,"" kata jaksa M Fadil saat membacakan tuntutan di Ruang Candra Pengadilan Tipikor Surabaya, Selasa (17/3/2020). Selain menuntut tiga terdakwa dengan hukuman penjara, jaksa juga membebankan denda masing-masing sebesar Rp 100 juta. Dan jika tidak dibayarkan diganti 6 bulan kurungan. ""Menjatuhkan pidana denda sebesar Rp 100 juta dengan ketentuan apabila pidana denda tersebut tidak dibayar, maka diganti dengan pidana kurungan selama 6 bulan,"" ujar jaksa. Tiga Anggota DPRD Kota Surabaya periode 2014-2019 ditetapkan sebagai tersangka kasus Jasmas 2016. Peran mereka dalam kasus tersebut diduga sama dengan tiga tersangka yang telah ditahan."
"Selasa, 17 Mar 2020 16:19 WIB","         Lapas Lamongan Di-lockdown, Tapi Barang Bawaan Bisa Dititipkan    ","Sebagai upaya pencegahan penyebaran  , Lapas Lamongan memberlakukan pelarangan kunjungan ke Lapas mulai Selasa (17/3/2020). Meski demikian, pengunjung masih diperkenankan menitipkan barang bawaan, namun hanya pada waktu jam kunjungan saja.   Kepala Lembaga Pemasyarakatan Klas IIB Lamongan Supriyana mengatakan kebijakan lockdown kunjungan ini dilakukan untuk menindaklanjuti arahan dari Sekretaris Jenderal Kementerian Hukum dan Hak Asasi Manusia Republik Indonesia sebagai upaya pencegahan penyebaran Virus Covid-19. Larangan kunjungan yang dilakukan pihak Lapas Lamongan, menurut Supriyana, mulai berlaku Selasa (17/3/2020). ""Merespons kondisi terkini terkait virus corona, Lapas Lamongan telah melakukan sosialisasi kepada pengunjung dan juga pada warga binaan terkait pengawasan dan keamanan untuk menangkal persebaran virus tersebut,"" kata Supriyana. Langkah penutupan atau lockdown Lapas Lamongan ini, lanjut Supriyana, dilakukan atas permintaan atau usulan keluarga warga binaan melalui aplikasi Si Jaga Lapas Lamongan. Sementara untuk warga binaan di dalam Lapas, Supriyana menyebut kalau pihaknya juga melakukan pemeriksaan suhu tubuh secara teratur dan menggencarkan gerakan cuci tangan pada warga binaan. ""Lapas Lamongan juga membuka layanan video call antara pengunjung dengan warga binaan yang difasilitasi oleh petugas Lapas selama   diberlakukan,"" jelasnya. Dikatakan oleh Supriyana, untuk layanan kunjungan hanya akan dilayani selama satu hari ini saja dan untuk hari berikutnya akan diliburkan. Layanan kunjungan akan dibuka kembali sembari menunggu petunjuk dari pusat. Meski kunjungan ditutup, lanjutnya, pengunjung masih diperkenankan menitipkan barang bawaan ke warga binaan, namun penitipan barang tersebut dilakukan hanya pada saat jam kunjungan saja. ""Untuk informasi lebih lanjut, layanan kunjungan akan diumumkan kembali oleh Tim Humas Lapas Lamongan via grup Whatsapp SiJaga, Sosial Media, dan papan informasi yang telah tersedia,"" papar Supriyana seraya menyebut kalau di rata-rata pengunjung Lapas Lamongan perharinya bisa mencapai 186 orang pengunjung."
