date,title,descs
"Kamis, 19 Mar 2020 17:23 WIB",         Masjid Tertua di Surabaya Disemprot Disinfektan    ,"Upaya-upaya preventif terus dilakukan pemprov Jatim mencegah virus corona. Bila sebelumnya Gereja Protestan di Indonesia Bagian Barat (GPIB), kali ini BPBD Jawa Timur menyemprot disinfektan masjid tertua di Surabaya, Masjid Rahmat Jalan Kembang Kuning. Ketua Satgas Penanganan Covid-19 Jawa Timur Heru Tjahjono yang hadir dalam penyemprotan disinfektan ini mengatakan langkah preventif ini merupakan insiatif Gubernur Jawa Timur Khofifah Indar Parawansa. ""Jadi agar bersih, bagaimana masyarakat bisa nyaman beribadah di masjid. Selain kita semprotkan disinfektan, hari ini juga kita berikan bantuan hand sanitizer dan masker di Masjid Rahmat,"" kata Heru di lokasi didampingi oleh Kepala Pelaksana BPBD Jatim, Suban Wahyudiono, Kamis (19/3/2020). Usai menyemprotkan disinfektan di Masjid Rahmat, tim BPBD terdiri dari para relawan dan gugus pramuka membagikan sarung tangan ke pedagang makanan di sekitar masjid. Hal ini untuk memastikan para pedagang berjualan dengan kondisi higenis. Tidak hanya di Masjid Rahmat yang disemprotkan disinfektan oleh tim BPBD Jatim. Heru menyebut penyemprotan juga dilakukan di Masjid Al-Falah Jalan Raya Darmo Surabaya dan GPIB Jemaat Eben Haezer Surabaya di Jalan Taman Bintoro. ""Jadi ini bentuk upaya pemprov untuk menanggulangi wabah virus Covid-19. Kita akan lakukan terus secara berkelanjutan tidak berhenti sampai di sini, sampai wabah ini benar-benar teratasi,"" paparnya. Sementara Kalaksa BPBD Jatim, Suban Wahyudiono mengaku Jumat-Sabtu (20-21/3/2020) penyemprotan disinfektan difokuskan di kantor-kantor dinas Pemprov Jatim. ""Kita terus lakukan upaya ini. Besok kantor-kantor OPD yang akan kita semprot disinfektan,"" terangnya."
"Kamis, 19 Mar 2020 16:15 WIB",         Forkopimda Kota Kediri Sidak Terminal-Stasiun Cegah Corona    ,"Forkopimda Kota Kediri melakukan sidak di fasilitas umum. Seperti terminal dan Stasiun Kota Kediri. Sidak ini dilakukan untuk mengantisipasi penyebaran  . Hal tersebut dilakukan oleh Walikota Kediri Abdullah Abu Bakar, Kapolres Kediri Kota AKBP Miko Indrayana, Kasdim 0809 Kediri Mayor Gatot Palwo dan Juru Bicara Gugus Tugas Percepatan Penanganan Covid-19 dr. Fauzan Adima. Dalam sidak tersebut petugas melakukan screening kedatangan dan keberangkatan penumpang umum, sesuai protokol nasional untuk pencegahan masuknya Covid-19. Tak hanya itu, funa memastikan bagian-bagian yang sering disentuh penumpang, disemprot desinfektan oleh petugas Dinas Kesehatan Kota Kediri. ""Kami datang untuk memastikan apakah stasiun dan terminal sudah menerapkan protokol nasional untuk pencegahan Covid-19, sekaligus memantau proses desinfektan rutin di tempat-tempat publik,"" jelas Walikota Kediri Abdullah Abu Bakar, Kamis (19/3/2020). Dalam kesempatan itu, Abu juga melihat data jumlah penumpang yang turun maupun naik dari terminal dan stasiun Kota Kediri. Terdapat penurunan jumlah penumpang. ""Penumpang yang turun dan naik di Stasiun Kediri sudah berkurang lebih dari 75 persen, kemarin (18/3) ada 738 penumpang naik di stasiun, sementara yang turun jumlahnya 1018 penumpang. Itu jauh lebih rendah dibanding situasi normal yang mencapai 4.000 penumpang baik yang naik dan turun,"" kata Wakil Kepala Stasiun Kediri Agustiyo. Di Terminal Baru Tamanan, Kota Kediri, suasana lengang juga terjadi, tidak seperti hari-hari biasa sebelum pandemi Covid-19. ""Penumpang bus Antar Kota Dalam Provinsi (AKDP) per 18 Maret 2020 untuk kedatangan berjumlah 4792 penumpang, sementara yang berangkat 6717, biasanya lebih dari itu. Penurunannya 30-50 persen,"" ungkap Kepala Dinas Perhubungan Kota Kediri Ferry Djatmiko. Dalam kesempatan tersebut, Ferry juga memastikan bahwa anggota Dinas Perhubungan Kota Kediri siap untuk ikut menjamin keselamatan warga dalam berkendara selama Kota Kediri dalam masa 2 minggu mengurangi kegiatan di luar rumah."
"Kamis, 19 Mar 2020 11:57 WIB",         Gunung Bromo Ditutup Cegah Penyebaran Corona    ,"Obyek Wisata Bromo Tengger Semeru ditutup. Kebijakan penutupan untuk mencegah penularan virus corona itu ditandatangani Kepala Balai Besar Taman Nasional Bromo Tengger Semeru Malang. Di samping penutupan, BBTNBTS menunda dan membatasi kegiatan penelitian, pendidikan, ekspedisi dan lainnya di Kawasan TNBTS yang melibatkan dan kontak langsung dengan orang banyak. Kepala seksi 1 Taman Nasional Bromo Tengger Semeru Sarmin mengatakan penutupan merujuk pada penetapan pandemi Coivid-19 sebagai bencana nasional oleh presiden. Penutupan juga mengacu surat edaran Kementerian Kehutanan dan lingkungan hidup, surat edaran Dirjen Konservasi sumber daya alam dan ekosistem serta rekomendasi dari Pemkab Probolinggo. ""Pemberlakuan penutupan, mulai berlaku sejak 19-31 Maret 2020,"" ujar Sarmin via selulernya, Kamis (19/3/2020). Sebelumnya Selasa (17/3) di Kantor Dinas Pemuda dan Olahraga Pariwisata dan Kebudayaan, Kabupaten Probolinggo, Kadisporaparbud Sugeng Wiyanto menginstruksikan penutupan seluruh obyek wisata yang ada di kabupaten setempat. Instruksi penutupan menurut Sugeng, menyikapi turunnya surat edaran Bupati Probolinggo tentang kepariwisataan, di mana disebutkan penutupan seluruh objek wisata di Kabupaten Probolinggo dimulai sejak 17 hingga 31 Maret 2020. Sugeng menyampaikan imbauan penutupan tak hanya berlaku bagi obyek wisata di bawah naungan pemerintah Kabupaten Probolinggo, namun juga swasta. Pun demikian dengan objek wisata Gunung Bromo. Pemkab Probolinggo mengimbau agar pengelola wisata Gunung Bromo melalui Resor Cemoro Lawang untuk melakukan penutupan sementara. ""Penutupan ini, berlaku selama 14 hari terhitung mulai 17 hingga 31 Maret 2020. Sampai nantinya dilakukan evaluasi sebelum tanggal 31 Maret 2020,"" jelasnya di Kantor Disporaparbud, Kabupaten Probolinggo. Sugeng melanjutkan bagi pengelola hotel, restoran, dan homestay dan pelaku usaha jasa wisata. Agar dalam memberikan pelayanan wajib mengikuti protokol kesehatan, yang dikeluarkan Dinas Kesehatan Kabupaten Probolinggo. ""Jadi protokol kesehatan itu, yakni penggunaan hand sanitizer dan thermo gun waktu mendeteksi tamu yang datang,"" kata Sugeng. Apabila nantinya diketemukan tamu yang memiliki ciri terjangkit virus Covid-19, Sugeng mengimbau agar pelaku wisata segera mendorong bersangkutan, menghubungi hotline di nomor 112 atau 08113373119."
"Kamis, 19 Mar 2020 10:13 WIB",         Karaoke hingga Bioskop di Kota Mojokerto Ditutup Imbas Corona    ,"Kerumunan massa di Kota Mojokerto mulai dibatasi untuk mencegah penyebaran virus corona. Pemerintah menutup tempat-tempat hiburan yang biasa dikunjungi warga. Mulai dari karaoke, bioskop hingga taman bermain. Penutupan dilakukan Wali Kota Mojokerto Ika Puspitasari atau Ning Ita melalui Surat Edaran nomor 443.33/2857/417.302/2020 yang dikeluarkan Rabu (18/3). Ning Ita menegaskan, penutupan tempat-tempat hiburan itu mulai dilakukan hari ini. ""Penutupan itu kami lakukan untuk mencegah penyebaran COVID-19, masyarakat Kota Mojokerto harus menjauhi kerumunan,"" kata Ning Ita kepada detikcom, Kamis (19/3/2020). Ia merinci, terdapat 12 item tempat hiburan dan pusat keramaian di Kota Mojokerto yang ditutup mulai hari ini. Yaitu Car Free Day (CFD) di Jalan Benteng Pancasila dan alun-alun tiap Minggu pagi, pasar kaget di Surodinawan tiap Minggu pagi, bioskop, semua karaoke dan TPA Randegan. Penutupan juga dilakukan terhadap alun-alun Kota, hutan kota, kampung tematik, jogging track, taman bermain Benteng Pancasila, Gubuk Wayang, serta perpustakaan umum. ""Kami minta Satpol PP dan bantuan TNI dan Polri untuk mengawasi pelaksanaan surat edaran ini,"" terang Ning Ita. Upaya mencegah penyebaran corona juga dilakukan Pemkot Mojokerto dengan memperpanjang masa belajar di rumah bagi siswa tingkat PAUD-SMP. Yaitu dari semula 21 Maret diperpanjang sampai 29 Maret 2020. Kegiatan Posyandu balita dan lansia ditiadakan hingga 29 Maret nanti. ""Kami minta pemantauan tumbuh kembang anak dan kesehatan lansia dilakukan keluarga masing-masing bekerjasama dengan kader motivator kesehatan, hasilnya supaya dilaporkan ke puskesmas,"" jelas Ning Ita. Ning Ita juga mengajak warganya menerapkan pola hidup sehat agar terhindar dari virus corona. Yakni rajin mencuci tangan dengan sabun dan air mengalir, mengkonsumsi makanan bergizi, menerapkan etika batuk dan bersin, olahraga minimal 15 menit setiap hari, serta istirahat yang cukup. ""Social distancing juga harus dilakukan. Yaitu dengan menjauhi kerumunan, kerja, belajar dan ibadah di rumah, meminimalisir bersentuhan dan berdekatan dengan orang lain, serta menunda kegiatan massal seperti reuni dan arisan,"" tandasnya."
"Rabu, 18 Mar 2020 22:07 WIB",         Komisi III DPR Apresiasi TACS dan Astuti Mobile Inovasi Polisi di Tulungagung    ,"Komisi III DPR RI mengapresiasi inovasi Traffic Accident Claim System (TACS) dan Astuti Mobile Satlantas Polres Tulungagung, sebagai upaya untuk memangkas birokrasi dan mendekatkan layanan ke masyarakat. Anggota Komisi III DPR Arteria Dahlan saat berkunjung ke Polres Tulungagung, mengatakan TACS adalah salah satu layanan yang layak mendapatkan apresiasi, sebab masyarakat akan terbantu dalam melakukan klaim asuransi Jasa Raharja saat mengalami kecelakaan lalu lintas. ""Terima kasih atas inovasi dari Polres Tulungagung yang sudah memangkas birokrasi dalam penanganan kecelakaan khususnya untuk klaim asuransi. Kami sangat Apresiasi untuk TACS dan ini menjadi bahan kami yang akan dilaporkan kepada Kapolri,"" kata Arteria, Rabu (18/3/2020). TACS merupakan bentuk kerjasama kolaboratif antara Polres Tulungagung, Jasa Raharja, rumah sakit dan BPJS Kesehatan dalam penanganan klaim asuransi kecelakaan lalu lintas. Sistem kerjanya sederhana, melalui teknologi digital, saat korban kecelakaan lalu lintas dibawa ke UGD, maka petugas rumah sakit akan menginput data pada sistem aplikasi. Dari situlah maka secara otomatis, sistem akan memberikan notifikasi ke Jasa Raharja. Selanjutnya Jasa Raharja akan melakukan pemeriksaan informasi serta keterangan kepolisian terkait korban kecelakaan tersebut. Jika dinyatakan layak untuk mendapatkan klaim asuransi maka pembiayaan korban dinyatakan klir. Namun apabila dari pemeriksaan dinyatakan ditolak oleh Jasa Raharja, maka akan muncul notifikasi ke pihak rumah sakit dan secara otomatis sistem akan mengalihkan informasi klaim ke BPJS Kesehatan. Tak hanya sistem TACS, Arteria juga memberikan apresiasi terhadap inovasi layanan Astuti Mobile. Sebab layanan keliling tersebut mampu memudahkan masyarakat untuk mendapatkan tiga layanan sekaligus, yakni perpanjangan SIM, SKCK serta layanan keimigrasian. Layanan tersebut akan memudahkan masyarakat, apalagi di wilayah Tulungagung banyak masyarakat yang menjadi TKI, sehingga beberapa pengurusan dokumen keimigrasian bisa lebih dekat dan tidak perlu ke Kantor Imigrasi Blitar. Mobil pelayanan terintegrasi itu biasanya mendatangi beberapa titik kumpul warga, seperti di GOR Lembu Peteng Tulungagung. Sementara itu Kasat Lantas Polres Tulungagung AKP Aristianto Budi Sutrisno, mengatakan akan terus berupaya memberikan pelayanan terbaik kepada masyarakat melalui berbagai inovasi. ""Sejumlah inovasi itu adalah bentuk upaya kami dalam memudahkan masyarakat. Salah seperti TACS, itu akan memotong banyak birokrasi. Kemudian Astuti Mobile, masyarakat yang saat siang masih sibuk bisa mengurus keperluan SIM, SKCK dan imigrasi pada malam hari,"" kata Aris."
"Rabu, 18 Mar 2020 17:20 WIB","         Kediri Tutup Karaoke, Panti Pijat hingga Wisata Alam untuk Cegah Corona    ","Pemerintah Kota dan Kabupaten Kediri kompak menutup sementara hiburan malam hingga wisata alam. Semua itu dilakukan untuk mencegah penyebaran  . Keputusan tersebut tertuang dalam surat edaran Bupati dan Wali Kota Kediri tentang penutupan sementara usaha hiburan. Seperti yang diutarakan Wali Kota Kediri Abdullah Abu Bakar. ""Untuk Kota Kediri kami menutup sementara karaoke, panti pijat, diskotek, tempat hiburan malam dan tempat wisata,"" ucap Abu, Rabu (18/3/2020). Bahkan Abu juga melakukan sidak dan imbauan ke sejumlah hotel dan swalayan untuk sama-sama melakukan upaya pencegahan virus corona di Kota Kediri. Ia juga mengimbau masyarakat lebih mengutamakan beraktivitas dalam rumah."
"Rabu, 18 Mar 2020 11:47 WIB","         SIdoarjo Isolasi 5 PDP, 2 di RSUD 3 di RS Swasta    ","Pasien Dalam Pengawasan (PDP)   di Sidoarjo bertambah menjadi lima orang. Dua PDP dirawat di RSUD Sidoarjo dan tiga PDP dirawat di rumah sakit swasta. Kepala Dinas Kesehatan Sidoarjo dr Syaf Satriawarman mengatakan, saat ini di Sidoarjo ada lima PDP corona. Dua PDP di rawat di RSUD, Dua dirawat di RS Mitra Keluarga, dan satu PDP corona di rawat di RS Siti Hajar. ""Ada lima PDP Corona yang saat ini masih dirawat di ruang isolasi. Dua di RSUD Sidoarjo, satu di RS Siti Hajar, dan dua di RS Mitra Keluarga,"" ujar Syaf saat dihubungi detikcom, Rabu (18/3/2020). Syaf mengatakan PDP yang dirawat di RSUD Sidoarjo berjenis kelamin laki-laki, sementara yang di rawat di RS Siti Hajar seorang perempuan rujukan dari RS Bunda Waru yang masuk RS mulai kemarin. Sedangkan yang di rawat RS Mitra Keluarga merupakan pasangan suami istri. ""Dua PDP yang di rawat di RS Mitra Keluarga sudah membaik,"" tambah Syaf. Syaf menambahkan sementara itu tiga PDP lainnya masih di rawat secara intensif. Suhu badan mereka sudah kembali normal. Sedangkan yang dirawat di RS Siti hajar pihaknya belum menjelaskan secara rinci terkait perkembangannya. ""Ketiga ini masih menunggu hasil swab yang tengah dilakukan penelitian di Surabaya,"" jelas Syaf."
"Senin, 16 Mar 2020 13:35 WIB","         UNBK SMK di Lamongan, Peserta Diperiksa Suhu Tubuh dan Cuci Tangan    ","Pelaksanaan Ujian Nasional Berbasis Komputer (UNBK) SMK di Jatim tetap berlangsung hari ini. Salah satunya UNBK di Lamongan. Sejumlah langkah untuk antisipasi penyebaran   pun dilakukan. Kepala Cabang Dinas Pendidikan Wilayah Lamongan Sri Yuliasih mengatakan, langkah-langkah pencegahan virus corona telah disosialiasasikan dan telah dimulai sebelum pelaksana UNBK. Beberapa langkah tersebut di antaranya adalah sebelum memasuki ruang kelas, para siswa diwajibkan melakukan cuci tangan dan menjalani pemeriksaan suhu tubuh. ""Sejak awal kita sudah mensosialiasasikan ke sekolah, bahwa di setiap sekolah itu wajib ada air mengalir untuk cuci tangan dan pihak sekolah diharapkan mensosialisasikan kepada para siswa, untuk menjalankan pola hidup sehat, selalu cuci tangan sebelum maupun setelah aktivitas,"" kata Yuli di sela sidak pelaksanaan UNBK SMK di sejumlah sekolah Lamongan, Senin (16/3/2020). Menurut Yuli, pihaknya juga bekerjasama dengan petugas kesehatan untuk mengukur suhu tubuh siswa sebelum melaksanakan UNBK. Petugas kesehatan ini, imbuh Yuli, pihaknya bekerjasama dengan Dinas Kesehatan dan Puskesmas yang standby selama UNBK berlangsung. ""UNBK SMK di Lamongan tahun ini diikuti 6.055 siswa dari 76 lembaga, baik negeri maupun swasta dengan jumlah peserta lembaga yang mandiri ada 72, yang menggabung ada 4 lembaga Jadi total ada 76 lembaga,"" terangnya. Sementara Bupati Lamongan Fadeli saat sidak meminta agar para guru dan pengawas ujian memberikan toleransi kepada siswa untuk menjalankan prosedur pencegahan   sebelum mengerjakan soal ujian. ""Tentunya diminta kepada bapak ibu guru menyikapi situasi begini ini jangan bersifat kaku. Karena melakukan proses-proses seperti itu (pencegahan) tadi memerlukan waktu, sehingga mungkin ada keterlambatan beberapa menit, jadi ya harus kita berikan toleransi,"" pinta Fadeli usai meninjau pelaksanaan UNBK di SMKN 2 Lamongan, SMK Muhammadiyah 1 dan SMK NU."
"Minggu, 15 Mar 2020 18:08 WIB","         RSUD Sidoarjo Isolasi Seorang PDP Corona, Sebelumnya Rapat di Dishub Jakarta    ","RSUD Sidoarjo mengisolasi satu Pasien Dalam Pengawasan (PDP)  . Pasien dengan jenis kelamin laki-laki itu sebelumnya sempat mengikuti rapat di Dinas Perhubungan di Jakarta. Kadinkes Kabupaten Sidoarjo Syaf Satriwarman mengatakan pasien ini ditangani dan mendapatkan pemantauan secara serius dan termasuk dalam ketegori PDP. Syaf menyebut pasien ini baru saja pulang dari Jakarta setelah mengikuti rapat di Dinas Perhubungan di Jakarta. ""Pasien ini masih PDP, belum terindikasi corona. Pasien ini warga Surabaya, namun juga memiliki rumah di Sidoarjo, yang baru saja mengikuti rapat Dishub di Jakarta,"" kata Syaf saat dihubungi detikcom, Minggu (15/3/2020). Syaf menambahkan sebelum diisolasi di RSUD Sidoarjo, pasien ini sempat dirawat di sebuah rumah sakit swasta di Sidoarjo. Setelah berkomunikasi dengan pihak dinkes, pasien kemudian di rujuk ke  . Untuk saat ini pasien dalam kondisi membaik, suhu badannya sudah mulai stabil. ""Masuknya tadi malam. Saat ini suhu badannya sudah stabil, bahkan sudah membaik 36,5 derajat Celsius,"" tambah Syaf. Syaf menjelaskan untuk saat ini rumah sakit di Sidoarjo masih belum menerima pasien yang positif  . ""Yang jelas pasien ini belum terindikasi virus corona. Karena kondisi pasien terus membaik,"" tandas Syaf."
"Sabtu, 14 Mar 2020 15:11 WIB","         Cegah Penyebaran Corona, Ini Upaya Polisi Kota Kediri    ","Sebagai langkah antisipasi bertambahnya warga yang terinfeksi  , polisi di Kota Kediri melakukan upaya pencegahan. Polisi menyediakan hand sanitizer dan mengecek suhu tubuh warga di fasilitas umum. Hari ini, Polresta Kediri bersama PT KAI melakukan pemeriksaan suhu tubuh penumpang KAI. Selain memeriksa suhu tubuh, juga diberikan edukasi tentang hidup sehat kepada para penumpang di Stasiun Kediri. Penumpang diminta untuk menggunakan hand sanitizer sebagai sarana cuci tangan. Kapolresta Kediri AKBP Miko Indrayana menjelaskan bahwa kegiatan ini sebagai sarana upaya pencegahan penyebaran virus corona. ""Kami memberikan edukasi kepada masyarakat yang akan menggunakan jasa kereta api khususnya yang berada di stasiun Kediri untuk terus menjaga pola hidup sehat. Salah satunya selalu mencuci tangan setiap selesai beraktivitas. Di Stasiun Kediri sudah disiapkan hand sanitizer di setiap pintu masuk dan keluar stasiun,"" jelas Miko kepada wartawan, Sabtu (14/3/2020). ""Kami berharap upaya yang telah kami lakukan dapat memberi manfaat serta mencegah penyebaran virus . Kami mengimbau kepada masyarakat khususnya di wilayah hukum Polresta Kediri untuk tetap tenang serta jangan termakan informasi yang tidak benar (hoax) tentang virus corona dan tetap beraktivitas seperti biasa namun tetap menjaga kebersihan,"" tegas Miko. Kendati sempat kaget, namun penumpang kereta api baik yang akan turun dan naik kereta api justru merasa terbantu dengan adanya tes suhu tubuh dan pemberian hand sanitizer. ""Kaget awalnya ada apa di stasiun kok ramai polisi, ternyata ada pemeriksaan suhu tubuh dan hand sanitizer, lumayan bagus kami jadi bisa terbantu untuk mengerti kondisi suhu tubuh kami. Dan diberikan pembersih tangan lagi saat turun dari kereta api,"" Jelas Muntoha, salah seorang penumpang kereta api dari Surabaya yang akan ke Nganjuk."
