date,title,descs
"Kompas.com - 20/12/2018, 20:14 WIB",4 Langkah Membangun Literasi Digital Sehat Dalam Keluarga,"   atau remaja yang mengakses internet secara tidak terkendali mempunyai beberapa potensi risiko. Pasalnya, mereka sangat berpeluang berinteraksi dengan orang yang mungkin bisa membahayakan dirinya. Misal, terpapar konten penyimpangan sosial, terhubung dengan  , terpapar konten pornografi/kekerasan/kebencian dan  , tereksploitasi secara komersial, terganggu privasinya, dan terhubung dengan orang yang tidak dikehendaki. Masalahnya, tidak terkendalinya    dan remaja dalam mengakses internet berawal dari dalam    sendiri. Awalnya kehadiran teknologi    di rumah disambut antusias oleh seluruh anggota keluarga. Tetapi lama kelamaan anak dan remaja membiarkan dirinya hidup dalam dunia maya yang dianggapnya lebih menarik ketimbang dunia nyata. Penting bagi    melakukan pengawasan untuk dapat mengurangi dampak negatif teknologi digital. Melansir Forum Sahabat    Kemendikbud, ada beberapa upaya dapat dilakukan orangtua sendiri agar dapat menanamkan    sehingga lebih banyak manfaat yang dapat diraih dan meminimalkan dampak negatif teknologi digital. Berikut ini di antaranya:    seharusnya tahu situs-situs apakah yang memberi manfaat di internet bagi anggota keluarga dan situs apa yang justru akan merugikan bagi mereka. Dengan demikian orangtua dapat mengarahkan anggota keluarga untuk menggunakan akses internet secara sehat. Kondisi ini harus dipahami para orangtua di lingkungan keluarga. Mereka tidak bisa menghindari tuntutan jaman untuk selalu menambah pengetahuan mereka tentang teknologi digital. Jika hal ini tidak dilakukan, orangtua akan kesulitan untuk memberikan tuntunan bagi anak-anak mereka dan tidak bisa melindungi mereka dari dampak negatif penggunaan teknologi digital. Dengan kata lain orangtua perlu belajar memahami teknologi digital secara terus menerus."
"Kompas.com - 16/02/2020, 20:00 WIB","Presiden Bisa Ubah UU, Syarief Hasan Ingatkan ""Itu Hak Legislasi DPR"""," - Wakil Ketua MPR RI    angkat bicara terkait pasal kontroversial Omnibus Law RUU Cipta Kerja yang membuat Presiden Joko Widodo berhak mencabut Undang-Undang (  ) melalui Peraturan Pemerintah (  ). Menurut dia, pencabutan UU sepenuhnya ada di tangan para legislator. ""Hak untuk lakukan legislasi itu kan ada di DPR, itu saja,"" ujar Syarief usai menghadiri forum diskusi di kawasan Wahid Hasyim, Jakarta Pusat, Minggu (16/2/2020). Syarief meminta pemerintah tidak mengurangi fungsi DPR dalam hal legislasi, penganggaran dan pengawasan. Dia mengatakan, prinsip dan fungsi tersebut sudah dijamin pula oleh UU. ""Saya nggak tahu apakah sudah disikapi atau belum (oleh DPR). Tetapi fungsi dari DPR kan ada tiga, budgeting, legislasi dan pengawasan. Jadi itu prinsipnya, itu di undang-undang,"" kata dia. Syarief Hasan menambahkan, pihaknya masih menunggu hasil penggodokan, mengingat    masih dalam pembahasan. Di dalam pembahasan itu, ia pun menyarankan agar paket penyederhanaan aturan itu tak melangkahi fungsi DPR. ""(Yang penting) jangan mengeliminir fungsi dari pada DPR,"" tegas dia. Seperti diketahui, dalam pasal 170 ayat 1 BAB XIII RUU Omnibus Cipta Kerja, Kepala Negara memiliki kewenangan mencabut UU melalui PP dalam rangka percepatan pelaksanaan kebijakan strategis cipta kerja. Tidak hanya itu, Jokowi juga memiliki kewenangan mencabut Perda yang bertentangan dengan undang-undang di atasnya melalui Peraturan Presiden (Perpres). Hal itu termaktub pada Pasal 251 di draf RUU Omnibus Law Cipta Kerja, yang menggantikan Pasal 251 dalam Undang-Undang Nomor 9 Tahun 2015 tentang Pemerintahan Daerah (Pemda)."
"Kompas.com - 27/03/2020, 18:15 WIB",KPK Perpanjang Masa Penahanan Bupati Solok Selatan,"- Komisi Pemberantasan Korupsi (  ) memperpanjang masa penahanan    nonaktif Muzni Zakaria selama 30 hari ke depan. Muzni merupakan tersangka kasus dugaan suap terkait pembangunan proyek pembangunan Jembatan Ambayan dan proyek pembangunan Masjid Agung Solok Selatan. ""Hari ini (27/03/2020) Penyidik KPK memperpanjang masa penahanan selama 30 hari,"" kata Plt Juru Bicara KPK Ali Fikri kepada wartawan. Ali mengatakan, perpanjangan masa penahanan tersebut didasari pada penetapan Pengadilan Negeri Padang. Perpanjangan penahanan itu berlaku terhitung mulai 30 Maret 2020 hingga 28 April 2020 mendatang di Rutan Cabang KPK di Gedung Merah Putih KPK. Dalam kasus ini, Muzni diduga menerima uang dan barang senilai Rp 460 juta dari pemilik Grup Dempo Muhammad Yamin Kahar. Pemberian itu terkait paket pekerjaan proyek Jembatan Ambayan. Di sisi lain, KPK menduga sejumlah bawahan Muzni di Pemerintahan Kabupaten Solok Selatan juga menerima uang dari Yamin. Pemberian uang sejumlah Rp 315 juta ke sejumlah pejabat itu terkait paket pekerjaan pembangunan Masjid Agung Solok Selatan. Dua pemberian itu berawal dari pembicaraan antara Muzni dan Yamin terkait dua proyek tersebut."
"Kompas.com - 27/03/2020, 18:27 WIB","Cegah Covid-19, Polri Imbau Syuting Film dan Sinetron Dihentikan"," - Kepala Divisi Humas Polri Irjen Muhammad Iqbal mengimbau Production House (PH) agar tidak melakukan kegiatan pengambilan film atau syuting demi mencegah penyebaran   . Imbauan itu tertuang dalam surat bernomor B/483/III/HUM.5.3./2020/Divhumas tertanggal 26 Maret 2020. Surat tersebut dikonfirmasi oleh Kepala Biro Penerangan Masyarakat (Karopenmas) Divisi Humas Polri Brigjen (Pol) Argo Yuwono. “Diimbau kepada para Production House (PH) untuk menghentikan atau menunda kegiatan   film maupun sinetron dimaksud sampai dengan batas waktu yang belum ditentukan, demi kesehatan dan keselamatan publik,” seperti dikutip dari surat tersebut. Polisi akan melakukan tindakan tegas apabila masih menemukan kegiatan syuting. “Bilamana masih ditemukan adanya kegiatan   film atau sinetron yang melibatkan orang banyak (kru atau pemain) akan dilakukan tindakan tegas dan terukur sesuai undang-undang yang berlaku,” demikian isi surat tersebut. Imbauan tersebut dikeluarkan untuk menindaklanjuti Maklumat Kapolri Nomor Mak/2/III/2020 tentang Kepatuhan terhadap Kebijakan Pemerintah dalam Penanganan Penyebaran    (  ). Dalam maklumat tersebut, polisi akan menindak kegiatan yang melibatkan kerumunan massa. Mereka yang tidak menuruti imbauan polisi untuk membubarkan diri dapat dijerat Pasal 212 KUHP, Pasal 216 KUHP, dan Pasal 218 KUHP dengan ancaman hukuman 1 tahun 4 bulan penjara."
"Kompas.com - 16/03/2020, 09:48 WIB","Tunggu Arahan MA, Sidang Tipikor Tetap Berlangsung di Tengah Wabah Covid-19"," - Jadwal persidangan Pengadilan Negeri Jakarta Pusat termasuk sidang tindak pidana korupsi (  ) akan tetap berlangsung meski wabah virus corona (Covid-19) tengah melanda Indonesia. Hal itu dikatakan langsung oleh Ketua Pengadilan Negeri Jakarta Pusat, Yanto. ""Sementara masih seperti biasa, sambil menunggu arahan dari MA (Mahkamah Agung),"" kata Yanto saat dihubungi, Senin (16/3/2020). Menurut Yanto, penghentian sidang sementara tidak bisa dilakukan begitu saja. Penghentian semacam itu, lanjut dia, harus dikoordinasikan terlebih dahulu dengan Pengadilan Negeri seluruh DKI Jakarta. Diketahui, jumlah pasien positif terjangkit virus corona di Indonesia bertambah menjadi 117 kasus hingga hari Minggu (15/3/2020). Angka ini bertambah 21 kasus baru dari pengumuman yang dilakukan kemarin. ""Per hari ini dari lab yang saya terima pagi ya, hari ini kita dapatkan 21 kasus baru, di mana 19 di antaranya di Jakarta, 2 di Jawa Tengah,"" kata Juru bicara penanganan virus Corona Achmad Yurianto seperti dikutip dari laman Kementerian Kesehatan, Minggu. Yuri mengatakan, penambahan kasus di Jakarta merupakan hasil penelusuran terhadap kontak dari kasus sebelumnya. Setelah itu, data pasien positif akan diberikan kepada pihak rumah sakit, yang akan meneruskan informasi kepada pasien. Selain itu, menurut dia, dokter yang merawat pasien juga perlu memberitahu pihak Dinas Kesehatan setempat. ""Dokter pun harus menyampaikannya ke Dinkes setempat karena ini penting dalam konteks untuk tracing,"" ujar Achmad Yurianto."
"Kompas.com - 16/03/2020, 09:30 WIB","Ini 7 Rumah Sakit di Jateng untuk Tes Corona, Ganjar: Tak Ada Biaya"," - Gubernur       menegaskan telah menyiapkan tujuh    untuk   identifikasi    bagi masyarakat. Tes tersebut, menurut Ganjar, tidak dipungut biaya sama sekali alias gratis. “Jadi kalau Anda barusan bepergian ke luar negeri atau ke daerah yang ada pasien corona positif kemudian mengalami pilek, demam, batuk, ya periksa saja. Biaya kami tanggung, gratis,” ujarnya. Ganjar juga mengimbau warga agar tidak takut dan malu untuk memeriksakan diri. Menurut dia, deteksi dini akan lebih membantu untuk menangkal wabah corona di Indonesia, khususnya di Jawa Tengah. Seperti diketahui, sampai saat ini rumah sakit rujukan untuk pasien corona di Jateng telah ada 58 unit. “Awalnya 13 rumah sakit, lalu kami tambah jadi 45,” tuturnya. Soal penambahan ini, dia pun berharap penanganan pasien bisa lebih optimal. “Tapi, kalau ternyata flu atau demam biasa ya pulang,” ucapnya.  Berikut ini daftar tujuh rumah sakit yang menjadi rujukan Pemerintah Provinsi Jawa Tengah untuk tes corona: 1. RSUD Dr Moewardi Surakarta 2. RSUD Dr Margono Soekarjo Purwokerto 3. RSUD Kelet Jepara 4. RSJD Surakarta 5. RSJD Dr Amino Gondohutomo Semarang 6. RSJD Dr RM Soedjarwadi Klaten 7. RSUD Tugurejo Semarang Sementara itu, Ganjar mengatakan, dirinya akan segera berkoordinasi dengan bupati dan wali kota untuk menyediakan fasilitas yang dibutuhkan. Sebelumnya, Ganjar telah mengeluarkan Surat Edaran Nomor 440/0005942 mengenai Peningkatan Kewaspadaan terhadap Risiko Penularan Infeksi    Virus 055455 (Covid-19) di Jawa Tengah. Isi dari surat edaran itu adalah meminta bupati atau wali kota, pimpinan perangkat daerah, pimpinan instansi vertikal, serta seluruh pimpinan BUMN di Jawa Tengah untuk melakukan upaya pencegahan dan pengendalian melalui empat langkah. ""Melaksanakan koordinasi, sosialisasi, dan edukasi mengenai upaya pencegahan dan pengendalian kepada elemen masyarakat dan pelaku usaha sesuai kewenangannya,"" kata Ganjar dalam surat edarannya, Sabtu (14/3/2020)."
"Kompas.com - 27/03/2020, 18:23 WIB","Batal ""Lockdown"", Makassar Berlakukan Karantina Parsial"," – Pemerintah Kota    sebelumnya membuka kemungkinan dilakukan  Namun, setelah beberapa pertimbangan, diputuskan status kota hanya diberlakukan   . Hal tersebut ditegaskan Pejabat Walikota Makassar Iqbal Suhaeb dalam keterangan tertulisnya, Jumat (27/3/2020). Menurut dia, belum ada kebijakan untuk melakukan   atau isolasi total di Kota Makassar untuk menghentikan penyebaran Covid-19 di Makassar. “Secara keseluruhan itu tidak mungkin kita lakukan  , mengingat Makassar sebagai ibu kota provinsi, sekaligus kota transit dari barat ke timur, begitu juga sebaliknya. Tetapi yang sedang kita rencanakan karantina parsial, yakni menutup akses keluar dan masuk pada pemukiman-pemukiman atau perumahan-perumahan yang teridentifikasi ada warga dengan status PDP atau positif,” katanya. Iqbal juga telah memerintahkan seluruh kecamatan dan juga seluruh pimpinan Organisasi Perangkat Daerah (OPD) terkait untuk berkordinasi melakukan pemetaan. Jika perumahan A terdapat warga yang diketahui berstatus PDP atau positif Virus Covid-19, maka perumahan tersebut dilakukan karantina parsial dan itu diputuskan berdasarkan pertimbangan dari hasil kordinasi aparat kecamatan kerja sama dengan Puskemas, Dinas Perumahan, TNI, kepolisian dan yang lainnya yang terkait. “Jadi tidak dilakukan  seluruh kota, hanya karantina parsial pada wilayah yang terindikasi ada penyebaran Virus Covid-19. Jika ada yang mau keluar atau masuk, akan di-  dulu, kepentingannya apa dan sebagainya, sehingga virus ini tidak menyebar lebih jauh,” jelas Iqbal."
"Kompas.com - 21/03/2020, 11:05 WIB","Rusak Hutan Lindung di Babel, Seorang Pengusaha Ditangkap","Penyidik Pegawai Negeri Sipil (PPNS) DIrektorat Jenderal Penegakan Hukum Kementerian Lingkungan Hidup dan Kehutanan (  ) menangkap AZ (44), komisaris sebuah perusahaan di Kepulauan   .  AZ yang kini ada dalam tahanan Bareskrim Polri, diduga terlibat dalam perusakan kawasan   Lubuk Besar, Desa Beriga, Kecamatan Lubuk Besar, Kabupaten Bangka Tengah, menggunakan alat berat. Direktur Penegakan Hukum Pidana KLHK Yazid Nurhuda mengatakan,   itu sudah dirusak AZ sejak September 2019.  ""Berdasarkan olah lokasi kejadian 9 Maret 2020, lahan yang sudah rusak seluas 3,12 hektar dengan kedalaman 5 sampai 7 meter,” kata Yazid Nurhuda, dalam keterangan tertulis pada Kompas.com, Jumat (20/3/2020).  Kasus ini berawal dari laporan masyarakat yang menemukan adanya penebangan pohon hutan dan penambangan dengan alat berat di kawasan Hutan Lindung Lubuk Besar.  Setelah mendapatkan cukup bukti, penyidik KLHK menahan AZ pada 18 Maret 2020.  “Penyidik KLHK akan menerapkan multidoor dengan dua undang-undang terpisah yaitu Undang-Undang No 18 Tahun 2013 dan Undang-Undang No 32 Tahun 2009. Penerapan dua undang-undang terpisah ini untuk memberikan efek jera kepada pelanggar lingkungan hidup dan kehutanan,"" ujar Yazid.  Yazid menambahkan penyidik saat ini sedang mendalami keterlibatan pihak lainnya dalam kasus ini.  AZ akan dikenakan delik pidana menebang pohon, menambang ilegal dan penggunaan kawasan hutan secara tidak sah.  Dia dijerat dengan Undang-Undang No 18 Tahun 2013 tentang Pencegahan dan Pemberantasan Perusakan Hutan dengan ancaman hukuman penjara maksimal 15 tahun dan denda maksimal Rp 100 miliar.  AZ juga akan dikenakan delik pidana perusakan lingkungan dan dijerat dengan Undang-Undang No 32 Tahun 2009 tentang Perlindungan dan Pengelolaan Lingkungan Hidup dengan ancaman hukum penjara maksimal 10 tahun dan denda maksimal Rp 10 miliar.  “Penyelamatan lingkungan dan hutan merupakan salah satu prioritas kami, termasuk penyelamatan kawasan hutan dan lingkungan di Bangka. Perusakan lingkungan dan hutan di Bangka sudah sangat masif terjadi. Penindakan tegas harus dilakukan. Kalau perusakan seperti ini terus terjadi nanti negara akan rugi dan masyarakat yang akan jadi korban,” sebut Yazid."
"Kompas.com - 20/03/2020, 19:26 WIB","Seorang Ibu Tewas Setelah Selamatkan Anak dan Keponakannya Saat Terjadi Kebakaran, Begini Kronologinya"," - Seorang ibu bernama Julianti Astuti (34), tewas setelah menyelamatkan anak dan keponakannya yang masih balita saat terjadi    di rumah saudaranya di Dusun 13 Talang Buluh Teluk, Desa Ulu Danau, Kecematan Sindang Danau, Kabupaten   ,   , Rabu (18/3/2020) pukul 02.00 WIB. Julianti tewas setelah mengalami luka bakar 100 persen di tubuhnya. Sementara, suami korban bernama Aman (35) dan kedua anaknya Alpais (4) dan Ahmad Thohir yang berusia (40 hari) serta keponakan korban, Agung (5) dan bayi berusia empat bulan selamat meskipun kelimanya juga mengalami luka bakar. Dikutip dari  , Camat Sindang Danau, Sutina mengatakan, peristiwa itu terjadi di rumah pondok milik Susi Susanti, adik perempuan Aman, suami dari Julianti. Aman dan istrinya saat itu tengah bermalam di pondok saudaranya tersebut karena baru saja meninggal dunia. Mereka bermaksud untuk menemani keponakannya yang masih balita. “   bermula sekitar Pukul 02.00 WIB. Saat itu, lampu tempok/tempel dipondok tersebut mengalami kehabisan minyak korban (Julianti) bermaksud mengisi ulang tetapi salah menggunakan bahan bakar bensin,"" kata Sutina dikutip dari  . Seketika itu juga korban terkejut, bahkan api sempat menyambar baju yang dikenakannya. Kepanikannya pun bertambah, karena semburan api yang menyembar bensin tersebut juga mengenai selimut yang digunakan anak dan keponakannya sehingga anak-anak dan keponaknnya terbakar, termasuk suaminya. Melihat situasi itu, korban pun berjibaku menyelamatkan anak dan keponakan serta membangunkan suaminya Aman, yang tubuhnya juga ikut terbakar hingga anak dan keponakannya berhasil diselamatkan “Korban telah disemayamkam di Tempat Pemakaman Umum (TPU) Desa Ulu Danau pada Kamis siang,” ujarnya.  "
"Kompas.com - 16/03/2020, 07:45 WIB",Ini Langkah Pemkot Semarang Antisipasi Penyebaran Virus Corona," – Wali Kota Semarang    melalui surat edaran bernomor B/1395/440/III/2020 menyatakan bahwa Kota Semarang meningkatkan kewaspadaan terhadap penularan   . Hendi (sapaan akrab Wali Kota Semarang) meminta semua pihak, mulai jajaran pemerintah, BUMN/BUMD, sekolah, perhotelan, hingga mal untuk mengambil langkah aktif mencegah penularan virus corona. Langkah itu antara lain seperti melakukan sosialisasi dan edukasi pencegahan virus corona, menyiapkan alat deteksi suhu tubuh (thermo gun), antiseptik, dan masker bagi yang sakit. Langkah antisipasi lain adalah seperti menunda kegiatan yang mendatangkan banyak peserta, membuat posko informasi terpadu, dan meliburkan sekolah, mulai TK hingga SMP dari Senin-Minggu, 16-29 Maret 2020. Selain itu, Hendi mengatakan Pemerintah Kota (Pemkot) Semarang juga membentuk satuan atau gugus tugas yang dikomandoi Wakil Wali Kota Semarang Hevearita Gunaryanti Rahayu. “Gugus tugas akan bergerak cepat mengantisipasi penyebaran dan pos informasi Covid-19,” kata Wali Kota Semarang dalam keterangan tertulis saat Konferensi Pers Pencegahan    di Ruang Lokakrida Balaikota Semarang, Minggu (15/3/2020). Antisipasi, imbuh dia, salah satunya dilakukan dengan melacak setiap pasien positif virus corona untuk diteliti dampaknya di Kota Semarang. “Termasuk mengidentifikasi dan mendata warga Kota Semarang yang punya histori perjalanan ke luar negeri atau wilayah lain yang terjangkit dalam kurun waktu 2 minggu ini,” ujar Hendi. Pihaknya juga mengupayakan bisa menyiapkan anggaran tak terduga Rp 5 miliar, di samping anggaran penyediaan antiseptik Dinas Kesehatan. “Dana itu akan digunakan untuk membeli beberapa perlengkapan dan obat untuk pencegahan Covid-19, menyesuaikan dengan kondisi dan kebutuhan di lapangan,” imbuh Hendi.    juga membersihkan fasilitas umum seperti BRT Trans Semarang, mesin ATM, dan  . Meja, kursi, dan alat permainan turut serta dibersihkan. Telah disepakati pula bantuan dari tenaga keamanan TNI-Polri untuk membantu kegiatan sterilisasi wilayah. Sementara itu, Pemkot Semarang sudah memiliki kebijakan untuk kapal pesiar yang ingin bersandar di Semarang. Sama seperti Viking Sun, kebijakannya yakni tidak boleh bersandar. Namun saat kapal pesiar Albatros hendak bersandar, rapat diambil alih Sekda Provinsi Jawa Tengah. “Albatros belum sampai, tiba–tiba Columbus bersandar. Kemudian kebijakan rapatnya menerima, walaupun saya sudah memberi masukan,” kata Hendi. Meski demikian, ia menyatakan bahwa hal itu bukan forum untuk saling menyalahkan. Dirinya juga sudah menelepon Sekda dan meminta tidak memaksakan kehadiran 24 kapal pesiar yang hendak bersandar. “Sudah ditolak saja dari jauh hari, sudah kami tegaskan,” kata Hendrar Prihadi."
