date,title,descs
"Kompas.com - 17/02/2020, 06:54 WIB","Riau Bakal Hadapi Kemarau Panjang, TNI Gunakan Alat Canggih Atasi Karhutla"," -    Kodim 0321/Rokan Hilir (Rohil) bersiap lebih dini untuk mencegah kebakaran hutan dan lahan (  ) di wilayahnya.  Pasalnya, tahun ini wilayah    diprediksi bakal dilanda musim kemarau panjang. Dan Pemerintah Provisi (Pemprov) Riau pun telah menetapkan status siaga darurat    hingga 31 Oktober 2020 mendatang. Untuk mengatasi karhutla, Kodim Rohil telah memiliki alat yang lebih canggih untuk memadamkan titik api. Nama alat tersebut, yakni Sambunesia Nozzle. Alat ini akan mempermudah petugas di lapangan untuk menyiramkan air ke titik api. Sabtu (15/2/2020), alat tersebut disimulasikan oleh tim terpadu karhutla yang dibentuk di Kecamatan Bagan Sinembah Raya. Simulasi dilakukan setelah gelar pasukan dan peralatan pemadam karhutla. Komandan Kodim 0321/Rohil Letnan Kolonel Arh Agung Rakhman Wahyudi menjelaskan keunggulan alat Sambunesia Nozzle kepada Kompas.com saat simulasi dilakukan bersama Kapolres Rohil, AKBP Mustofa dan Wakil Bupati Rohil, Jamiluddin. ""Alat ini kita gunakan untuk menyiram api yang bekerja secara mekanik. Kemudian memiliki sistem rotari. Tembakan air bisa berputar-putar, jadi seperti hujan,"" kata Agung."
"Kompas.com - 24/01/2020, 13:32 WIB","Antisipasi Virus Corona, Kemenhub Larang Maskapai Nasional Terbang ke Wuhan"," - Kementerian Perhubungan melarang    Indonesia untuk sementara waktu terbang ke Wuhan, China. Hal tersebut dilakukan untuk    masuknya wabah virus corona ke Indonesia.  Saat ini ada dua maskapai    nasional yang memiliki rute penerbangan ke Kota Wuhan yaitu Sriwijaya Air dan Lion Air.  Direktur Jenderal Perhubungan Udara,    B. Pramesti, mengatakan pihaknya akan mengantisipasi penyebaran virus corona melalui jalur penerbangan.  “Kami telah melakukan koordinasi intensif kepada seluruh maskapai penerbangan di Indonesia untuk mengantisipasi kemungkinan penyebaran virus    masuk ke Indonesia melalui aktifitas penerbangan,” ujar Polana dalam keterangan tertulisnya, Jumat (24/1/2020).  Polana menyebutkan, pihaknya telah mengeluarkan Surat Edaran Direktur Jenderal Perhubungan Udara melalui Direktur Keamanan    Nomor : SE.001/DKP/I/2020 tanggal 20 Januari 2020 yang berisikan empat perintah kepada maskapai. Adapun isi perintah tersebut adalah:  maskapai harus melengkapi kartu   (Gendec) untuk diberikan kepada petugas karantina kesehatan dibandara kedatangan.    maskapai wajib melaporkan kepada petugas lalu lintas udara yang bertugas apabila terdapat orang/penumpang yang diduga terpapar karena terjangkit di pesawat udara"
"Kompas.com - 15/08/2017, 20:17 WIB","Selasa Malam Ini di KompasTV, Episode Perdana “NGOPI (Ngobrol Pintar)”"," -    sebagai Televisi Berita dan Inspirasi Indonesia, akan terus konsisten untuk selalu menghadirkan tayangan-tayangan terbaik bagi seluruh masyarakat Indonesia. Dibuktikan dengan penayangan perdana program terbaru KompasTV yang berjudul, NGOPI (  ). Program   ini merupakan cerminan gaya hidup masyarakat perkotaan dalam membahas berbagai persoalan di negeri ini. Dikemas dengan susasana santai, cerdas, dan penuh dengan sindiran satire dalam menanggapi isu yang sedang hangat dibicarakan di Indonesia. Produser program NGOPI, Pratomo, mengatakan, “Berdebat cerdas, tanpa harus berbicara keras. Berbincang dengan narasumber yang pas di bidangnya masing-masing, NGOPI akan membawa para pemirsa pada cara pandang yang berbeda dalam sebuah persoalan di Negeri ini. NGOPI akan membahas setiap persoalan dengan pintar, dan sarat akan makna”. Acara yang dipandu oleh Inayah Wulandari, putri bungsu almarhum Gus Dur, juga Dicky Chandra, mantan politisi yang menjadi komedian dan selalu hadir dengan banyolannya yang cerdas. Keduanya akan didampingi oleh presenter KompasTV yang sudah terbiasa membawakan berita atas berbagai kondisi dan informasi terkini. Selain para  , program ini juga akan menghadirkan narasumber dari berbagai kalangan, yang memiliki cerita dan sudut pandangan menarik terkait tema yang sedang menjadi perbincangan. Episode perdana program NGOPI akan bertepatan dengan jelang 72 tahun Indonesia Merdeka. Karena itu, dalam episode perdana yang akan tayang pada Selasa malam ini, program NGOPI akan membahas mulai dari masalah intoleransi, anarkisme, hingga gaduh politik yang masih terjadi di usia Negara Indonesia yang menginjak 72 tahun.  Dengan menghadirkan Fahri Hamzah, selaku Wakil Ketua DPR RI, politisi muda Tsamara Amani, dan budayawan Sudjiwo Tejo, episode pertama program NGOPI akan mengangkat tema “Kita, Indonesia, dan 72 Tahun Merdeka”."
"Kompas.com - 27/01/2020, 12:18 WIB",Pemerintah Diminta Desak WHO Tetapkan Penyebaran Virus Corona Darurat Global," – Pemerintah diharapkan mendesak Organisasi Kesehatan Dunia (WHO) untuk menetapkan kasus persebaran virus    asal   , China sebagai kondisi darurat global. Hal itu menyusul penyebaran kasus ini yang kian cepat dan masif. “Kita harus mendesak agar WHO mengubah posisinya yang tadinya, katanya ini bukan suatu virus yang membahayakan dunia, untuk menjadikan (virus) itu membahayakan dunia,” kata pakar hukum internasional dari Universitas Indonesia   , kepada Kompas.com, Senin (27/1/2020). Berdasarkan perkembangan terakhir, tak kurang dari 80 orang meninggal dunia dan 2.300 orang lainnya terjangkit virus baru ini. Selain itu, virus ini juga telah menyebar ke-12 negara antara lain Vietnam, Jepang dan Amerika Serikat. Menurut dia, sulit bagi pemerintah Indonesia maupun pemerintah negara lain melarang Warga Negara China masuk negara mereka bila tidak ada pernyataan resmi dari WHO yang menyatakan virus ini menjadi ancaman global. “Karena kalau itu dilakukan (melarang WN China masuk) melanggar hak asasi manusia,” kata dia. Meski demikian, Hikmahanto menambahkan, pemerintah melalui Direktorat Jenderal Imigrasi masih tetap dapat melarang WN China masuk ke dalam negeri dengan pertimbangan alasan keamanan negara. Sekali pun ke depannya akan muncul anggapan adanya ‘diskriminasi’ terhadap WN China yang hendak masuk ke dalam suatu negara. Meski demikian, ia menilai, hal itu masih dapat dimahfumi, termasuk oleh Pemerintah China itu sendiri."
"Kompas.com - 26/07/2018, 18:12 WIB",Inovasi Menjawab Tantangan Literasi Baca Anak Indonesia," - Merayakan hari Anak Nasional (HAN), Badan Penelitian dan Pengembangan (Balitbang)    dan program kemitraan    untuk Anak Sekolah Indonesia (  ) kembali menggelar forum diskusi Temu INOVASI di Gedung Kemendikbud, Jakarta (26/7/2018). Dengan tema “Mendorong Minat    Anak Indonesia”, forum ini menghadirkan  guru dan tenaga kependidikan dari Kalimantan Utara, perwakilan pemerintah daerah serta Bunda Baca Provinsi Kalimantan Utara. Balitbang Kemendikbud dan program kemitraan INOVASI menyerukan pentingnya mendorong budaya membaca anak. Dalam sambutannya, Kepala Balitbang Kemendikbud Totok Suprayitno menyampaikan perlunya    yang menitikberatkan pada pengembangan sumber daya manusia. ""Kalau inovasi hanya dilakukan pada sarana, benda, saat yang memberikan sarana itu pergi maka inovasi tidak akan berkembang, berhenti atau bahkan hilang nantinya,"" jelas Toto. Toto menambahkan, kunci inovasi pembelajaran terletak pada guru. ""Sekolah berkualitas itu terlihat dari gurunya, bukan gedung atau fasiltas,"" lanjutnya. Guru perlu diberdayakan agar nantinya mampu menciptakan inovasi-inovasi dalam pembelajaran terhadap siswa.  Senada dengan hal itu, Mark Heyward Direktur Program INOVASI yang merupakan program kemitraan dengan pemerintah    menyampaikan fokus utama INOVASI adalah pada pemberdayaan pendidikan dasar terutama dalam pengembangan kemampuan dasar, salah satunya membaca. ""Saat ini INOVASI telah membangun 15 program rintisan di 17 kabupaten di Indonesia untuk meningkatkan    membaca anak Indonesia, khususnya di pendidikan dasar,"" ujar Mark."
"Kompas.com - 16/02/2020, 20:00 WIB","Presiden Bisa Ubah UU, Syarief Hasan Ingatkan ""Itu Hak Legislasi DPR"""," - Wakil Ketua MPR RI    angkat bicara terkait pasal kontroversial Omnibus Law RUU Cipta Kerja yang membuat Presiden Joko Widodo berhak mencabut Undang-Undang (  ) melalui Peraturan Pemerintah (  ). Menurut dia, pencabutan UU sepenuhnya ada di tangan para legislator. ""Hak untuk lakukan legislasi itu kan ada di DPR, itu saja,"" ujar Syarief usai menghadiri forum diskusi di kawasan Wahid Hasyim, Jakarta Pusat, Minggu (16/2/2020). Syarief meminta pemerintah tidak mengurangi fungsi DPR dalam hal legislasi, penganggaran dan pengawasan. Dia mengatakan, prinsip dan fungsi tersebut sudah dijamin pula oleh UU. ""Saya nggak tahu apakah sudah disikapi atau belum (oleh DPR). Tetapi fungsi dari DPR kan ada tiga, budgeting, legislasi dan pengawasan. Jadi itu prinsipnya, itu di undang-undang,"" kata dia. Syarief Hasan menambahkan, pihaknya masih menunggu hasil penggodokan, mengingat    masih dalam pembahasan. Di dalam pembahasan itu, ia pun menyarankan agar paket penyederhanaan aturan itu tak melangkahi fungsi DPR. ""(Yang penting) jangan mengeliminir fungsi dari pada DPR,"" tegas dia. Seperti diketahui, dalam pasal 170 ayat 1 BAB XIII RUU Omnibus Cipta Kerja, Kepala Negara memiliki kewenangan mencabut UU melalui PP dalam rangka percepatan pelaksanaan kebijakan strategis cipta kerja. Tidak hanya itu, Jokowi juga memiliki kewenangan mencabut Perda yang bertentangan dengan undang-undang di atasnya melalui Peraturan Presiden (Perpres). Hal itu termaktub pada Pasal 251 di draf RUU Omnibus Law Cipta Kerja, yang menggantikan Pasal 251 dalam Undang-Undang Nomor 9 Tahun 2015 tentang Pemerintahan Daerah (Pemda)."
"Kompas.com - 27/02/2020, 12:55 WIB",Lion Air Belum Hentikan Penerbangan ke Arab Saudi," Maskapai penerbangan    hingga kini masih melayani penerbangan ke   . Pada hari ini, pemerintah Arab Saudi mengumumkan kedatangan turis atau jemaah dari negara lain akibat wabah virus corona.  ""Lion Air hingga saat ini masih mengoperasikan layanan penerbangan    atau belum mengalami pembatalan,"" kata Corporate Communications Strategic of Lion Air, Danang Mandala Prihantoro melalui keterangan tertulisnya, Jakarta, Kamis (27/2/2020).    Namun, Danang mengaku pihak maskapai terus berkoordinasi dengan otoritas penerbangan setempat di Arab Saudi bila ada perkembangan status pembatasan tersebut.  ""Lion Air akan menyampaikan pemberitahuan kepada para tamu jamaah dan mitra sesuai perkembangan lebih lanjut,"" ujarnya.  Adapun operasional Lion Air di Arab Saudi meliputi Madinah-Bandar Udara Internasional Pangeran Mohammad bin Abdulaziz (MED) dan Jeddah menuju Bandar Udara Internasional King Abdulaziz (JED).  Selama ini, lanjut Danang, Maskapai Lion Air telah mengoperasikan rata-rata 4-5 kali penerbangan umrah per hari dari Indonesia.  ""Lion Air dalam menjalankan operasional sesuai dengan standar operasional prosedur yang memenuhi kualifikasi aspek keselamatan, keamanan dan kenyamanan penerbangan (safety first),"" ujarnya.    Kementerian Luar Negeri Arab Saudi baru saja mengeluarkan aturan mengenai penangguhan sementara izin visa untuk tujuan umrah dan mengunjungi Masjid Nabawi. Kebijakan tersebut berlaku mulai hari ini.   Dikutip dari  , Kamis (27/2/2020), tak hanya visa umrah, Arab Saudi juga telah menangguhkan visa turis yang datang dari negara-negara dengan kasus virus corona.  Pun otoritas kesehatan Arab Saudi terus memantau perkembangan terkini dari penyebaran virus corona yang mulai menginfeksi sejumlah negara Teluk dalam beberapa hari terakhir."
"Kompas.com - 23/01/2020, 20:06 WIB","Antisipasi Virus Corona, Pemeriksaan Penumpang di Pelabuhan Diperketat "," Kementerian Perhubungan melalui Direktorat Jenderal Perhubungan Laut akan memperketat pengawasan penumpang di pelabuhan untuk mencegah penyebaran   . Direktur Kesatuan Penjagaan Laut dan Pantai (KPLP) Ahmad mengatakan, pengetatan pengawasan akan dilakukan bekerja sama dengan Kantor Kesehatan Pelabuhan (KKP). “Setiap penumpang yang baru tiba utamanya yang berasal dari negara terjangkit seperti Tiongkok dan Hongkong harus melewati thermal scanner untuk mengetahui suhu tubuhnya. Bila tinggi maka petugas akan melakukan pemeriksaan lanjutan,” tutur Ahmad dalam keterangan tertulis, Kamis (23/1/2020). Pemeriksaan kesehatan penumpang di pelabuhan akan diperketat, khususnya di pelabuhan yang melayani kapal-kapal internasional. Salah satu langkah yang akan dilakukan adalah pemasangan   untuk mendeteksi peningkatan suhu tubuh penumpang yang dipasang pada area kedatangan internasional. Batam adalah salah satu contoh wilayah yang pelabuhan-pelabuhan internasional telah dipasang alat   di pintu masuk internasional, seperti Pelabuhan Sekupang, Harbour Bay dan pelabuhan lainnya. Selain itu, Dirjen Hubla minta kepada jajarannya di pelabuhan untuk melakukan identifikasi pelayaran dari China dan Hongkong. Serta melakukan sosialisasi kepada petugas pelabuhan untuk dapat mengenali secara dini gejala penyakit dan melaporkannya kepada petugas Kantor Kesehatan Pelabuhan. Diantaranya segera melapor ke petugas KKP bila menemukan ada penumpang kapal yang kondisi subu tubuh yang lebih dari 38 derajat celcius dan memiliki riwayat perjalanan dari China atau Hong Kong Begitupun jika ada kapal masuk dari China, maka seluruh petugas harus mengenakan masker. Terlebih saat memasuki libur Tahun Baru Imlek ini perlu ditingkatkan kewaspadaannya, khususnya terhadap penumpang dan kapal yang datang dari China.   “Kami juga mengimbau kepada setiap penumpang, khususnya bagi Warga Negara Indonesia yang akan bepergian keluar negeri atau pulang dari luar negeri agar menggunakan alat pelindung diri seperti masker serta senantiasa menerapkan perilaku hidup bersih dan sehat,” ucap Ahmad."
"Kompas.com - 27/03/2020, 18:31 WIB","Turis Jerman Pingsan, Petugas Evakuasi Gunakan APD"," - SUW (68), warga negara Jerman ditemukan pingsan di Jalan Pantai Sindhu Sanur   , pada Jumat (27/3/2020) pukul 13.00 Wita.  Ia dievakuasi petugas medis yang memakai alat perlindungan diri (APD) lengkap. Turis tersebut lantas dibawa ke RSUD Bali Mandara, Jalan By Pass Ngurah Rai, Denpasar.  Kepala BPBD Denpasar Ida Bagus Joni Ariwibawa mengatakan, dari pemeriksaan awal tak ada gejala virus corona atau Covid-19.   ""Tidak ada gejala seperti batuk, demam, dan pilek,"" kata Joni, saat dihubungi.   Sementara itu, Kepala Polsek Denpasar Selatan Kompol Nyoman Wirajaya menduga, turis tersebut pingsan karena kelelahan saat jalan kaki.   ""Dari hasil cek dari tim medis bahwa orang tersebut diduga mengalami kelelahan dan sudah lanjut usia,"" ujar dia.  Diketahui, turis tersebut menginap di salah satu hotel di Sanur.   Ia masuk pada 23 Maret dan rencananya akan keluar pada 31 Maret 2020.  Kendati tak menunjukan gejala virus corona, tim penanggulangan Covid-19 Desa Sanur Kauh melakukan penyemprotan desinfektan di sekitar Jalan Pantai Sindhu.   ""Untuk mengantisipasi pencegahan penularan virus Covid-19,"" kata Wirajaya."
"Kompas.com - 19/02/2020, 16:00 WIB",Buwas: Stok Beras Nasional Masih “Dihantui” Mafia,"   Direktur Utama Perum       memastikan stok    untuk pasar dalam negeri hingga hari ini masih aman. Menurut pria yang akrab disapa Buwas ini, Bulog saat ini masih mempunyai    sebanyak 1,7 juta ton.  “(Stok) beras sangat aman, hari ini saya mengurai beras saya yang serapan dalam negeri, yang diserap gabah hari ini saya ekspor ke Saudi Arabia. Karena minimal dua bulan lagi saya harus serap, minimal serap 1,7 juta ton,” ujar Buwas di kantornya, Jakarta, Rabu (19/2/2020).    Buwas menambahkan, berdasarkan prediksi Kementerian Pertanian, pada April 2020 para petani nasional akan memanen beras 7 juta ton.   Atas dasar itu, pihaknya harus segera mengalokasikan beras yang ada saat ini agar saat masa panen tiba beras para petani bisa terserap.  “Tapi kalau bisa keluarkan beras kita yang 1,7 juta ton, kalau keluar 1 juta ton, ya saya bisa serap di atas 2 juta (ton),” kata mantan Kepala BNN itu.  Kendati stok beras aman, Budi tak bisa memastikan aman dari permainan mafia. Sebab, menurut dia, para mafia pandai memanfaatkan peluang yang ada, misalnya dari program pemerintah Bantuan Pangan Non Tunai (BPNT).  “Belum tentu aman dari mafia. Karena mafia mencari peluang terus. Dalam program BPNT misalnya, itu kan dimanfaatkan kelompok mafia,” ucap dia.    Sebelumnya, Budi Waseso pernah mengatakan, oknum atau mafia penyalur beras program Bantuan Pangan Non Tunai (BPNT) dapat meraup keuntungan hingga Rp 9 miliar per bulan.  Budi Waseso atau akrab disapa Buwas membeberkan hasil penemuannya dari berbagai modus kejahatan yang dilakukan para penyalur   . Salah satunya yang dilakukan oknum tersebut adalah dengan mengoplos atau mengganti beras premium menjadi beras medium.  ""Kalau setiap bulan kita rata-rata dari penyalur, mereka sudah dapat keuntungan Rp 9 miliar lebih. Saudara-saudara kita penerima BPNT harusnya terima 10 kilogram ini disunat hanya terima tujuh kilogram,"" kata Buwas beberapa waktu lalu."
