date,title,descs
"Kompas.com - 01/08/2019, 12:42 WIB",Kompas.com Kembali Jadi Pemenang Kategori Media Online Tepercaya," —   , lembaga arbiter internasional untuk   terkemuka bersama lembaga survei Nielsen kembali memberikan apresiasi kepada merek-merek terbaik Indonesia. Untuk kategori Trusted Online Media (   tepercaya),   tampil sebagai pemenang di antara ribuan media   yang tumbuh dan berkembang di era digital di Indonesia. Pada 2018, Dewan Pers mencatat, setidaknya ada 43.000 media   di Indonesia. Dari puluhan ribu media   itu, tidak lebih dari 200 media   yang dikategorikan terverifikasi. Pengumuman pemenang dan pemberian penghargaan kepada   sebagai media   tepercaya dilakukan pada Gala Awards Superbrands 2019 di Ballroom 1, Sheraton Gandaria, Jakarta, Jumat, 26 Juli 2019. Superbrands adalah lembaga yang sudah berdiri selama lebih dari 26 tahun di lebih dari 86 negara. Atas pengakuan dan penghargaan Superbrands 2019 untuk   sebagai media   tepercaya ini, Pemimpin Redaksi   Wisnu Nugroho mengucapkan terima kasih khususnya kepada para pembaca. “Pengakuan dan penghargaan ini adalah peneguh atas upaya jurnalistik   selama 23 tahun lebih untuk menjadi media rujukan tepercaya bagi para pembaca,” ujar Wisnu di Jakarta, Kamis (1/8/2019). Untuk   yang didirikan pada 14 September 1995, penghargaan sebagai media   tepercaya merupakan penghargaan berturut-turut kedua setelah pada 2018 mendapat penghargaan yang sama. “Terima kasih pertama-tama untuk para pembaca,” ujar Wisnu Nugroho. Dalam satu tahun terakhir, sebagai media   tepercaya,   berperan dalam jaringan internasional penguji fakta (International Fact Checking Network/IFCN) untuk melawan hoaks dan mengungkapkan kebenaran dengan kerja-kerja jurnalistik. Terkait pemberian penghargaan ini, CEO Superbrands Indonesia Grandtyana Mayasari mengatakan, penghargaan yang diraih para pemilik   merupakan bukti pencapaian. “  yang mendapat Superbrands Awards 2019 telah menjadi TOP of Mind yang mendapat tempat sangat spesial di mata para konsumen, melalui inovasi-inovasi yang dilakukan selama ini,” ujar Grandtyana. Acara Gala Awards Superbrands Indonesia 2019 dihadiri sekitar 40   terkemuka di Indonesia yang mendapatkan status dan penghargaan berdasarkan penilaian yang dilakukan oleh Nielsen dengan 38 kategori penghargaan.      "
"Kompas.com - 27/02/2020, 13:44 WIB",Ini Wujud Nyata Kepedulian Sinar Mas terhadap Lingkungan," – Presiden    pernah mengatakan jika    yang terus berulang bukan hanya disebabkan oleh kerusakan lingkungan.    juga diperparah oleh kebiasaan masyarakat yang membuang    sembarangan. Hal itu berarti budaya memilah sampah perlu ditumbuhkan di ranah keluarga.    pun tidak tinggal diam dengan situasi itu. Melalui salah satu pilarnya, Sinar Mas telah melakukan sejumlah kegiatan sebagai upaya mewujudkan Program CSR bidang lingkungan. Contoh program adalah Festival Hijau yang rutin diselenggarakan sejak 2004 sebagai upaya mengampanyekan, melatih, membina, dan gerakan moral, penghargaan, serta promosi terhadap semua aspek lingkungan. Kepedulian Sinar Mas terhadap lingkungan tidak hanya berhenti sampai di situ saja. Baru-baru ini, Sinar Mas kembali melakukan aksi nyata untuk membangun budaya memilah sampah. Sinar Mas mulai berupaya membudayakan pilah sampah dari rumah melalui salah satu pilar usahanya pada warga klaster Victoria River Park dan Greencove, BSD City, Tangerang Selatan. Upaya itu dilakukan dengan mengedukasi warga di sana untuk memilah sampah rumah tangga, mengonversinya menjadi uang, dan menyalurkannya untuk masyarakat kurang mampu. Hingga ujung Februari 2020, warga sudah lima kali berkumpul untuk belajar dan mempraktikkan cara mendaur ulang sampah.    organik mereka jadikan bahan baku pembuatan barang kebutuhan sehari-hari seperti pembersih lantai dan sabun cuci piring. Sementara itu, sampah anorganik dikirim ke pihak pengepul yang akan melakukan daur ulang. Hasil penjualan sampah lantas menjadi dana sosial. ""Kegiatan seperti ini merupakan bentuk kesadaran warga terhadap pentingnya memilah sampah, khususnya sampah plastik,” kata seorang warga bernama Ketty di Tangerang Selatan, Sabtu (22/02/2020) dalam keterangan tertulis. Ia melanjutkan, kegiatan pilah sampah itu diharapkan menjadi kebiasaan di klusternya dan bermanfaat bagi masyarakat kurang mampu. Pentingnya pilah sampah pun kian terasa saat banjir besar melanda Jabodetabek awal Januari 2020. Saat itu, 119 titik di Kota Tangerang Selatan sempat terendam banjir. Banjir menghasilkan tak kurang dari 130 ton sampah. Menurut Dinas Lingkungan Hidup Kota Tangerang, sampah rumah tangga mendominasi tumpukan sampah itu. Saat ini, sudah ada 25 kepala keluarga terlibat dalam awal kegiatan pilah sampah itu, sehingga belum dihitung berapa sampah yang dipilah. Meski demikian, inisiatif untuk membangun budaya peduli lingkungan mulai dari rumah telah mereka mulai sebagai bagian dari keseharian."
"Kompas.com - 17/02/2020, 06:54 WIB","Riau Bakal Hadapi Kemarau Panjang, TNI Gunakan Alat Canggih Atasi Karhutla"," -    Kodim 0321/Rokan Hilir (Rohil) bersiap lebih dini untuk mencegah kebakaran hutan dan lahan (  ) di wilayahnya.  Pasalnya, tahun ini wilayah    diprediksi bakal dilanda musim kemarau panjang. Dan Pemerintah Provisi (Pemprov) Riau pun telah menetapkan status siaga darurat    hingga 31 Oktober 2020 mendatang. Untuk mengatasi karhutla, Kodim Rohil telah memiliki alat yang lebih canggih untuk memadamkan titik api. Nama alat tersebut, yakni Sambunesia Nozzle. Alat ini akan mempermudah petugas di lapangan untuk menyiramkan air ke titik api. Sabtu (15/2/2020), alat tersebut disimulasikan oleh tim terpadu karhutla yang dibentuk di Kecamatan Bagan Sinembah Raya. Simulasi dilakukan setelah gelar pasukan dan peralatan pemadam karhutla. Komandan Kodim 0321/Rohil Letnan Kolonel Arh Agung Rakhman Wahyudi menjelaskan keunggulan alat Sambunesia Nozzle kepada Kompas.com saat simulasi dilakukan bersama Kapolres Rohil, AKBP Mustofa dan Wakil Bupati Rohil, Jamiluddin. ""Alat ini kita gunakan untuk menyiram api yang bekerja secara mekanik. Kemudian memiliki sistem rotari. Tembakan air bisa berputar-putar, jadi seperti hujan,"" kata Agung."
"Kompas.com - 24/01/2020, 13:32 WIB","Antisipasi Virus Corona, Kemenhub Larang Maskapai Nasional Terbang ke Wuhan"," - Kementerian Perhubungan melarang    Indonesia untuk sementara waktu terbang ke Wuhan, China. Hal tersebut dilakukan untuk    masuknya wabah virus corona ke Indonesia.  Saat ini ada dua maskapai    nasional yang memiliki rute penerbangan ke Kota Wuhan yaitu Sriwijaya Air dan Lion Air.  Direktur Jenderal Perhubungan Udara,    B. Pramesti, mengatakan pihaknya akan mengantisipasi penyebaran virus corona melalui jalur penerbangan.  “Kami telah melakukan koordinasi intensif kepada seluruh maskapai penerbangan di Indonesia untuk mengantisipasi kemungkinan penyebaran virus    masuk ke Indonesia melalui aktifitas penerbangan,” ujar Polana dalam keterangan tertulisnya, Jumat (24/1/2020).  Polana menyebutkan, pihaknya telah mengeluarkan Surat Edaran Direktur Jenderal Perhubungan Udara melalui Direktur Keamanan    Nomor : SE.001/DKP/I/2020 tanggal 20 Januari 2020 yang berisikan empat perintah kepada maskapai. Adapun isi perintah tersebut adalah:  maskapai harus melengkapi kartu   (Gendec) untuk diberikan kepada petugas karantina kesehatan dibandara kedatangan.    maskapai wajib melaporkan kepada petugas lalu lintas udara yang bertugas apabila terdapat orang/penumpang yang diduga terpapar karena terjangkit di pesawat udara"
"Kompas.com - 20/12/2018, 20:14 WIB",4 Langkah Membangun Literasi Digital Sehat Dalam Keluarga,"   atau remaja yang mengakses internet secara tidak terkendali mempunyai beberapa potensi risiko. Pasalnya, mereka sangat berpeluang berinteraksi dengan orang yang mungkin bisa membahayakan dirinya. Misal, terpapar konten penyimpangan sosial, terhubung dengan  , terpapar konten pornografi/kekerasan/kebencian dan  , tereksploitasi secara komersial, terganggu privasinya, dan terhubung dengan orang yang tidak dikehendaki. Masalahnya, tidak terkendalinya    dan remaja dalam mengakses internet berawal dari dalam    sendiri. Awalnya kehadiran teknologi    di rumah disambut antusias oleh seluruh anggota keluarga. Tetapi lama kelamaan anak dan remaja membiarkan dirinya hidup dalam dunia maya yang dianggapnya lebih menarik ketimbang dunia nyata. Penting bagi    melakukan pengawasan untuk dapat mengurangi dampak negatif teknologi digital. Melansir Forum Sahabat    Kemendikbud, ada beberapa upaya dapat dilakukan orangtua sendiri agar dapat menanamkan    sehingga lebih banyak manfaat yang dapat diraih dan meminimalkan dampak negatif teknologi digital. Berikut ini di antaranya:    seharusnya tahu situs-situs apakah yang memberi manfaat di internet bagi anggota keluarga dan situs apa yang justru akan merugikan bagi mereka. Dengan demikian orangtua dapat mengarahkan anggota keluarga untuk menggunakan akses internet secara sehat. Kondisi ini harus dipahami para orangtua di lingkungan keluarga. Mereka tidak bisa menghindari tuntutan jaman untuk selalu menambah pengetahuan mereka tentang teknologi digital. Jika hal ini tidak dilakukan, orangtua akan kesulitan untuk memberikan tuntunan bagi anak-anak mereka dan tidak bisa melindungi mereka dari dampak negatif penggunaan teknologi digital. Dengan kata lain orangtua perlu belajar memahami teknologi digital secara terus menerus."
"Kompas.com - 27/03/2020, 16:34 WIB",Petugas Kesehatan Cek Suhu Tubuh Warga Melintas di Perbatasan Manggarai Timur,"-  Cegah penyebaran    di wilayah Kabupaten   , Pemkab Manggarai Timur memeriksa suhu tubuh penumpang yang masuk ke wilayah Manggarai Timur melaui jalur perbatasan di Jembatan Waemokel dan Mano. Suhu tubuh warga yang melintas dicek dengan thermogun oleh petugas medis, Jumat, (27/3/2020). ""Pagi ini di jembatan perbatasan Kabupaten Manggarai Timur dengan Kabupaten Ngada dilakukan pengecekan seluruh penumpang yang dari arah timur menuju ke arah barat. Suhu tubuh sopir bis dan penumpang dicek dengan alat thermogun yang dilakukan petugas kesehatan dari Puskesmas Waelengga,"" ujar Wakil Bupati Manggarai Timur Jaghur Stefanus saat dihubungi  , Jumat. Stefanus menjelaskan, Kabupaten Manggarai Timur sudah menerapkan lockdown di bagian utara dan selatan untuk mencegah penyebaran   . Semua warga yang baru datang dari luar dan yang mau keluar, dicek suhu tubuh di wilayah perbatasan. ""Pemerintah Daerah Manggarai Timur sudah menerapkan lockdown, serta memeriksa warga yang baru tiba dari luar daerah Manggarai Timur. Aparat Sipil Negara juga dilarang bepergian ke luar daerah saat ini sesuai instruksi Gubernur NTT Viktor Bungtilu Laiskodat. Saya juga bekerja di rumah saat ini,"" jelasnya. Stefanus menjelaskan, Pemkab Manggarai Timur sudah menyiapkan anggaran dari pergeseran APBD dengan memotong uang perjalanan dinas dari ASN di Mangggarai Timur. ""Untuk saat ini memotong uang perjalanan ASN di Kabupaten Manggarai Timur untuk penanganan dan pencegahan Covid-19 yang dilakukan seluruh ASN Manggarai Timur,"" jelasnya. "
"Kompas.com - 17/04/2017, 14:05 WIB","Indonesia Community Day, Kumpul-kumpul Seru Sambil Memenangkan Hadiah"," - Bukan sekadar acara seru-seruan dengan kumpul-kumpul bersama komunitas, di    yang digelar atas kerjasama    dan Tribun Jogja juga akan ada Instagram Competition yang sangat sayang untuk dilewatkan. Menurut COO Kompasiana, Iskandar Zulkarnaen, kompetisi ini akan berlangsung saat hari pelaksanaan Indonesia Community Day 2017 yakni pada 13 Mei mendatang. ""Tema kompetisi yang diambil sesuai dengan tema besar ICD 2017 ini yaitu 'Inspiraksi'. Peserta bisa mengunggah konten foto maupun video di Facebook dan Instagram,"" kata Iskandar melalui keterangan resminya. Berdasarkan halaman resmi Indonesia Community Day 2017 yang bisa  , kompetisi instagram ini akan dilaksanakan pada hari-H mulai pukul 10.00 sampai 18.00 WIB. Penjurian pun akan dilaksanakan pada hari yang sama yakni mulai pukul 18.00 sejak kompetisi ditutup hingga pukul 20.00 dan pemenang akan langsung diumumkan oleh pihak panitia. Persyaratannya cukup mudah, peserta hanya diminta mengambil foto maupun video yang menggambarkan tema besar ""Inspiraksi"" serta keseruan selama acara Indonesia Community Day 2017 berlangsung. Namun, ada perbedaan media yang digunakan dalam mem-  foto maupun video. Jika Anda mengikuti Instagram Competition berbasis foto, maka media yang digunakan adalah Facebook dan Instagram. Sedangkan jika hanya mengikuti kompetisi berbasis video, media yang digunakan adalah Instagram. Peserta bisa menceritakan bagaimana keseruan acara ICD 2017 yang berlangsung. Jangan lupa, peserta wajib mencantumkan tagar #INSPIRAKSI dan #ICDJOGJA dalam setiap konten yang diikutsertakan dalam lomba serta membagikan konten tersebut di akun Twitter masing-masing dengan mencantumkan tagar yang sama. Hadiahnya cukup menggiurkan. Ada 10 pemenang yang akan diambil oleh panitia yaitu 5 foto terbaik dan 5 video terbaik yang masing-masing peserta akan mendapatkan uang tunai sebesar Rp 500.000. Selain itu, 3 orang dengan postingan terbaik di Facebook akan mendapatkan uang tunai sebesar Rp 250 ribu dan 2 orang dengan   terbaik juga akan mendapatkan masing-masing uang tunai sebesar Rp 250 ribu. Acara Indonesia Community Day 2017 ini diharapkan dapat menjadi wadah bagi komunitas se-Indonesia untuk bisa saling mengenal, bertemu tatap muka dan berbagi inspirasi dan cerita dalam suasana yang penuh keakraban. Tema “Inspiraksi” dipilih di ICD 2017 dengan harapan dapat mengajak komunitas untuk saling berbagi inspirasi dengan membuat, menyebarkan konten dan aksi yang positif, sehingga mampu menginspirasi seluruh khalayak tak hanya netizen. "
"Kompas.com - 27/02/2020, 13:11 WIB",Lion Air Pastikan Penerbangan Umrah ke Arab Saudi Masih Beroperasi Normal," -    memastikan penerbangan umrah ke Arab Saudi masih beroperasi secara normal, pasca-Kementerian Luar Negeri Arab Saudi menangguhkan izin visa kunjungan.  Corporate Communications Strategic Lion Air Danang Mandala Prihantoro mengatakan, sampai dengan hari ini, Kamis (27/2/2020), penerbangan umrah ke Arab Saudi masih beroperasi normal.  ""Lion Air hingga saat ini masih mengoperasikan layanan penerbangan umrah atau belum mengalami pembatalan,"" ujarnya dalam keterangan tertulis, Kamis.  Lebih lanjut, Lion Air masih melakukan koordinasi lebih lanjut dengan otoritas penerbangan Arab Saudi terkait penangguhan visa kunjungan umrah dan kunjungan.  ""Serta akan terus mengumpulkan data dan berbagai keterangan,"" katanya.  Nantinya Lion Air akan memberikan informasi lebih lanjut terkait status penerbangan kepada seluruh jamaah umrah dan penumpang lainnya.  Danang menjelaskan, pihaknya melayani penerbangan di dua bandara Arab Saudi, yaitu Bandara Internasional Pangeran Mohammad bin Abdulaziz, Madinah dan Bandara Internasional King Abdulaziz, Jeddah.  Sementara untuk dalam negeri, Lion Air melayani penerbangan umrah dari 12 bandara nasional.  Yakni, Bandara Internasional Sultan Iskandar Muda, Aceh, Bandara Internasional Kualanamu di Deli Serdang, Sumatera Utara, Bandara Internasional Sultan Syarif Kasim II, Riau, Bandara Internasional Hang Nadim, Batu Besar, Kepulauan Riau.  Lalu ada, Bandara Internasional Sultan Mahmud Badaruddin II, Talang Betutu, Sukarami, Sumatera Selatan, Bandara Internasional Soekarno-Hatta di Tangerang, Banten, Bandara Internasional Adi Soemarmo, Jawa Tengah, Bandara Internasional Juanda di Sidoarjo, Jawa Timur, Bandara Internasional Syamsuddin Noor di Banjarbaru, Kalimantan Selatan.  Kemudian, Bandara Internasional Sultan Aji Muhammad Sulaiman Sepinggan, Kalimantan Timur, Bandara Internasional Sultan Hasanuddin di Maros, Sulawesi Selatan, dan Bandara Internasional Zainuddin Abdul Majid, Lombok Praya, Nusa Tenggara Barat.  ""Lion Air mengoperasikan rata-rata 4 sampai 5 kali penerbangan umrah per hari dari Indonesia,"" ucap Danang.  Sebagai informasi, Kementerian Luar Negeri Arab Saudi menangguhkan sementara izin visa untuk tujuan umrah dan mengunjungi Masjid Nabawi.   Dikutip dari Arab News, Kamis(27/2/2020), Arab Saudi juga telah menangguhkan visa turis yang datang dari negara-negara dengan kasus virus corona.  Pihaknya juga menyebut bahwa otoritas kesehatan Arab Saudi terus memantau perkembangan terkini dari penyebaran virus corona yang mulai menginfeksi sejumlah Negara Teluk dalam beberapa hari terakhir.  Tindakan tersebut dilakukan untuk tindakan pencegahan serta perlindungan terbaik bagi keselamatan warga dan setiap orang yang berniat mengunjungi Arab Saudi, baik untuk tujuan Umrah maupun wisata."
"Kompas.com - 16/03/2020, 11:42 WIB",Sekolah Muhammadiyah di Yogyakarta Gelar Aktivitas Belajar di Rumah," - Pimpinan Daerah    (PDM) Kota    menginstruksikan kepala sekolah Muhammadiyah/Aisyiyah se-Kota Yogyakarta agar melakukan kegiatan belajar mengajar secara online di rumah. Hal ini berlaku sejak surat instruksi dari Pimpinan Daerah Muhammadiyah (PDM) Kota Yogyakarta ini bernomor 074/III.0/A/2020 diterbitkan. ""Meniadakan kegiatan outing class di manapun, baik berupa perkemahan, studi wisata, outbond dan kegiatan lainya yang sejenis sampai batas waktu yang belum ditentukan,"" ucap Ketua PDM Akhid Widi Rahmanto, Senin (16/3/2020). Dia menambahkan, terkait teknis pembelajaranya diserahkan kepada sekolah masing-masing sampai ada regulasi dari dari Pemerintah Kota Yogyakarta. ""Sekolah agar menyiapkan konsep belajar secara online atau belajar secara alternatif yang lain di rumah, sebagai bentuk pengganti KBM di sekolah,"" ujarnya. Sementara itu, bagi guru dan karyawan tetap menjalankan aktivitas di sekolah sebagaimana biasa. Selain itu, pihak sekolah melaksanakan ujian nasional/UASBN/US sesuai dengan ketentuan pemerintah. Instruksi ini, kata dia, dikeluarkan menyikapi surat edaran Menteri Pendidikan dan Kebudayaan Republik Indonesia Nomor 3 Tahun 2020 serta surat edaran    Kota Yogyakarta Nomor 421/2439 tanggal 10 Maret 2020 tentang pencegahan terhadap resiko penularan Corona virus disease. Surat instruksi ini juga merupakan hasil rapat bersama Pimpinan Daerah Muhammadiyah Kota Yogyakarta, Pimpinan Daerah Aisyiyah Kota Yogyakarta, Majelis Dikdasmen PDM Kota Yogyakarta, Majelis Kesehatan Umum PDM Kota Yogyakarta, dan Badan Kerjasama Sekolah Lintas Jenjang Sekolah Muhammadiyah Kota Yogyakarta. Rapat ini digelar pada Sabtu 14 Maret 2020. Surat instruksi ini ditandatangani oleh Akhid Widi Rahmanto sebagai Ketua PDM Kota Yogyakarta."
"Kompas.com - 17/03/2020, 23:14 WIB","Tantangan Revolusi Industri 4.0, Ini Kunci agar Tak Terlindas Perubahan Zaman "," - Saat ini, dunia tengah bergerak cepat memasuki    4.0. Digitalisasi masuk ke setiap bidang kehidupan, mulai dari sektor manufaktur hingga finansial. Tanpa kualitas yang memadai, sumber daya manusia (SDM) Indonesia dipastikan bakal tertinggal dibandingkan negara-negara lain. Tak cukup berbekal    di sekolah,    yang dimiliki tiap pribadi perlu diasah dan dikembangkan sejak dini. Pengembangan bakat yang menjadi kunci untuk meningkatkan mutu SDM bisa dilakukan sejak anak, remaja, hingga manusia dewasa. Begitu pentingnya pengembangan bakat sebagai bekal menghadapi revolusi industri 4.0 itu mendorong lahirnya    (BEC) di kawasan Sunset Road, Kuta Utara, Bali. Lembaga pendidikan itu berkomitmen memajukan dunia pendidikan dan mendukung perekonomian pulau dewata sekaligus Indonesia. ""Tempat untuk mengembangkan bakat dan mengasah prestasi bagi anak-anak, remaja hingga dewasa ini secara tidak langsung dapat mempersiapkan individu-individu agar lebih berkompeten dan memiliki daya saing yang berkualitas,” kata pemilik Bali Education Center, Lenny Marlina Tanu, dalam pernyataan tertulis, Selasa (17/3/2020). Ia mengatakan, lembaga pendidikan itu menyediakan kelas bahasa Inggris, bahasa Indonesia, dan Mandarin untuk peserta dari berbagai tingkat usia dan kebutuhan. Selain itu, masyarakat dapat mempelajari komputer, termasuk dengan belajar membuat program website komputer, membuat video, matematika, dan berbagai alat musik di lembaga itu."
