title,descs
"VIDEO: Curi Motor Bareng, Wanita Ditinggal Kabur Pacar Saat Ditangkap Warga","Tak sendiri, seorang wanita bersekongkol bersama pacarnya untuk mencuri sepeda motor. Namun, sang pacar kabur meninggalkan wanita tersebut usai terciduk warga."
Bareskrim Polri Gagalkan Peredaran 821 Kg Sabu Jaringan Timur Tengah,"Saat dilakukan penggeledahan di gudang, pelaku mencoba menyamarkan sabu dengan buah asam kuranji."
Alasan Polisi Usut Kasus Remaja Tersangka Pembunuhan Bocah Tanpa Publikasi,"Kapolres Metro Jakarta Pusat Kombes Heru Novianto menyampaikan, pengusutan kasus NF, remaja diduga pembunuh bocah di kawasan Sawah Besar dilakukan diam-diam."
"Dapat Asimilasi, Bahar Bin Smith Bebas dari Penjara Lapas Cibinong","Bahar bin Smith, terpidana kasus penganiayaan pada anak di bawah umur, resmi menghirup udara bebas hari ini, Sabtu (16/5/2020) sore."
"VIDEO TOP 3: Istri Ahok, Puput Nastiti Devi Berulang Tahun","Video Top 3 hari ini ada berita terkait polisi mengkonfirmasi telah menangkap tiga orang pelaku pemerkosaan pada remaja N-F, istri Ahok, Puput Nastiti Devi hari ini berulang tahun, dan polisi mengkap pelaku jual beli surat sehat bebas Covid-19 di Bali."
"Remaja NF Tersangka Pembunuh Bocah Sudah Bisa Bergaul, Bermain, dan Mengaji","NF merupakan tersangka pembunuh bocah di Sawah Besar, karena terinspirasi film horor yang kerap ditonton."
Remaja Terduga Pembunuh Balita di Sawah Besar Diperkosa Lebih dari Sekali,Polisi menyebut dua pelaku pemerkosa melakukan pelecehan seksual terhadap NF sebelum peristiwa pembunuhan sadis terjadi.
Polisi Tangkap 3 Pemerkosa Remaja NF Terduga Pembunuh Bocah di Sawah Besar,Pemerkosaan diduga terjadi sebelum NF diduga membunuh bocah berinisial APA saat bermain di rumahnya.
"Tanam Ganja Hidroponik, Rumah di Kemang Jaksel Digerebek Polisi",Budi menemukan enam batang tanaman ganja berserta 79 gram ganja kering saat menggeledah ruangan di kediaman KW.
Sespri Prabowo Biayai Pendidikan Bocah Penjual Jalangkote Korban Bully di Sulsel,Sespri Prabowo meminta pihak berwajib untuk menindak tegas pelaku perundungan terhadap penjual jalangkote.
Dirjen PAS Tunggu Hasil Swab Narapidana Terindikasi Positif Corona Covid-19,Para petugas dan narapidana di Rutan Pondok Bambu dan Lapas Gorontalo yang terindikasi positif Covid-19 tengah dikarantina di ruangan khusus di dalam rutan maupun lapas
"Di Hadapan 70 Direksi dan Pegawai BUMN, KPK Ingatkan Ancaman Gratifikasi","Ipi mengatakan, jika penyelenggara negara atau pegawai negeri melaporkan penerimaan gratifikasi dalam 30 hari kerja, maka gugur ancaman pidana."
"Dirawat di RSPAD, Eks Menkes Siti Fadilah Negatif Covid-19",Kabag Humas dan Protokol Direktorat Jenderal Pemasyatakatan (Ditjen PAS) Rika Apriyanti menyebut bahwa Siti Fadilah yang menjalani masa pidana di Rutan Pondok Bambu itu dilarikan ke RSPAD Gatot Soebroto pada 20 Mei 2020 lantaran penyakit asma.
"Densus 88 Tangkap Terduga Teroris di Banten, Sita Majalah Jihad hingga Anak Panah","Detasmen Khusus (Densus) 88 Antiteror Polri menangkap seorang terduga teroris di Kelurahan Karaton, Kabupaten Pandeglang, Banten, pada Jumat 1 Mei 2020 lalu."
"Beragam Ujaran Kebencian Saat Covid-19, Dari Hina Presiden hingga Menkes","Yusri mengatakan, para pelaku sebagian besar menggunakan akun anonim atau palsu untuk menyebarkan konten-konten yang bermuatan negatif ke media sosial."
Jaksa Agung Beri Masukan Agar PSBB Bisa Efektif Dijalankan,Burhanuddin meminta agar pemerintah bisa melakukan tindakan secara tegas kepada masyarakat yang tak mengindahkan seruan pembatasan fisik di kala penerapan PSBB.
"Butuh Uang di Tengah Wabah Corona Demi Jajan Anak, Kuli Bangunan Nekat Jadi Maling","Hermanto, kuli bangunan, nekat merampok rumah tetangga majikannya di Kalideres, Jakarta Barat, dengan mematikan aliran listrik karena himpitan ekonomi di tengah pandemi Corona."
KPK Tahan 2 Tersangka Suap Perizinan di Lapas Sukamiskin,Deddy dijerat tersangka kasus dugaan suap perizinan di Lapas Sukamiskin karena diduga menerima imbalan dari terpidana kasus Alkes Tubagus Chaeri Wardhana alias Wawan.
Wanita Bersimbah Darah Ditemukan di Kamar Hotel Tamansari Jakbar,Diduga wanita itu korban percobaan pembunuhan.
Polisi: Perampokan Taksi Online di Rawamangun Terencana,Penyidik Sub Direktorat 3 Reserse Mobil (Resmob) Ditreskrimum Polda Metro Jaya menyebut pelaku perampokan dan pembunuhan terhadap sopir taksi online di Rawamangun telah direncanakan.
Pelaku Perampokan Modus Pecah Kaca Mobil di Depok 4 Orang,"Polisi menyatakan pelaku perampokan modus pecah kaca di Bojongsari, Kota Depok berjumlah empat orang."
KPK Kembalikan Uang Negara Rp 355 Juta dari Eks Wakil Ketua DPRD Sumut,"Komisi Pemberantasan Korupsi (KPK) menyetor uang ke kas negara sebesar Rp 355 juta dari terpidana Wakil Ketua DPRD Sumatera Utara periode 2009-2014, Sigit Pramono Asri."
Komisi IX DPR Sebut Relaksasi Iuran BPJamsostek Melegakan di Tengah Pandemi Covid-19,Relaksasi Iuran BPJamsostek itu akan memberikan manfaat bagi pelaku usaha untuk dapat bernafas mengelola keuangannya.
Waspada Aksi Perampok Modus Mematikan Listrik di Jakarta Barat,Komplotan perampok bersenjata itu melarikan diri setelah mendapatkan perlawanan dari penghuni rumah.
"Bagas, PNS Koboi Jalanan yang Rusak Mobil Jenderal Polisi di Jalan Tol","Dalam kasus ini, Brigjen Pol Erwin Chahara Rusmana adalah korbannya. Dia mengatakan, latar belakang pelaku terungkap saat di Polda Metro Jaya."
Cerita Brigjen Pol Erwin Chahara Rusmana Jadi Korban Koboi Jalanan,"Erwin mengatakan, pelaku langsung turun dengan membawa sebilah pisau. Kendaraan miliknya pun dirusak."
"Kasus Suap, Pejabat PUPR Muara Enim Divonis 4 Tahun Penjara","Selain pidana penjara, Elfin juga diwajibkan membayar uang pengganti Rp 2.365.000.000. Jika tidak dibayar, maka Elfin harus menggantinya dengan hukuman penjara selama 8 bulan."
Polisi Tangkap Pembunuh Sopir Taksi Online di Pulogadung,Pembunuhan yang menimpa sopir taksi online ini terjadi pada Kamis 30 April 2020.
Deretan Fakta 4 Remaja Perempuan Bunuh Sopir Taksi Online di Bandung,"Pembunuhan tersebut dilakukan lantaran mereka tidak bisa membayar ongkos dari arah Jakarta menuju Pangalengan, Bandung."
