title,descs
Ketua Gugus Tugas: 124 Kabupaten/Kota Nihil Kasus Positif Corona,"Kendati belum ada kasus, Doni mengatakan 124 kabupaten/kota tersebut belum bisa dipastikan 100 persen aman dari Corona."
Doni Monardo: 81 Persen Masyarakat Ingin Segera Akhiri PSBB,Doni mengaku prihatin melihat masih banyaknya masyarakat yang beraktivitas di luar rumah di masa PSBB.
"PSBB Jakarta Jilid III, Tak Ada Pelonggaran hingga Harap Warga Taat",Gubernur DKI Jakarta Anies Baswedan mengimbau masyarakat untuk terus disiplin berdasarkan protokol kesehatan dalam masa PSBB jilid III ini.
"Pandemi Corona, Masjid Agung Al Azhar Jakarta Selatan Tak Gelar Salat Idul Fitri",Yayasan Masjid Al Azhar Jaksel mengimbau masyarakat dan para jemaah untuk melaksanakan salat Idul Fitri di rumah masing-masing.
Pesan Jokowi Saat Lebaran di Tengah Pandemi Covid-19,"Jokowi menambahkan, hari raya di tengah pandemi dapat menambah peluang untuk tiap muslim melaksanakan ibadah."
"H-1 Lebaran, Polisi Sudah Putar Balik 68 Ribu Pemudik",Argo mengimbau masyarakat tetap disiplin untuk menerapkan aturan larangan mudik untuk mempercepat penanganan penyebaran Covid-19.
Menkes Sarankan Pilkada 2020 Ditunda hingga WHO Cabut Status Pandemi Corona,"Jika WHO belum mencabut status pandemi Covid-19, maka situasi kesehatan negara-negara dunia, termasuk Indonesia, belum bisa dipastikan."
Anies Sebut Ngabuburit Menambah Kasus Positif Corona di DKI Jakarta,"Menurut Anies, budaya mencari takjil setiap sore menjelang berbuka puasa bisa menjadi media penularan virus corona."
Ketua DPRD Gerah Pemprov DKI Sibuk Urus Anggaran Beli Tanah Saat Corona,Prasetio meminta Komisi C DPRD DKI untuk mengevaluasi usulan tersebut. Sebab dia menilai saat ini hal terpenting yakni penanggulangan dampak virus Corona.
"FOTO: Antisipasi Tertular Covid-19, Buruh Panggul Beras Dibekali Obat Herbal",Mengantisipasi penyebaran Covid-19 sejumlah kuli dan buruh di Pasar Induk beras Cipinang diberi obat herbal mentah untuk meredakan panas.
Pemuda Pancasila Beri Sanksi Anggota yang Minta THR ke Pengusaha di Bekasi,Ariyes mengaku telah menemui Majelis Pimpinan Nasional (MPN) Pemuda Pancasila untuk memberikan klarifikasi soal proposal tersebut.
Begini Panduan MUI Salat Idul Fitri di Masa Pandemi Covid-19,"Dalam ketentuannya, MUI mengimbau bagi masyarakat untuk tetap salat Idul Fitri, baik di rumah, di masjid/musala, maupun di lapangan."
KPK Dorong Transparansi Bansos di Jawa Barat,"Tiga kepala daerah di Jabar mengakui, ada pemahaman yang keliru di masyarakat tentang bansos."
"Anies: Tidak Ada Zona Merah Kuning Hijau di Jabodetabek, Semua Sama",Anies mengajak semua masyarakat mengikuti imbauan MUI Jakarta dan DMI untuk melaksanakan salat Idul Fitri di rumah masing-masing.
"MUI: Salat Idul Fitri 2020 Tidak Dilarang, Tapi di Rumah",MUI mengimbau semua pihak salat Idul Fitri di rumah masing-masing untuk mencegah penyebaran virus corona Covid-19.
Dishub DKI Sebut Jumlah Penumpang Angkutan Umum Turun hingga 88 Persen,Jumlah penumpang yang menggunakan transportasi umum juga ikut mengalami penurunan sejak dilaksanakannya imbauan work from home (WFH).
