title,descs
"TelkomGroup Donasi Hampir Rp40,7 Miliar Bagi Masyarakat Terdampak Covid-19","Selain berdonasi, TelkomGroup juga terima bantuan dari Menteri BUMN."
Doa Niat Zakat Fitrah untuk Diri Sendiri dan Orang Lain,Begini doa dan niat pembayaran zakat fitrah yang sudah bisa dilakukan hingga sebelum Hari Raya Idul Fitri.
"Bareng GKC Jokowi, Sandiaga Bagi-Bagi Sembako di Jakarta Selatan",Sandi menyusuri gang-gang kecil menuju pemukiman warga yang akan diberikan bantuan sembako.
Senyum Semringah Anak-Anak Yatim dapat Santunan di Tengah Pandemi Covid-19,"Bersama kaum dhuafa yang juga ikut hadir, para anak yatim dan anggota komunitas memanjatkan doa dan berzikir bersama, memohon agar pandemi Corona ini bisa segera berakhir."
Bandara Soekarno-Hatta Siapkan Protokol Antisipasi Pemberlakuan The New Normal,PT Angkasa Pura II (Persero) menyiapkan protokol guna mengantisipasi skenario The New Normal di tengah pandemi COVID-19.
"Di Sidoarjo, Pelangar PSBB yang Bandel Disanksi Ikut Makamkan Jenazah Pasien Corona",Forum Koordinasi Pimpinan Daerah Sidoarjo punya cara unik menyadarkan pelanggar kebijakan Pembatasan Sosial Berskala Besar (PSBB).
"Pandemi Corona, Penanganan Kekerasan pada Perempuan dan Anak Jadi Terkendala","Komisioner advokasi perempuan dan anak menyebut kecepatan penanganan kekerasan dalam rumah tangga (KDRT) melalui pusat layanan bantuan publik, seperti rumah aman, terkendala saat COVID-19."
"H-1 Lebaran 2020, Kasus Positif Corona di Jakarta Bertambah 127 Orang","Persentase kasus sembuh di Jakarta sebesar 25 persen, sementara kasus kematian akibat corona sebesar 8 persen."
Mulyadi Donasi 10 Ribu Paket Sembako ke Warga Sumbar Jelang Lebaran,Lasmawan menjelaskan bantuan dari Mulyadi akan berfokus kepada masyarakat berprofesi sebagai pejuang nafkah harian.
Cak Machfud Ajak Hafiz Surabaya Munajat Bersama Agar Corona Cepat Berakhir,"Selain doa bersama, Cak Machfud juga memberikan beberapa bantuan kepada para hafiz serta hafizah asal Surabaya tersebut."
"FOTO: Antisipasi Tertular Covid-19, Buruh Panggul Beras Dibekali Obat Herbal",Mengantisipasi penyebaran Covid-19 sejumlah kuli dan buruh di Pasar Induk beras Cipinang diberi obat herbal mentah untuk meredakan panas.
"Dikawal Kabareskrim, Mensos Juliari Bagikan Sembako Presiden di Bekasi",Penyaluran bansos dikawal aparat kepolisian guna memastikan bantuan sesuai perencanaan awal.
"Remaja NF Tersangka Pembunuh Bocah Sudah Bisa Bergaul, Bermain, dan Mengaji","NF merupakan tersangka pembunuh bocah di Sawah Besar, karena terinspirasi film horor yang kerap ditonton."
Perjuangan Keluarga Trisakti Lewat Bantuan Alat PCR dengan Robotik,Alat dimaksud bernama Pockit Central PCR buatan Taiwan ini diyakini merupakan salah satu kunci keberhasilan negara tersebut dalam penanganan Covid-19.
"Transparansi, Banyuwangi Tampilkan Data Penerima Bansos di Lingkungan Tempat Ibadah",Pemerintah Kabupaten Banyuwangi terus memperluas publikasi data para penerima bantuan sosial bagi warga miskin terdampak Covid-19.
"Bansos Tahap Dua, Pemprov DKI Hanya Sasar Jaktim dan Kepulauan Seribu",Pemprov DKI Jakarta mulai mendistribusikan sejumlah paket bantuan sosial (bansos) tahap dua ke beberapa wilayah Jakarta Timur.
"Anies: Tidak Ada Zona Merah Kuning Hijau di Jabodetabek, Semua Sama",Anies mengajak semua masyarakat mengikuti imbauan MUI Jakarta dan DMI untuk melaksanakan salat Idul Fitri di rumah masing-masing.
Dishub DKI Sebut Jumlah Penumpang Angkutan Umum Turun hingga 88 Persen,Jumlah penumpang yang menggunakan transportasi umum juga ikut mengalami penurunan sejak dilaksanakannya imbauan work from home (WFH).
Ketum PAN Minta Kader Bersatu Bantu Warga Terdampak Corona,Zulkifli meminta kader ikut memantau langkah yang diambil oleh pemerintah pusat hingga daerah. Termasuk juga terkait pemberian bantuan ke masyarakat.
Kemenkop dan UKM Gencarkan Transformasi UMKM dari Offline ke Online,"KemenKopUKM sudah bekerja sama dengan sejumlah platform besar untuk menggerakkan transformasi ini. Juga ada sejumlah perusahaan yang menjadi hub, yang siap memasarkan produk UMKM ke mancangara."
VIDEO: Jokowi Sebut Bansos Terkendala Prosedur Berbelit-belit,"Presiden Joko Widodo atau Jokowi mengakui, penyaluran bantuan sosial (bansos) untuk warga terdampak pandemi virus Corona (Covid-19) banyak kendala dan masalah. Menurut dia, hal itu dikarenakan prosedur pendistribuan bansos terlalu berbelit-belit."
Pemuda Pancasila Serahkan Bantuan APD Ke RS  dan Puskesmas di Jakarta,"Sejumah rumah sakit yang mendapatkan bantuan di antaranya, RSUP Pertamina, RSUD Kebayoran Lama, RSUD Pasar Rebo, RSUD Pasar Minggu dan berakhir di RSUP Fatmawati."
197 Ribu Pengemudi Terima Bantuan Keselamatan Polri Selama Covid-19,Korlantas Polri menjalankan program keselamatan 2020 dengan memberikan bantuan sosial dan pelatihan keselamatan ke pengendara kendaraan roda empat.
Sebaran Covid-19 di Provinsi: Jakarta Tertinggi Pasien Sembuh,"Selain pasien sembuh Covid-19, Gugus Tugas Nasional Covid-19 juga mencatat DKI Jakarta masih mencetak rekor kasus positif tertinggi di Indonesia."
"Sanksi Unik Pelanggar PSBB, Baca Alquran hingga Ikut Makamkan Jenazah Pasien Covid-19",Forum Koordinasi Pimpinan Daerah Sidoarjo punya cara unik menyadarkan pelanggar PSBB. Mereka diminta mengikuti petugas memakamkan jenazah positif Covid-19.
Kepala Kantor Pajak DKI Akui Minta Rp 150 Juta untuk Fashion Show Anaknya,"Menurut Jaksa KPK Takdir Suhan, email tersebut berisi permohonan bantuan dana Rp 150 juta untuk acara fashion show anak dari Haniv."
"Update Covid-19 Kota Bekasi: Kasus Positif Bertambah 2, Total Jadi 263 Orang","Dari total terkonfirmasi positif, 172 orang dinyatakan sembuh, dan 29 orang meninggal dunia. Sedangkan untuk angka meninggal dengan penyakit khusus sebesar 117 orang."
"Belum Terima Bansos Pemerintah, Kini Warga Banyuwangi Bisa Lapor Online",Kabupaten Banyuwangi membuka pelaporan online bantuan sosial (bansos) bagi warga terdampak pandemi Covid-19.
FOTO: Lucunya Anjing Ini Pakai Masker Cegah Corona,Seorang warga memakaikan anjing peliharaannya masker untuk melindungi dari polusi udara serta mengantisipasi tertular virus corona COVID-19 saat jalan-jalan di Jakarta.
Gugus Tugas: Tingkat Hunian Rumah Sakit Rujukan Covid-19 di Jakarta Turun,Hal itu menunjukkan bahwa jumlah pasien yang sembuh makin banyak dan pasien baru yang membutuhkan perawatan semakin sedikit.
"VIDEO: Viral, Tangan Bergerak dari Dalam Peti Mati",Viral video penampakan tangan bergerak dalam peti mati saat sedang berlangsung pemberian doa di pemakaman. Belum ada keterangan resmi dari pihak keluarga.
Bayi 3 Bulan Pasien Positif Corona di Kabupaten Bogor Dinyatakan Sembuh,Bayi yang saat datang ke RS dalam kondisi batuk dan demam itu kini dinyatakan sembuh dari corona Covid-19 setelah dua kali tes swab.
Gugus Tugas: Data Kasus Covid-19 di Indonesia Susah Ditebak dari Hari ke Hari,"Terkadang penambahan kasus relatif sedikit, namun di hari berikutnya terjadi peningkatan dengan jumlah cukup banyak."
Panglima TNI Pimpin Upacara Militer Pemakaman Djoko Santoso,"Prosesi pemakaman sendiri tetap mengikuti standart protokol kesehatan, untuk mengantisipasi dan mencegah penyebaran Covid-19."
"Top 3 News: Hari Kedua Lebaran, 240 Orang Sembuh dari Covid-19","Top 3 news hari ini, 240 pasien Corona Covid-19 hingga Senin, 25 Mei 2020 dinyatakan sembuh dan akhirnya negatif."
"Bupati Bogor: 2 Hari Lebaran, Tak Ada Penambahan Kasus Corona Covid-19","Hingga Senin malam, ada 180 pasien Covid-19 di Kabupaten Bogor, 40 orang di antaranya sudah dinyatakan sembuh, dan 12 orang lainnya dilaporkan meninggal."
BP2MI: 34 Ribu Pekerja Migran Akan Pulang ke Indonesia Mei-Juni 2020,"Untuk mengantisipasi lonjakan kepulangan pekerja migran tersebut, BP2MI melakukan berbagai upaya di antaranya menerapkan protokol kesehatan di tiap pintu masuk atau debarkasi kepulangan."
5.768 Keluarga di Serang Mendapat Kucuran Bansos Tunai Perdana,"Menteri Sosial (Mensos) Juliari P Batubara menyerahkan bantuan sosial (bansos) tunai senilai Rp600 ribu kepada 5.768 keluarga penerima manfaat (KPM) di Kota Serang, Banten."
FOTO: Pemeriksaan Kesehatan Kuda Penarik Delman Saat PSBB,Kegiatan dilakukan untuk memberi bantuan pakan dan pemeriksaan kesehatan serta pengambilan sampel guna menjaga kesehatan kuda delman yang tidak beroperasi saat PSBB Jakarta yang diberlakukan untuk memutus penyebaran  pandemi COVID-19
Pemkot Semarang Mulai Distribusi Paket Sembako Covid-19 Bulan Mei kepada Masyarakat,Awal bulan Mei ini fokus pendistribusian yang dilakukan Pemkot Semarang merupakan paket bantuan dari pemerintah pusat sebanyak 10 ribu paket sembako.
Golkar: Kartu Prakerja Bisa Bantu Orang di Ponpes dan Sekolah Vokasi,"Dia menuturkan, tidak benar kalau pelatihan prakerja hanya dinikmati platform digital besar."
"Peduli Kesehatan Masyarakat, Bea Cukai Salurkan APD dan Paket Sembako di Makassar dan Gorontalo",Bea Cukai Makassar dan Bea Cukai Gorontalo secara sigap memberikan bantuan kepada masyarakat yang membutuhkan melalui aksi sosial.
"Lawan Covid-19, Bea Cukai Salurkan Donasi APD untuk Tenaga Kesehatan di Berbagai Kota",Bea Cukai terus bergerak secara aktif memberikan bantuan kepada masyarakat di berbagai daerah guna meringankan beban masyarakat yang terdampak pandemi Covid-19.
Syarikat Islam Bagikan Paket Sembako bagi Warga Miskin Tak Terdata Bansos Pemerintah,"Hapi mengatakan bantuan yang diberikan kepada warga Kalibaru, Jakarta Utara dan Kwitang Jakarta Pusat merupakan warga yang luput dari pendataan penerima bansos dari pemerintah."
"Ketua Komisi VIII: Masyarakat Butuh Sembako, Bukan Mau Makan Tasnya",Yandri juga heran mengapa harus menggunakan tas berlabel 'bantuan presiden' untuk penyaluran bansos.
"Di Tengah Pandemi Covid-19, Semarang Jadi Kota Terbaik di Indonesia",Pemerintah Pusat melalui Bappenas juga mengapresiasi sejumlah daerah dalam melakukan perencananaan pembangunan Kota Semarang.
Kasad Andika Perkasa Beri Roti dan Kurma Untuk Tenaga Medis di RSPAD,Lyana bahagia setelah diberi bantuan berupa roti dan buah kurma untuk berbuka puasa disela menjalani tugasnya sebagai perawat pasien COVID-19.
100 Pegawai Kejati DKI Jalani Rapid Test Corona,Sebanyak 100 pegawai di lingkungan Kejaksaan Tinggi (Kejati) DKI Jakarta menjalani tes cepat untuk mengantisipasi penyebaran wabah virus Corona.
KPK Minta Pemprov Papua Benahi Data Penerima Bansos Covid-19,KPK meminta Pemerintah Provinsi (Pemprov) Papua membenahi basis Data Terpadu Kesejahteraan Sosial (DTKS) atau data penerima bantuan sosial se-Provinsi Papua.
"Selasa 5 Mei 2020 Malam, Pasien Rawat Inap RSD Wisma Atlet Mencapai 945","Pasien rawat inap di RSD Wisma Atlet kembali mengalami peningkatan. Per Selasa (5/5/2020) malam pukul 20.00 WIB, pasien yang dirawat inap di sana mencapai 945 orang."
"Takut Disalahgunakan, Pemprov DKI Pilih Berikan Sembako Ketimbang Uang Tunai","Dia menilai untuk bantuan berupa uang akan mempersulit prosesnya, sebab tidak semua data penerima bansos memiliki KTP Jakarta."
