date,title,descs
"Senin, 23 Oktober 2017 20:06 WIB","
							Kritik YLKI pada Program Bank Indonesia Soal Pembayaran Nontunai						"," Ketua Harian Yayasan Lembaga Konsumen Indonesia (YLKI) Tulus Abadi menilai realisasi program gerakan nasional   (GNNT), yang dicanangkan oleh Bank Indonesia (BI), hingga saat ini masih memiliki beberapa kekurangan.  ""Kekurangan GNNT, yang saya amati, adalah proses isi ulangnya yang ribet,"" ujarnya di Wisma Antara, Jakarta Pusat, Senin, 23 Oktober 2017. ""Ketika saya ingin mengisi ulang kartu   di beberapa minimarket, hampir semuanya menolak. Alasannya, teknologinya   atau saldo habis,"" ucapnya.    Tulus menyatakan hal tersebut menjadi salah satu bukti kurangnya kesiapan infrastruktur teknologi dalam mengakomodasi kebutuhan program GNNT. ""Artinya, ini ada kegagalan infrastruktur untuk menyiapkan hal itu (GNNT),"" tuturnya.  Di samping itu, Tulus menambahkan, kekurangan lain realisasi GNNT adalah pembebanan biaya isi ulang ( ) yang berpotensi merugikan konsumen. ""Walaupun skemanya sudah lebih baik, tapi konsumen masih dikenai biaya. Ini menjadi tidak adil karena intensif tidak diberikan kepada konsumen,"" katanya.  Sependapat dengan Tulus, pengamat ekonomi dari Institute for Development of Economics and Finance, Bhima Yudistira, menyatakan biaya   dapat berimbas kepada daya beli masyarakat, yang bisa menyebabkan pertumbuhan perekonomian di Indonesia menjadi kontraproduktif.  Menurut Bima, pernyataan penyedia jasa layanan uang elektronik tentang mahalnya biaya peralatan pendukung transaksi elektronik tidak bisa dijadikan alasan bagi pemungutan biaya   kepada konsumen. ""Yang menjadi pertanyaan adalah berapa sebenarnya biaya pembelian dan perawatan itu? Tidak pernah terbuka kepada masyarakat,"" ujarnya.  Pada 14 Agustus lalu, Gubernur BI Agus Martowardojo mencanangkan program gerakan nasional  . Program tersebut bertujuan mengedukasi masyarakat agar dapat meminimalisasi penggunaan uang tunai dalam transaksi sehari-hari dan menggantinya dengan uang elektronik atau alat transaksi nontunai lain.  "
"Selasa, 24 Oktober 2017 14:50 WIB","
							YLKI: Pilihan Transaksi Tunai Juga Ada di Tol Singapura dan US						",",   - Ketua Pengurus Harian Yayasan Lembaga Konsumen Indonesia (YLKI), Tulus Abadi, mengatakan penerapan sistem   di jalan tol menggunakan uang elektronik bukan tanpa masalah. ""Seringkali mesin pembaca kartu uang elektronik lambat dalam merespon. Pada akhirnya justru lebih cepat tenaga manusia yang melayani pembayaran secara tunai,"" kata Tulus di Jakarta, Selasa, 24 Oktober 2017. Selain respon mesin yang lambat, tidak jarang pula terjadi mesin yang rusak sama sekali sehingga pengguna jalan tol terpaksa harus mundur dan pindah ke gardu tol lainnya. Permasalahan juga terjadi pada sisi pengguna jalan tol. Misalnya, masih ada pengguna jalan tol yang gamang dalam menempelkan kartu pada mesin pembaca, bahkan sampai menjatuhkan kartu. :  ""Tidak jarang pula konsumen kesulitan mengisi ulang di peritel modern seperti minimarket karena berbagai alasan. Misalnya, saldo untuk mengisi ulang di minimarket sedang habis,"" tuturnya. Karena itu, Tulus berpendapat pengelola jalan tol tetap harus memberikan pilihan bagi pengguna jalan tol untuk melakukan pembayaran secara tunai. Pilihan transaksi secara tunai juga terjadi di berbagai negara yang menerapkan otomatisasi di jalan tol, misalnya Amerika Serikat, Singapura, dan China. Menurut Tulus, Undang-Undang Nomor 8 Tahun 1999 tentang Perlindungan Konsumen mengatur hak-hak konsumen, termasuk hak untuk memilih. ""Salah satunya adalah pilihan melakukan   atau secara tunai,"" ujarnya."
"Kamis, 26 Oktober 2017 15:17 WIB","
							Kenaikan Cukai Rokok 10,04 Persen, YLKI: Langkah Mundur						"," - Ketua Pengurus Harian Yayasan Lembaga Konsumen Indonesia Tulus Abadi mengatakan langkah pemerintah menaikkan   10,04 persen merupakan langkah mundur. Keputusan yang akan berlaku pada 1 Januari 2018 itu, menurut Tulus, seharusnya bersifat progresif. ""Sebab pada 2016, kenaikan cukai rokok mencapai 11,19 persen. Seharusnya setiap kenaikan cukai bersifat progresif, sehingga mencapai angka minimal, yakni 57 persen, sebagaimana amanat UU tentang Cukai,"" kata Tulus abadi dalam siaran tertulis YLKI, Kamis, 26 Oktober 2017. Tulus menilai rendahnya persentase kenaikan cukai rokok tersebut mencerminkan Menteri Keuangan Sri Mulyani Indrawati masih sangat konservatif dalam mengambil kebijakan terkait dengan kenaikan cukai rokok. ""Kenapa konservatif? Karena seharusnya dengan kenaikan yang lebih tinggi, pemerintah dapat menggali pendapatan dari sektor cukai yang lebih besar,"" kata Tulus Abadi. ""Seharusnya Menkeu memahami hal ini mengingat defisitnya APBN, akibat target pendapatan pajak yang selalu jeblok,"" kata Tulus Abadi. Menurut Tulus, kenaikan cukai yang tinggi juga bisa menjadi instrumen pengendalian konsumsi rokok. Sebab cukai adalah  , alias pajak dosa. Baca:  ""Ingat, saat ini, menurut data BPJS, mayoritas penyakit yang diderita pasien BPJS adalah penyakit degeneratif, yang salah satu pemicunya adalah konsumsi rokok,"" ujar Tulus. Ia mengatakan pantas saja tiap tahun finansial BPJS mengalami  . Pada 2016, defisitnya mencapai Rp 9 triliun, dan pada 2017, diprediksi mencapai Rp 12 triliun. ""Rendahnya kenaikan cukai rokok oleh Kemenkeu akan mengakibatkan prevalensi merokok semakin tinggi, karena harga rokok masih sangat terjangkau baik oleh rumah tangga miskin dan atau anak-anak dan remaja,"" kata Tulus. Tulus melihat kenaikan   10,04 persen hanya berdampak terhadap kenaikan rokok Rp 30-50 per batang. ""Apalah artinya kenaikan sebesar itu karena toh rokok masih bisa dibeli secara ketengan,"" ujar Tulus. Dalam konteks ini, menurut Tulus, Menkeu gagal memahami cukai sebagai ""pajak dosa"", sebagai instrumen pengendali konsumsi rokok. ""Atas rendahnya kenaikan cukai rokok itu, patut diduga Menkeu terlalu dominan mendengarkan suara industri rokok. Menkeu tidak independen dan tidak netral atas intervensi oleh industri rokok,"" kata Tulus Abadi. Menurut Tulus, hal tersebut juga mengabaikan aspirasi atau masukan dari masyarakat yang mendorong pengendalian konsumsi rokok. ""Imbauan Presiden agar petani mengurangi bertanam tembakau akibat dampak kenaikan cukai, juga hal yang tidak relevan. Kenaikan cukai 10,04 persen tidak berdampak apa pun terhadap petani tembakau.” Tulus menilai nasib petani tembakau justru digerus oleh perilaku industri rokok yang seenaknya menentukan harga dan kualitas daun tembakau milik petani."
"Kamis, 30 November 2017 18:16 WIB","
							Ini Kunci Sukes Kembangkan Coworking Space						",",   - Salah satu kunci untuk membangun ruang kolaborasi ( ) adalah pada jaringan komunitas yang sudah terbentuk guna mengembangkan bisnis anggota pelaku  . Hal ini disampaikan oleh anggota dari asosiasi ruang kolaborasi, Coworking.id, Christopher Angkasa. Christopher menyebutkan saat ini banyak pemilik bisnis properti yang turut membangun ruang kolaborasi, namun mengabaikan komponen pelayanan yang harus dipenuhi, yakni komunitas. ""Ada yang masih tanda tanya kenapa mejanya bagus,  #NAME?  ujarnya dalam media gathering di EV Hive City, Rabu, 29 November 2017.   Padahal, menurut Christopher, sukses tidaknya bisnis coworking space juga tergantung pada komunitas yang berhasil dirangkul. "" komunitasnya Christopher menjelaskan bahwa membangun ruang kolaborasi bukan hanya memikirkan tentang sarana dan fasilitas, seperti ruangan kerja yang nyaman dan kecepatan internet. ""Melainkan juga ekosistem dari komunitas yang sudah terbangun."" Dengan begitu, menurut Christopher, para pelaku usaha yang umumnya dari industri kecil menengah, kreator usaha rintisan atau   bisa berkolaborasi dalam satu hub komunitas yang terdapat pada masing-masing  Dalam hal ini, CEO sekaligus pendiri EV Hive, Carlson Lau, menyebutkan perusahaannya telah melucurkan EV Hive City di Plaza Kuningan, Jakarta Selatan. El Hive yang merupakan  terbesar di Asia Tenggara dengan luas 6.700 meter persegi mampu menampung lebih dari 1.000 IKM, pengusaha dan pelaku startup. El Hive, kata Carlson, diharapkan bisa  ""Platform ini sangat membantu industri kecil menengah dan pengusaha mendapatkan fasilitas bersama sekaligus kesempatan   yang sebelumnya tidak tersedia atau terlalu mahal jika ditanggung perorangan,"" tuturnya. Secara aktif EV Hive mempertemukan para pendiri perusahaan yang sedang berkembang dengan para  , perusahaan modal ventura dan mitra bisnis di dalam ekosistem yang dimiliki. EV Hive bersama para investor juga turut menanamkan investasi kepada para anggotanya. Hasilnya, anggota pun mengalami pertumbuhan bisnis yang cepat."
"Rabu, 17 Januari 2018 12:58 WIB","
							Reshuffle Kabinet, Ini Prediksi Analis Saham tentang IHSG						",",   - Keputusan Presiden Joko Widodo melakukan reshuffle diprediksi tidak akan mempengaruhi pergerakan indeks harga saham gabungan ( ) hari ini. Berdasarkan data Bloomberg, IHSG hari ini dibuka menguat pada level 6.429,77. Namun melemah 0,07 persen ke level 6.423,18 sesaat setelah upacara pelantikan beberapa pejabat negara selesai. Analis Kresna Securities, Robertus Yanuar, mengungkapkan pergantian sejumlah menteri pada hari ini diprediksi tidak akan mempengaruhi pasar secara signifikan karena pelaku sudah memperkirakan keputusan tersebut, mengingat ada bekas menteri yang memang akan maju sebagai calon gubernur pada Pilkada 2018. “Dampaknya tidak akan begitu signifikan kalau dari reshuffle. Kita juga mendengar sebelumnya bahwa ada menteri yang maju Pilkada, dan tim ekonomi kabinet masih solid, sehingga tidak ada dampak spesifik ke pasar hari ini,” ujarnya di Jakarta, Rabu, 17 Januari 2018. :  Hal senada diungkapkan oleh analis Binaartha Securitas, Reza Priyambada. Dia memperkirakan reshuffle yang dilakukan Presiden Joko Widodo hari ini tidak banyak berpengaruh pada IHSG. Kalaupun IHSG melemah, Reza menyebutkan hal itu karena profit taking setelah kenaikan sebelumnya dan antisipasi rilis suku bunga acuan esok hari. ""Saya lihat (reshuffle) tidak terlalu banyak berpengaruh,"" kata Reza ketika dihubungi pada kesempatan yang sama. Direktur Investa Saran Mandiri, Hans Kwee, juga menilai beberapa menteri yang diganti dan yang menempati posisi baru cenderung tidak akan memberikan pengaruh pada pergerakan pasar sepanjang hari ini. :  “Pertama, tidak ada pergantian pada menteri ekonomi. Kedua, selama ini jika pemerintah melakukan reshuffle, pasar memang tidak begitu terpengaruh. Selama sosok yang diangkat Presiden dinilai baik, pasar tidak akan terkoreksi,” katanya. Dia menambahkan,   memang menunjukkan tren koreksi karena tidak terpengaruh faktor-faktor yang dapat menstimulasi pasar. Presiden Joko Widodo menerbitkan 4 Keputusan Presiden (Keppres) untuk empat pejabat. Beberapa pejabat negara yang pagi ini dilantik di Istana Kepresidenan yaitu Idrus Marham sebagai Menteri Sosial dalam sisa masa jabatan 2014-2019. Presiden juga mengangkat Moeldoko sebagai Kepala Staf Kepresidenan, Agum Gumelar sebagai Anggota Dewan Pertimbangan Presiden, dan Marsekal Madya TNI Yuyu Sutisna sebagai KSAU."
"Rabu, 17 Januari 2018 14:05 WIB","
							Reshuffle Kabinet Jokowi Disambut Demo Nelayan Tolak Cantrang						",",   - Sejumlah nelayan asal Pantura menggelar demonstrasi menolak pelarangan   sebagai alat tangkap ikan di luar pagar Istana Merdeka tadi pagi. Unjuk rasa itu dilakukan sebelum Presiden Joko Widodo atau Jokowi melantik para pejabat negara termasuk Menteri Kabinet Kerja untuk sisa masa jabatan 2014-2019. Demonstrasi para nelayan tersebut digelar sejak sekitar pukul 08.00 WIB dan masih terus berlanjut saat Presiden melantik pejabat negara di Istana Negara sekitar pukul 09.00 WIB. Walhasil, lalu lintas di seputar Istana termasuk Jalan Veteran hingga Jalan Majapahit Jakarta Pusat terpantau macet.   Ketua Asosiasi Nelayan Dampo Awang Rembang Suyoto kepada wartawan sebelumnya mengatakan pihaknya akan melakukan aksi penolakan aturan pelarangan cantang ke Istana pada Rabu, 17 Januari 2018. Demo tersebut diikuti oleh kelompok nelayan cantrang yang berasal dari Jawa Tengah, Jawa Timur, Jawa Barat, Kalimantan Barat, Sulawesi, hingga Nusa Tenggara Barat (NTB). Sementara suasana di dalam Istana justru khidmat ketika Presiden melantik empat pejabat negara yakni Agum Gumelar sebagai Dewan Pertimbangan Presiden, Idrus Marham sebagai Mensos, Marsdya TNI Yuyu Sutisna sebagai KSAU, dan Jenderal TNI (Purn) Moeldoko sebagai Kepala Staf Kepresidenan (KSP). Staf Khusus Presiden Johan Budi SP ketika dikonfirmasi terkait perombakan kabinet membenarkan Presiden akan melantik pejabat negara di Istana Negara pada pukul 09.00 WIB ""Saya hanya bisa membenarkan bahwa ada pelantikan pejabat negara,"" kata Johan. Namun tak semua nelayan menolak pelarangan cantrang  sebagai alat tangkap ikan. Aliansi Kelompok Nelayan dari Tidore, Maluku Utara, misalnya ikut menolak penggunaan cantrang. Pasalnya, cantrang dianggap sebagai alat tangkap ikan yang tidak ramah lingkungan dan mengancam kelangsungan ekosistem laut.   Abdul Rasyid, nelayan asal Gurapin, mengatakan pemberlakuan cantrang sangat merugikan nelayan di Maluku Utara, yang selama ini menangkap ikan dengan sistem pancing ( ). Selain itu, cantrang dinilai sebagai alat tangkap ikan yang tidak sesuai dengan kultur nelayan Maluku Utara. “Kami menolak pemberlakuan centrang karena selain tidak ramah lingkungan, alat ini hanya akan menguntungkan pemodal besar,"" ujar Abdul kepada  , Kamis, 11 Januari 2018. "
"Sabtu, 31 Maret 2018 18:50 WIB","
							Begini Konsep Baru Paviliun Provinsi di Gedung Smesco						"," - Menteri Koperasi dan UKM Anak Agung Gede Ngurah Puspayoga menyatakan, pemerintah memiliki konsep dan penataan baru Paviliun Provinsi yang berada di   Indonesia. Saat ini, Paviliun Provinsi ditempatkan di lantai satu dan dua. ""Jadi kalau lihat ke sini, kita lihat miniaturnya Indonesia,"" kata Puspayoga dalam acara Re-Launching Produk Unggulan Provinsi dan Smesco Minang Festival di Gedung Smesco Indonesia, Pancoran, Jakarta Selatan, Sabtu, 31 Maret 2018. Baca: Paviliun Provinsi merupakan pameran produk lokal dari 34 provinsi di Indonesia. Pelaku Koperasi dan UKM (KUKM) dapat menitipkan dan menjual produk di stand masing-masing provinsi. Misalnya, pelaku KUKM dari DKI Jakarta menitipkan produknya di stand DKI Jakarta. Begitu juga dengan provinsi lainnya. Menurut Puspayoga, Paviliun Provinsi memamerkan produk di bidang kerajinan seperti fashion, furniture, dan alas kaki. Ada juga produk kuliner yang dipajang dalam Paviliun Provinsi. Dia menilai, keempat jenis produk itu berpotensi diekspor ke mancanegara. ""Jadi itulah yang membedakan produk unggulan Indonesia yang dipamerkan di Smesco dengan tempat lain,"" ujar Puspayoga. Puspayoga mengklaim, Paviliun Provinsi hanya terisi dengan produk lokal dari beragam pelaku KUKM. Adapun barang dijual dengan harga langsung dari pengrajin ditambah pajak 10 persen. Pemerintah merevitalisasi Paviliun Provinsi. Hal itu merupakan strategi untuk promosi pemasaran dan meningkatkan daya saing produk dalam negeri. Sebelumnya, ke-34 stand yang menjual produk dari 34 provinsi ditempatkan di lantai tiga, 11, 12, dan 15 Gedung Smesco Indonesia. Setelah revitalisasi, Paviliun Provinsi pindah ke lantai satu dan dua di gedung yang sama. Direktur Utama Lembaga Layanan Pemasaran (LLP) Kementerian Koperasi dan UKM Emilia Suhaimi menuturkan, revitalisasi Paviliun Provinsi merupakan program bersama kementerian KUKM dengan Dewan Kerajinan Nasional (Dekranas). Revitalisasi dilaksanakan pada Februari 2018. Sementra peluncuran kembali (re-launching) Paviliun Provinsi diselenggarakan di lantai tiga Gedung  Indonesia, Sabtu, 31 Maret 2018. Acara re-launching dihadiri oleh Emilia, Puspayoga, dan Ketua Umum Dekranas 2014-2019 Mufidah Jusuf Kalla."
"Jumat, 7 Desember 2018 15:49 WIB","
							Santunan Korban di Papua Rp 24 Juta, Istaka Karya: Belum Final						",",   -Sekretaris perusahaan PT Istaka Karya (Persero) Yudi Kristanto membantah nominal santunan yang diberikan kepada ahli waris korban penembakan kelompok bersenjata di   senilai Rp 24 juta. BACA:  Menurutnya, jumlah tersebut bukanlah keseluruhan santunan yang akan diterima keluarga korban. Ia mengatakan santunan Rp 24 juta hanya penjabaran dari peraturan tenaga kerja. ""Diskusi tersebut tiba-tiba dipotong oleh pihak ahli waris tanpa mendengarkan penjelasan lebih rinci dari pihak perusahaan, kata Yudi saat dihubungi tempo via telepon, 7 Desember 2018. Menurutnya uang Rp 24 juta itu belum final sebagai total santunan yang akan diberikan PT Istaka Karya kepada keluarga korban penembakan. Ia sangat menyesalkan diskusi yang berakhir adu mulut antara pihak PT Istaka Karya dengan keluarga korban. Yudi mengatakan santunan yang akan diterma berasal dari perusahaan dan tali kasih Kementerian BUMN. “Untuk nominalnya kami belum merincikan, yang jelas lebih dari Rp 24 juta,” tutup Yudi. BACA:  Sebelumnya diberitakan proses negosiasi hari ini antara PT Istaka Karya dengan keluarga dari karyawannya yang menjadi korban tewas akibat dibunuh kelompok kriminal separatis bersenjata atau KKSB di Papua berjalan alot. Keluarga korban menolak dengan besaran santunan Rp 24 juta yang diberikan perusahaan pelat merah itu. Rincian besar santunan yang disanggupi Istaka Karya tersebut yaitu uang duka sebesar Rp 16,2 juta, santunan sebesar Rp 4,8 juga dan penggantian biaya pemakaman sebesar Rp 3 juta. Sontak pertemuan antara Istaka Karya dengan keluarga korban di hanggar bandara Mozes Kilangin Timika, Kabupaten Mimika, Papua, memanas. Keluarga korban marah ketika mendengar penjelasan perwakilan perusahaan bahwa jumlah tersebut sesuai dengan peraturan yang mana peristiwa itu tidak masuk dalam kategori kecelakaan kerja. Pasalnya, peristiwa tersebut terjadi ketika pekerja sedang beristirahat. Kemarahan keluarga semakin memuncak bahkan sempat terjadi adu mulut ketika Kepala Balai Besar Pembangunan Jalan Nasional atau BBPJN Wilayah Papua Osman Marbun mempertanyakan status peserta negosiasi. Bahkan dalam adu mulut, Osman mengatakan bahwa pihaknya yang sudah payah mengambil ""barang"" (jenazah) dari dalam hutan. ""Itu bukan barang, itu manusia. Kenapa kau bilang itu barang?"" kata keluarga korban, Jumat, 7 Desember 2018. Untuk meredam suasana, Osman kemudian dibawa keluar dari tempat negosiasi. Negosiasi yang berjalan hampir dua jam tersebut terpaksa dihentikan sementara dan akan dilanjutkan setelah istirahat sejenak. Sementara itu, perwakilan keluarga korban tetap bersikeras bahwa peristiwa yang terjadi masuk dalam kategori kecelakaan kerja. Samuel, salah satu keluarga korban menilai besar santunan yang disanggupi PT Istaka Karya sangat minim bahkan tidak wajar. Ia berharap agar pihak perusahaan bisa mempertimbangkan permintaan keluarga untuk dapat memberikan santunan dalam jumlah yang wajar. Kepala Bidang Humas Polda   Komisaris Besar Ahmad Musthofa Kamal sebelumnya menyebutkan sejumlah pekerja Istaka Karya diduga dibunuh kelompok bersenjata pada 2 Desember 2018. Para pekerja PT Istaka Karya (Persero) itu sedang membangun jembatan di Kali Yigi dan Aurak, Distrik Yigi, Kabupaten Nduga, Papua."
"Minggu, 3 Maret 2019 16:26 WIB","
							Cara Sri Mulyani Mengenalkan Pajak Lewat Dongeng ke Anak-anak						","TEMPO.CO, Jakarta - Menteri Keuangan   Indrawati meluangkan waktunya untuk membaca dongeng kepada ratusan anak-anak tingkat sekolah dasar dalam acara bertajuk 'Indonesia Negeri 1.000 Dongeng' di Kantor Kementerian Pendidikan dan Kebudayaan, Jakarta, Ahad, 3 Maret 2019. Acara itu diselenggarakan oleh Komunitas Penerima Beasiswa Pendidikan Indonesia LPDP PK-139. ""Ini sebetulnya lebih untuk meningkatkan literasi anak-anak. Saya senang dari sisi acara untuk meningkatkan literasi itu dengan cara mendongeng untuk anak-anak,"" ujar Sri Mulyani setelah membacakan dongeng berjudul 'Raja Lebah dan Sesendok Madu'. Menurut dia, mendongeng adalah cara yang tepat untuk membuat anak-anak terbiasa melihat, menyentuh, dan membaca buku. Lebih jauh, anak juga diharapkan bisa melihat data dan mengikuti alur cerita. Sebelum mendongeng, Sri Mulyani berinteraksi dengan anak-anak. Ia terlebih dahulu membicarakan soal asal muasal turunnya hujan hingga membicarakan soal binatang. Setelah itu, ia mengeluarkan sebuah buku cerita bergambar berjudul 'Raja Lebah dan Sesendok Madu'. Ia lantas meminta anak-anak untuk mendekat dan mengerubunginya agar bisa melihat gambar dalam buku cerita yang ia bawa itu. Tak butuh waktu lama bagi anak-anak untuk berkumpul dan mendengarkan Sri Mulyani mendongeng. Dengan berbagai mimik dan intonasi bicara, Sri Mulyani berupaya menyampaikan cerita tersebut agar mudah diterima oleh para anak SD itu. Sesekali, ia juga berinteraksi dengan bertanya kepada para peserta. Antusiasme anak-anak terlihat dari respons yang mereka sampaikan kepada bekas Direktur Bank Dunia itu. Secara garis besar dongeng itu menceritakan soal kehidupan di negeri lebah. Para lebah diminta untuk mengumpulkan sesendok madu oleh raja lebah. Namun, para lebah itu mencuranginya dengan mengganti madu dengan air. Akibatnya, bukannya madu yang terkumpul melainkan air. Mengetahui kondisi itu, raja lebah pun menjelaskan bahwa madu yang dikumpulkan itu bukanlah untuk dirinya, melainkan untuk ditabung dan digunakan kembali kepada masyarakat lebah saat dibutuhkan. Di akhir cerita, masyarakat lebah menyesal dan meminta maaf kepada raja lebah. ""Mereka mengatakan, 'Kami menyesal sudah menipu, padahal madunya nanti bukan buat raja, melainkan untuk kita pakai ketika bunga tidak berkembang',"" kata Sri Mulyani saat mendongeng. Tak lupa, Sri Mulyani menjelaskan bahwa dongeng soal madu itu relevan dengan kehidupan sehari-hari. Indonesia, kata dia, juga mengumpulkan sesendok madu dari masyarakat, yaitu pajak. ""Pajak itu nanti dipakai membangun sekolah, membangun jalan, untuk dipakai kalian sendiri."" Dengan dongeng itu, Sri Mulyani berharap anak-anak bisa mengenal sejak dini bahwa Indonesia adalah milik bersama dan pajak dikumpulkan untuk membangun Indonesia lagi. Selain imajinasi, cerita itu juga diharapkan bisa menumbuhkan rasa kepedulian anak-anak kepada bangsa dan negara."
"Sabtu, 9 Maret 2019 11:50 WIB","
							Susi Pudjiastuti Sebut Syarat Mutlak Penegakan Hukum Perikanan						",",   - Menteri Kelautan dan Perikanan   menyebutkan salah satu kiat keberhasilannya dalam penegakan hukum perikanan tak lepas dari karena ada dukungan political will yang kuat, termasuk dari pimpinan negara.  Hal itu disampaikan Susi ketika menjawab pertemuan Sekretaris Jenderal Badan Lingkungan Persatuan Emirat Arab atau PEA, Shaikha Salem Al Dhaheri di St. Regis Saadiyat Island Resort, Abu Dhabi. Dalam pertemuan bilateral itu Shalikha bertanya soal pengelolaan perikanan di Indonesia. Terlebih, saat ini ketersediaan ikan secara global telah menurun. Oleh karena itu sudah saatnya negara di dunia secara bersama-sama membuat peraturan pengelolaan laut yang ramah lingkungan. Lebih jauh Susi Pudjiastuti mengatakan diperlukan adanya political will yang kuat, termasuk dari pimpinan negara yang mendukung dikeluarkannya aturan di bidang perikanan. Menurut dia, juga diperlukan transparansi pemerintah dan pengusaha dalam membahas masalah perikanan. “Dalam kegiatan perikanan, juga diperlukan adanya transparansi (keterbukaan) antara pemerintah dan pelaku usaha perikanan dalam membahas masalah yang ada,” kata Susi dalam keterangan tertulis yang diterima, Sabtu, 9 Maret 2019. Di dalam pertemuan di sela-sela penyelenggaraan World Ocean Summit 2019 yang dilaksanakan oleh The Economist itu disebutkan bahwa kurang lebih 700 nelayan PEA umumnya melakukan kegiatan penangkapan ikan di perairan yang tidak terlalu dalam. Dengan pola tersebut, kegiatan perikanan tidak ramah lingkungan yang telah berlangsung selama ini memberikan ancaman terhadap kondisi ekosistem perikanan yang ada. Shaikha mengatakan guna menyelamatkan kondisi perairan PEA tersebut, pemerintah tengah berupaya menjaga kelestarian lingkungan dengan mengeluarkan beberapa peraturan yang melarang penggunaan alat tangkap ikan yang merusak lingkungan seperti jaring dan bubu. Pemerintah PEA akan membatasi izin penggunaan alat tangkap ikan yang diperbolehkan berupa pancing saja. Menurut Shaikha, untuk melakukan agenda kebijakan tersebut, Pemerintah PEA ingin belajar dari pengalaman pemerintah Indonesia dalam menghadapi resistensi masyarakat yang sekiranya tidak berkenan dengan peraturan yang dikeluarkan pemerintah. Lebih lanjut Shaikha juga membagikan salah satu capaian pemerintah PEA dalam melindungi spesies dugong. Saat ini, spesies dugong merupakan salah satu ikan yang statusnya sudah terancam punah dan dilindungi secara global. Shalikha menyatakan bahwa populasi dugong pada area yang dilindungi di perairan PEA telah mencapai 3 ribu ekor. Hal ini menjadikan PEA sebagai wilayah dengan populasi dugong kedua terbanyak di dunia setelah Australia.   Di akhir pertemuan, Shaika megundang   untuk melihat area konservasi dugong dimaksud pada kesempatan berikutnya. Hal ini juga untuk menjajaki kemungkinan kerja sama lanjutan dua negara. "
