date,title,link,desc/0,desc/1,desc/2,desc/3,desc/4,desc/5,desc/6,desc/7,desc/8,desc/9,desc/10,desc/11,desc/12,desc/13,desc/14,desc/15,desc/16,desc/17,desc/18,desc/19,desc/20,desc/21,desc/22,desc/23,desc/24,desc/25,desc/26,desc/27,desc/28,desc/29,desc/30,desc/31,desc/32,desc/33,desc/34,desc/35,desc/36,desc/37,desc/38,desc/39,desc/40,desc/41,desc/42,desc/43,desc/44,desc/45,desc/46,desc/47,desc/48,desc/49,desc/50,desc/51,desc/52,desc/53,desc/54,desc/55,desc/56,desc/57,desc/58,desc/59,desc/60,desc/61,desc/62,desc/63,desc/64,desc/65,desc/66,desc/67,desc/68,desc/69,desc/70,desc/71,desc/72,desc/73,desc/74,desc/75,desc/76,desc/77,desc/78,desc/79,desc/80,desc/81,desc/82,desc/83,desc/84,desc/85,desc/86,desc/87,desc/88,desc/89,desc/90,desc/91,desc/92,desc/93,desc/94,desc/95,desc/96,desc/97,desc/98,desc/99,desc/100,desc/101,desc/102,desc/103,desc/104,desc/105,desc/106,desc/107,desc/108,desc/109,desc/110
"Kamis, 19 Mar 2020 17:23 WIB",         Masjid Tertua di Surabaya Disemprot Disinfektan    ,https://news.detik.com/berita-jawa-timur/d-4946069/masjid-tertua-di-surabaya-disemprot-disinfektan,"Upaya-upaya preventif terus dilakukan pemprov Jatim mencegah virus corona. Bila sebelumnya Gereja Protestan di Indonesia Bagian Barat (GPIB), kali ini BPBD Jawa Timur menyemprot disinfektan masjid tertua di Surabaya, Masjid Rahmat Jalan Kembang Kuning.",Ketua Satgas Penanganan Covid-19 Jawa Timur Heru Tjahjono yang hadir dalam penyemprotan disinfektan ini mengatakan langkah preventif ini merupakan insiatif Gubernur Jawa Timur Khofifah Indar Parawansa.,"""Jadi agar bersih, bagaimana masyarakat bisa nyaman beribadah di masjid. Selain kita semprotkan disinfektan, hari ini juga kita berikan bantuan hand sanitizer dan masker di Masjid Rahmat,"" kata Heru di lokasi didampingi oleh Kepala Pelaksana BPBD Jatim, Suban Wahyudiono, Kamis (19/3/2020).","Usai menyemprotkan disinfektan di Masjid Rahmat, tim BPBD terdiri dari para relawan dan gugus pramuka membagikan sarung tangan ke pedagang makanan di sekitar masjid. Hal ini untuk memastikan para pedagang berjualan dengan kondisi higenis.",Tidak hanya di Masjid Rahmat yang disemprotkan disinfektan oleh tim BPBD Jatim. Heru menyebut penyemprotan juga dilakukan di Masjid Al-Falah Jalan Raya Darmo Surabaya dan GPIB Jemaat Eben Haezer Surabaya di Jalan Taman Bintoro.,"""Jadi ini bentuk upaya pemprov untuk menanggulangi wabah virus Covid-19. Kita akan lakukan terus secara berkelanjutan tidak berhenti sampai di sini, sampai wabah ini benar-benar teratasi,"" paparnya.","Sementara Kalaksa BPBD Jatim, Suban Wahyudiono mengaku Jumat-Sabtu (20-21/3/2020) penyemprotan disinfektan difokuskan di kantor-kantor dinas Pemprov Jatim.","""Kita terus lakukan upaya ini. Besok kantor-kantor OPD yang akan kita semprot disinfektan,"" terangnya.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamis, 19 Mar 2020 16:15 WIB",         Forkopimda Kota Kediri Sidak Terminal-Stasiun Cegah Corona    ,https://news.detik.com/berita-jawa-timur/d-4945965/forkopimda-kota-kediri-sidak-terminal-stasiun-cegah-corona?tag_from=news_beritaTerkait,Forkopimda Kota Kediri melakukan sidak di fasilitas umum. Seperti terminal dan Stasiun Kota Kediri. Sidak ini dilakukan untuk mengantisipasi penyebaran ,.,"Hal tersebut dilakukan oleh Walikota Kediri Abdullah Abu Bakar, Kapolres Kediri Kota AKBP Miko Indrayana, Kasdim 0809 Kediri Mayor Gatot Palwo dan Juru Bicara Gugus Tugas Percepatan Penanganan Covid-19 dr. Fauzan Adima.","Dalam sidak tersebut petugas melakukan screening kedatangan dan keberangkatan penumpang umum, sesuai protokol nasional untuk pencegahan masuknya Covid-19. Tak hanya itu, funa memastikan bagian-bagian yang sering disentuh penumpang, disemprot desinfektan oleh petugas Dinas Kesehatan Kota Kediri.","""Kami datang untuk memastikan apakah stasiun dan terminal sudah menerapkan protokol nasional untuk pencegahan Covid-19, sekaligus memantau proses desinfektan rutin di tempat-tempat publik,"" jelas Walikota Kediri Abdullah Abu Bakar, Kamis (19/3/2020).","Dalam kesempatan itu, Abu juga melihat data jumlah penumpang yang turun maupun naik dari terminal dan stasiun Kota Kediri. Terdapat penurunan jumlah penumpang.","""Penumpang yang turun dan naik di Stasiun Kediri sudah berkurang lebih dari 75 persen, kemarin (18/3) ada 738 penumpang naik di stasiun, sementara yang turun jumlahnya 1018 penumpang. Itu jauh lebih rendah dibanding situasi normal yang mencapai 4.000 penumpang baik yang naik dan turun,"" kata Wakil Kepala Stasiun Kediri Agustiyo.","Di Terminal Baru Tamanan, Kota Kediri, suasana lengang juga terjadi, tidak seperti hari-hari biasa sebelum pandemi Covid-19.","""Penumpang bus Antar Kota Dalam Provinsi (AKDP) per 18 Maret 2020 untuk kedatangan berjumlah 4792 penumpang, sementara yang berangkat 6717, biasanya lebih dari itu. Penurunannya 30-50 persen,"" ungkap Kepala Dinas Perhubungan Kota Kediri Ferry Djatmiko.","Dalam kesempatan tersebut, Ferry juga memastikan bahwa anggota Dinas Perhubungan Kota Kediri siap untuk ikut menjamin keselamatan warga dalam berkendara selama Kota Kediri dalam masa 2 minggu mengurangi kegiatan di luar rumah.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamis, 19 Mar 2020 15:12 WIB","         Heboh Selebaran Biaya Pemeriksaan Corona di Surabaya, Ini Penjelasan RS Unair    ",https://news.detik.com/berita-jawa-timur/d-4945725/heboh-selebaran-biaya-pemeriksaan-corona-di-surabaya-ini-penjelasan-rs-unair,Heboh selebaran berisi paket biaya pemeriksaan , di RS Unair Surabaya di Twitter. Surat itu lantas dibantah Dirut RS Unair Prof Dr dr Nasronudin SpPD K-PTI FINASIM.,"Dia menjelaskan, surat yang beredar itu tidak diberlakukan di ",. Justru pihaknya telah mengikuti kebijakan dari pemerintah.,"""Kita mengikuti kebijakan pemerintah. Itu hanya draf, siapa yang share itu ya. Tidak kita berlakukan,"" jelasnya kepada detikcom saat dikonfirmasi, Kamis (19/3/2020).","Dia menegaskan, dalam kondisi dan situasi seperti ini, pihak RS mendahulukan pertolongan utama.","""Tidak berlaku. Tidak tepat di situasi gini ada aneka tarif. Kita menolong dulu nggih,"" kata dia.",Dalam surat lampiran dari , berisikan pengumuman No: 736/UN3.9.1/TU/2020. Sesuai dengan keputusan Menkes RI No HK. 01.07/MENKES/169/2020 tentang penetapan rumah sakit rujukan penanggulangan penyakut infeksi emerging tertentu yang menunjuk RS Unair sebagai rumah sakit rujukan penyakit infeksi emerging tertentu dan peraturan Menkes No 59 tahun 2016 tentang pembebasan biaya pasien penyakit infeksi emerging tertentu serta peraturan Menkes No HK.01.07/MENKES/182/2020 tentang jejaring laboratorium pemeriksaan corona virus disease 2019 (COVID-19).,"""Perawatan pasien Covid-19 di "," dan pemeriksaan laboratorium PCR Covid-19 yang dilakukan RS Unair bersama ITD akan ditanggung oleh pemerintah sesuai dengan ketentuan peraturan tersebut, yaitu ODP (yang memerlukan pemeriksaan PCR Covid-19) atau PDP yang telah ditetapkan oleh RS Unair,"" tulis surat itu.",Apabila ada masyarakat yang menginginkan pemeriksaan terkait Covid-19 atas permintaan sendiri maka akan diberlakukan tarif sesuai dengan ketentuan ,". Sehubungan dengan beredarnya draf pemberitahuan tentang besaran biaya layanan Covid-19 di RS Unair, dapat kami sampaikan bahwa pemberitaan yang beredar tersebut masih bersifat draf dan tidak berlaku.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamis, 19 Mar 2020 11:57 WIB",         Gunung Bromo Ditutup Cegah Penyebaran Corona    ,https://news.detik.com/berita-jawa-timur/d-4945375/gunung-bromo-ditutup-cegah-penyebaran-corona,Obyek Wisata Bromo Tengger Semeru ditutup. Kebijakan penutupan untuk mencegah penularan virus corona itu ditandatangani Kepala Balai Besar Taman Nasional Bromo Tengger Semeru Malang.,"Di samping penutupan, BBTNBTS menunda dan membatasi kegiatan penelitian, pendidikan, ekspedisi dan lainnya di Kawasan TNBTS yang melibatkan dan kontak langsung dengan orang banyak.","Kepala seksi 1 Taman Nasional Bromo Tengger Semeru Sarmin mengatakan penutupan merujuk pada penetapan pandemi Coivid-19 sebagai bencana nasional oleh presiden. Penutupan juga mengacu surat edaran Kementerian Kehutanan dan lingkungan hidup, surat edaran Dirjen Konservasi sumber daya alam dan ekosistem serta rekomendasi dari Pemkab Probolinggo.","""Pemberlakuan penutupan, mulai berlaku sejak 19-31 Maret 2020,"" ujar Sarmin via selulernya, Kamis (19/3/2020).","Sebelumnya Selasa (17/3) di Kantor Dinas Pemuda dan Olahraga Pariwisata dan Kebudayaan, Kabupaten Probolinggo, Kadisporaparbud Sugeng Wiyanto menginstruksikan penutupan seluruh obyek wisata yang ada di kabupaten setempat.","Instruksi penutupan menurut Sugeng, menyikapi turunnya surat edaran Bupati Probolinggo tentang kepariwisataan, di mana disebutkan penutupan seluruh objek wisata di Kabupaten Probolinggo dimulai sejak 17 hingga 31 Maret 2020.","Sugeng menyampaikan imbauan penutupan tak hanya berlaku bagi obyek wisata di bawah naungan pemerintah Kabupaten Probolinggo, namun juga swasta. Pun demikian dengan objek wisata Gunung Bromo.",Pemkab Probolinggo mengimbau agar pengelola wisata Gunung Bromo melalui Resor Cemoro Lawang untuk melakukan penutupan sementara.,"""Penutupan ini, berlaku selama 14 hari terhitung mulai 17 hingga 31 Maret 2020. Sampai nantinya dilakukan evaluasi sebelum tanggal 31 Maret 2020,"" jelasnya di Kantor Disporaparbud, Kabupaten Probolinggo.","Sugeng melanjutkan bagi pengelola hotel, restoran, dan homestay dan pelaku usaha jasa wisata. Agar dalam memberikan pelayanan wajib mengikuti protokol kesehatan, yang dikeluarkan Dinas Kesehatan Kabupaten Probolinggo.","""Jadi protokol kesehatan itu, yakni penggunaan hand sanitizer dan thermo gun waktu mendeteksi tamu yang datang,"" kata Sugeng.","Apabila nantinya diketemukan tamu yang memiliki ciri terjangkit virus Covid-19, Sugeng mengimbau agar pelaku wisata segera mendorong bersangkutan, menghubungi hotline di nomor 112 atau 08113373119.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamis, 19 Mar 2020 10:13 WIB",         Karaoke hingga Bioskop di Kota Mojokerto Ditutup Imbas Corona    ,https://news.detik.com/berita-jawa-timur/d-4945248/karaoke-hingga-bioskop-di-kota-mojokerto-ditutup-imbas-corona,"Kerumunan massa di Kota Mojokerto mulai dibatasi untuk mencegah penyebaran virus corona. Pemerintah menutup tempat-tempat hiburan yang biasa dikunjungi warga. Mulai dari karaoke, bioskop hingga taman bermain.","Penutupan dilakukan Wali Kota Mojokerto Ika Puspitasari atau Ning Ita melalui Surat Edaran nomor 443.33/2857/417.302/2020 yang dikeluarkan Rabu (18/3). Ning Ita menegaskan, penutupan tempat-tempat hiburan itu mulai dilakukan hari ini.","""Penutupan itu kami lakukan untuk mencegah penyebaran COVID-19, masyarakat Kota Mojokerto harus menjauhi kerumunan,"" kata Ning Ita kepada detikcom, Kamis (19/3/2020).","Ia merinci, terdapat 12 item tempat hiburan dan pusat keramaian di Kota Mojokerto yang ditutup mulai hari ini. Yaitu Car Free Day (CFD) di Jalan Benteng Pancasila dan alun-alun tiap Minggu pagi, pasar kaget di Surodinawan tiap Minggu pagi, bioskop, semua karaoke dan TPA Randegan.","Penutupan juga dilakukan terhadap alun-alun Kota, hutan kota, kampung tematik, jogging track, taman bermain Benteng Pancasila, Gubuk Wayang, serta perpustakaan umum.","""Kami minta Satpol PP dan bantuan TNI dan Polri untuk mengawasi pelaksanaan surat edaran ini,"" terang Ning Ita.",Upaya mencegah penyebaran corona juga dilakukan Pemkot Mojokerto dengan memperpanjang masa belajar di rumah bagi siswa tingkat PAUD-SMP. Yaitu dari semula 21 Maret diperpanjang sampai 29 Maret 2020. Kegiatan Posyandu balita dan lansia ditiadakan hingga 29 Maret nanti.,"""Kami minta pemantauan tumbuh kembang anak dan kesehatan lansia dilakukan keluarga masing-masing bekerjasama dengan kader motivator kesehatan, hasilnya supaya dilaporkan ke puskesmas,"" jelas Ning Ita.","Ning Ita juga mengajak warganya menerapkan pola hidup sehat agar terhindar dari virus corona. Yakni rajin mencuci tangan dengan sabun dan air mengalir, mengkonsumsi makanan bergizi, menerapkan etika batuk dan bersin, olahraga minimal 15 menit setiap hari, serta istirahat yang cukup.","""Social distancing juga harus dilakukan. Yaitu dengan menjauhi kerumunan, kerja, belajar dan ibadah di rumah, meminimalisir bersentuhan dan berdekatan dengan orang lain, serta menunda kegiatan massal seperti reuni dan arisan,"" tandasnya.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamis, 19 Mar 2020 09:51 WIB",         Banyuwangi Juga Optimalkan Layanan Call Center 112 Cegah Corona    ,https://news.detik.com/berita-jawa-timur/d-4945207/banyuwangi-juga-optimalkan-layanan-call-center-112-cegah-corona,"Pemkab Banyuwangi mengoptimalkan layanan call center 112 untuk mencegah penyebaran virus corona. Layanan call center, yang sebelumnya telah ada untuk menerima pengaduan warga, kini dilengkapi petugas kesehatan yang bisa menjelaskan tentang Covid-19.","""Saat ini juga banyak hoaks tentang Covid-19. Kemarin di medsos ada yang tanya kabar bahwa di wilayah Sempu, Banyuwangi, sudah ada positif corona, kan itu hoaks. Maka warga yang ingin bertanya bisa langsung kontak 112, bebas pulsa,"" ujar Bupati Banyuwangi Abdullah Azwar Anas saat meninjau call center 112 di Kantor Pemkab Banyuwangi, Kamis (19/3/2020).","""Masyarakat bisa melapor bila ada yang mengalami gejala atau mencari informasi awal seputar penanganan corona. Petugas siap 24 jam. Tanya-tanya tentang corona juga bisa dilakukan,"" kata Anas.","Anas menambahkan, tidak berarti semua yang melapor kemudian akan didatangi petugas kesehatan. ""Yang tahu secara klinis tentu petugas kesehatan yang bertugas. Jadi penelepon akan ditanya soal riwayat, keluhan, dan sebagainya. Petugas kesehatan menyampaikan saran dan bila perlu melakukan tindakan sesuai dengan teknis ilmu medisnya, mereka yang paham,"" jelas Anas.","Terkait pencegahan penyebaran virus corona, kata Anas, layanan 112 juga telah diintegrasikan dengan layanan kegawatdaruratan rumah sakit 118. ""Jadi aspek medisnya, langsung terintegrasi ke 118,"" ujarnya.","Dalam sehari, rata-rata layanan call center 112 menerima 100 telepon dari warga dengan berbagai pengaduan. Mayoritas melaporkan soal pelayanan publik dan kegawatdaruratan seperti orang sakit dan ibu hamil berisiko tinggi.","""Saya berharap, layanan ini juga tidak digunakan untuk bercanda. Misalnya telepon untuk melaporkan kejadian yang sebenarnya tidak ada, melaporkan keluhan anak yang malas mengerjakan pelajaran secara online di rumah, dan sebagainya,"" ujarnya.","Kepala Dinas Kominfo Banyuwangi Budi Santoso menambahkan, selain layanan Call Center 112, untuk bisa mengetahui perkembangan terbaru berdasarkan data dari Dinas Kesehatan Banyuwangi tentang kasus corona.","""Masyarakat bisa melihat informasi dari Dinas Kesehatan seputar perkembangan kasus corona di Banyuwangi. Di sana antara lain ada data jumlah pemantauan Orang Dalam Resiko (ODR), Orang Dalam Pemantauan (ODP), Pasien Dalam Pengawasan (PDP). Sekarang situsnya terus dilengkapi dengan berbagai materi edukasi tentang corona,"" jelas Budi. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rabu, 18 Mar 2020 22:07 WIB",         Komisi III DPR Apresiasi TACS dan Astuti Mobile Inovasi Polisi di Tulungagung    ,https://news.detik.com/berita-jawa-timur/d-4944849/komisi-iii-dpr-apresiasi-tacs-dan-astuti-mobile-inovasi-polisi-di-tulungagung,"Komisi III DPR RI mengapresiasi inovasi Traffic Accident Claim System (TACS) dan Astuti Mobile Satlantas Polres Tulungagung, sebagai upaya untuk memangkas birokrasi dan mendekatkan layanan ke masyarakat.","Anggota Komisi III DPR Arteria Dahlan saat berkunjung ke Polres Tulungagung, mengatakan TACS adalah salah satu layanan yang layak mendapatkan apresiasi, sebab masyarakat akan terbantu dalam melakukan klaim asuransi Jasa Raharja saat mengalami kecelakaan lalu lintas.","""Terima kasih atas inovasi dari Polres Tulungagung yang sudah memangkas birokrasi dalam penanganan kecelakaan khususnya untuk klaim asuransi. Kami sangat Apresiasi untuk TACS dan ini menjadi bahan kami yang akan dilaporkan kepada Kapolri,"" kata Arteria, Rabu (18/3/2020).","TACS merupakan bentuk kerjasama kolaboratif antara Polres Tulungagung, Jasa Raharja, rumah sakit dan BPJS Kesehatan dalam penanganan klaim asuransi kecelakaan lalu lintas. Sistem kerjanya sederhana, melalui teknologi digital, saat korban kecelakaan lalu lintas dibawa ke UGD, maka petugas rumah sakit akan menginput data pada sistem aplikasi.","Dari situlah maka secara otomatis, sistem akan memberikan notifikasi ke Jasa Raharja. Selanjutnya Jasa Raharja akan melakukan pemeriksaan informasi serta keterangan kepolisian terkait korban kecelakaan tersebut.","Jika dinyatakan layak untuk mendapatkan klaim asuransi maka pembiayaan korban dinyatakan klir. Namun apabila dari pemeriksaan dinyatakan ditolak oleh Jasa Raharja, maka akan muncul notifikasi ke pihak rumah sakit dan secara otomatis sistem akan mengalihkan informasi klaim ke BPJS Kesehatan.","Tak hanya sistem TACS, Arteria juga memberikan apresiasi terhadap inovasi layanan Astuti Mobile. Sebab layanan keliling tersebut mampu memudahkan masyarakat untuk mendapatkan tiga layanan sekaligus, yakni perpanjangan SIM, SKCK serta layanan keimigrasian.","Layanan tersebut akan memudahkan masyarakat, apalagi di wilayah Tulungagung banyak masyarakat yang menjadi TKI, sehingga beberapa pengurusan dokumen keimigrasian bisa lebih dekat dan tidak perlu ke Kantor Imigrasi Blitar.","Mobil pelayanan terintegrasi itu biasanya mendatangi beberapa titik kumpul warga, seperti di GOR Lembu Peteng Tulungagung.","Sementara itu Kasat Lantas Polres Tulungagung AKP Aristianto Budi Sutrisno, mengatakan akan terus berupaya memberikan pelayanan terbaik kepada masyarakat melalui berbagai inovasi.","""Sejumlah inovasi itu adalah bentuk upaya kami dalam memudahkan masyarakat. Salah seperti TACS, itu akan memotong banyak birokrasi. Kemudian Astuti Mobile, masyarakat yang saat siang masih sibuk bisa mengurus keperluan SIM, SKCK dan imigrasi pada malam hari,"" kata Aris.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rabu, 18 Mar 2020 20:17 WIB",         Polisi Kota Kediri Selidiki 4 Akun Medsos Diduga Lakukan Kejahatan Siber    ,https://news.detik.com/berita-jawa-timur/d-4944759/polisi-kota-kediri-selidiki-4-akun-medsos-diduga-lakukan-kejahatan-siber?tag_from=news_beritaTerkait,Polisi Kota Kediri menyelidiki empat akun yang diduga melakukan kejahatan siber. Empat akun tersebut diduga memanfaatkan kepanikan warga akan wabah ,.,Pernyataan tersebut diutarakan Kapolres Kediri Kota AKBP Miko Indrayana kepada wartawan. Pihaknya menyelidiki akun yang menjual masker hingga menawarkan jasa penyemprotan disinfektan.,"""Saat ini Tim Siber Polres Kediri Kota sedang melakukan penyelidikan terhadap empat akun sosmed yang ditengarai melakukan kejahatan siber. Berupa memanfaatkan kepanikan dan ketakutan warga soal virus corona. Dengan menjual masker, hand sanitizer secara online. Serta mengaku menyediakan jasa semprotan disinfektan ke rumah. Namun pada akhirnya mereka semua ditipu ataupun barang berharga dalam rumahnya dicuri,"" Jelas Miko, Rabu (18/3/2020).","Tidak hanya patroli siber, polisi juga mengimbau warga agar lebih menjaga diri dan keluarga. Terutama terkait kegiatan masyarakat yang melibatkan banyak orang. Seperti kegiatan keagamaan, acara musik, unjuk rasa ataupun kegiatan lainnya.","""Polisi tidak melarang, namun kami mengimbau setidaknya kegiatan yang melibatkan banyak orang dibatasi atau bahkan ditiadakan. Semuanya demi menjaga keselamatan dan mencegah penyebaran virus. Jangan justru memanfaatkan kondisi yang sedang prihatin ini dengan melakukan aksi unjuk rasa dan demonstrasi, mari saling menjaga jangan sampai Kota Kediri terjangkit,"" imbuh Miko.","Miko juga berharap, warga tidak melakukan panic buying. Terutama soal masker dan hand sanitizer.",Ia menjamin dan meyakinkan masyarakat bahwa stok masker masih aman. Yang sewaktu-waktu dapat digunakan jika keadaan mendesak.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rabu, 18 Mar 2020 17:20 WIB","         Kediri Tutup Karaoke, Panti Pijat hingga Wisata Alam untuk Cegah Corona    ",https://news.detik.com/berita-jawa-timur/d-4944414/kediri-tutup-karaoke-panti-pijat-hingga-wisata-alam-untuk-cegah-corona?tag_from=news_beritaTerkait,Pemerintah Kota dan Kabupaten Kediri kompak menutup sementara hiburan malam hingga wisata alam. Semua itu dilakukan untuk mencegah penyebaran ,.,Keputusan tersebut tertuang dalam surat edaran Bupati dan Wali Kota Kediri tentang penutupan sementara usaha hiburan. Seperti yang diutarakan Wali Kota Kediri Abdullah Abu Bakar.,"""Untuk Kota Kediri kami menutup sementara karaoke, panti pijat, diskotek, tempat hiburan malam dan tempat wisata,"" ucap Abu, Rabu (18/3/2020).",Bahkan Abu juga melakukan sidak dan imbauan ke sejumlah hotel dan swalayan untuk sama-sama melakukan upaya pencegahan virus corona di Kota Kediri. Ia juga mengimbau masyarakat lebih mengutamakan beraktivitas dalam rumah.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rabu, 18 Mar 2020 14:14 WIB","         Cegah Corona, Kunjungan Pasien di Rumah Sakit Lamongan Dibatasi    ",https://news.detik.com/berita-jawa-timur/d-4944031/cegah-corona-kunjungan-pasien-di-rumah-sakit-lamongan-dibatasi?tag_from=news_beritaTerkait,Upaya pencegahan terhadap penyebaran,"terus dilakukan. Salah satunya seperti yang dilakukan oleh 2 rumah sakit di Lamongan, RSUD dr Soegiri dan RS Muhammadiyah Lamongan.","Direktur RSUD dr Soegiri Mohammad Chaidir Annas mengatakan sebagai upaya preventif pencegahan Covid-19, pihaknya melakukan pembatasan kunjungan pasien dengan memberlakukan larangan sementara membesuk pasien rawat inap. ","""Memperhatikan perkembangan kasus CoVid-19 di Indonesia sehingga menuntut seluruh pihak melakukan upaya kesiapsiagaan dan kewaspadaan terhadap pencegahan dan penyebaran Covid 19,"" kata Annaskepada wartawan, Selasa (18/3/2020).","Selain larangan untuk membesuk pasien rawat inap, lanjut Annas, RSUD dr Soegiri juga memberlakukan pembatasan jumlah penunggu pasien rawat inap, yaitu maksimal dua orang. Untuk rawat jalan, RSUD dr Soegiri memberlakukan aturan pengantar pasien rawat jalan hanya 1 orang saja serta anak-anak sehat dilarang masuk area rumah sakit.","""Kami juga hanya membuka pintu depan dan pintu VIP dan memberlakukan pemeriksaan suhu dan kondisi kesehatan kepada setiap pengunjung, serta mewajibkan penggunaan hand sanitizer yang kami disediakan,"" terangnya.","Annas menambahkan, kebijakan itu mulai diberlakukan sejak 17 maret hingga 30 Maret mendatang. ""Saat pemeriksaan suhu, bila didapati Iebih dari 38 derajat Celcius, maka akan diamankan atau dialihkan untuk diperiksa oleh dokter,"" tuturnya.","Hal yang sama juga diberlakukan di RS Muhammadiyah Lamongan. RSML melakukan pembatasan akses masuk umum dengan hanya membuka pintu 2 dan 4. Selain itu, RSML juga melakukan pembatasan pembesuk pasien dengan hanya membolehkan 2-3 orang perpasien.","Serta memberlakukan pemeriksaan suhu dan kondisi kesehatan kepada setiap pengunjung dan pembesuk sebelum masuk ke pintu RSML, bila didapati suhu lebih dari ",maka akan dialihkan untuk diperiksa oleh dokter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
