date,title,link,desc/0,desc/1,desc/2,desc/3,desc/4,desc/5,desc/6,desc/7,desc/8,desc/9,desc/10,desc/11,desc/12,desc/13,desc/14,desc/15,desc/16,desc/17,desc/18,desc/19,desc/20,desc/21,desc/22,desc/23,desc/24,desc/25,desc/26,desc/27,desc/28,desc/29,desc/30,desc/31,desc/32,desc/33,desc/34,desc/35,desc/36,desc/37,desc/38,desc/39,desc/40,desc/41,desc/42,desc/43,desc/44,desc/45,desc/46,desc/47,desc/48,desc/49,desc/50,desc/51,desc/52
"Selasa, 03 Mar 2020 22:40 WIB","IDI Cirebon Juga Bersiap Tangkal Corona, Ini Terobosannya",https://health.detik.com/berita-detikhealth/d-4924261/idi-cirebon-juga-bersiap-tangkal-corona-ini-terobosannya?tag_from=news_beritaTerkait,"Ikatan Dokter Indonesia (IDI) Kabupaten Cirebon bakal membentuk satuan tugas (Satgas) Covid-19 setelah adanya dua warga Depok, Jawa Barat, dinyatakan positif terinfeksi ",.,Pembentukan Satgas Covid-19 IDI Kabupaten Cirebon itu bertujuan untuk mencegah penyebaran virus corona.,"""Ini sesuai arahan dalam surat edaran PB IDI. IDI Kabupaten "," membentuk Satgas Covid-19, di dalamnya terdiri dari unsur dokter meliputi kepakaran covid-19,"" kata Ketua IDI Kabupaten Cirebon Ahmad Fariz saat dihubungi detikcom, Selasa (3/3/2020).","Lebih lanjut, Fariz mengatakan Satgas Covid-19 akan berkoordinasi dengan lintas sektoral dan pengembangan riset terkait pencegahan virus corona. ""Jelasnya ini upaya IDI menjadi bagian yang dibentuk pemda dalam hal ini Dinkes. Satgas IDI ini lebih menekankan pada optimalisasi dokter,"" ucap Fariz.","Fariz menambahkan Satgas Covid-19 akan dibentuk esok hari, paling lambatnya dua hari ke depan. Saat ini, lanjut Fariz, pihaknya tengah menyusun pembentukn satgas tersebut.","Fariz membeberkan fungsi dari Satgas Covid-19. Selain sebagai media koordinsi lintas sektoral, satgs bentukan IDI itu bakal mengedukasi para dokter, rumah sakit, klinik dan lainnya terkait penanganan virus corona. Termasuk edukasi kepada masyarakat.","""Kita juga akan menguatkan "," terpadu, sesuai arahan pemda. Pengembangan riset berbasis populasi melalui survei. Dan, penguatan informasi, agar ada keseragaman informasi dan arahan,"" kata Fariz.",Fariz juga mengimbau agar masyarakat tak perlu panik dengan fenomena penyebaran virus corona. Fariz meminta masyarakat untuk tetap siaga dan menjaga kesehatan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minggu, 01 Mar 2020 14:17 WIB",Viral Australia Masukkan Indonesia ke Daftar Negara Diwaspadai Corona,https://health.detik.com/berita-detikhealth/d-4920673/viral-australia-masukkan-indonesia-ke-daftar-negara-diwaspadai-corona,Departemen Kesehatan , memasukkan , ke dalam daftar negara yang diwaspadai , (,") bersamaan dengan China, Iran, Italia, dan Korea Selatan (Korsel). Artinya warga Australia yang baru saja kembali atau transit di negara dalam daftar tersebut harus mengisolasi diri, menjauhi keramaian, dan disarankan menjalani tes.",Di media sosial foto imbauan rumah sakit di Australia agar orang-orang yang kembali dari Indonesia segera mengisolasi diri jadi perbincangan. Beberapa netizen menganggapnya miris karena Indonesia sendiri sebetulnya belum melaporkan kasus virus corona.,"""Artinya bahkan Australia aja gak percaya ya sama pemerintah kita,"" komentar satu pengguna Twitter.","Dalam halaman resmi St Vincent's Hospital Sydney, Australia, disebutkan bahwa mereka yang kembali dari daftar negara diwaspadai jangan menjenguk orang sakit. Hal ini dilakukan untuk mencegah kontaminasi di rumah sakit yang tak disengaja.","""Jika dalam 14 hari terakhir Anda mengunjungi salah satu negara ini, bila Anda merasa tidak enak badan atau melakukan kontak dengan orang sakit, tolong jangan menjenguk pasien di rumah sakit,"" tulis St Vincent's Hospital Sydney.","""Kami berterima kasih atas bantuannya dalam mempromosikan kesehatan dan kesejahteraan komunitas,"" lanjutnya.",Berikut daftar lengkap negara yang diwaspadai Departemen Kesehatan Australia selain China:,1. Kamboja,2. Hong Kong,3. Indonesia,4. Iran,5. Italia,6. Jepang,7. Singapura,8. Korea Selatan,9. Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jumat, 28 Feb 2020 13:37 WIB",WHO Ingatkan Jangan Ada Negara yang 'Kepedean' Bisa Bebas Virus Corona,https://health.detik.com/berita-detikhealth/d-4918400/who-ingatkan-jangan-ada-negara-yang-kepedean-bisa-bebas-virus-corona,Direktur Jenderal Organisasi Kesehatan Dunia (,"), Tedros Adhanom Ghebreyesus, mengingatkan agar negara-negara harus bersiap menghadapi ", (,). Ia menyebut jangan ada negara yang terlalu percaya diri bisa bebas dari ancaman virus.,"""Jangan ada negara yang beranggapan tidak akan mendapatkan kasus. Ini bisa menjadi kesalahan yang fatal,"" kata Tedros dalam temu media seperti dikutip dari ",", Jumat (28/2/2020).","""Virus ini tidak menghormati batas antarnegara, tidak membedakan ras atau etnis, dan tidak memedulikan tingkat pendapatan atau perkembangan suatu negara,"" lanjutnya.","Tedros lebih jauh menyebut ledakan kasus di Iran, Italia, dan Korea Selatan menunjukkan kemampuan penyebaran virus. Negara-negara yang belum atau baru melaporkan kasus diimbau agar bergerak cepat dan agresif untuk mencegah hal serupa.","""Semua negara harus siap untuk kasus pertama, kluster penyebaran pertama, dan bukti pertama penyebaran di antara komunitas. Harus ada langkah untuk semua skenario tersebut,"" kata Tedros.",Indonesia sendiri hingga kini belum melaporkan kasus virus corona. Kementerian Kesehatan RI membantah tegas tuduhan miring pemerintah sengaja menyembunyikan kasus.,Sejauh ini dunia melaporkan sudah ada lebih dari 83 ribu kasus virus corona yang terkonfirmasi dan sekitar 2.800 di antaranya meninggal dunia. Menurut WHO jumlah kasus baru belakangan lebih banyak datang dari luar China.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minggu, 01 Mar 2020 11:03 WIB","Virus Corona di Korsel Tembus Angka 3 Ribu, KBRI Seoul Pastikan WNI Aman",https://health.detik.com/berita-detikhealth/d-4920515/virus-corona-di-korsel-tembus-angka-3-ribu-kbri-seoul-pastikan-wni-aman,Korea Selatan (,) jadi sorotan dunia karena ledakan angka kasus baru ,. Pada hari Sabtu (29/2) pemerintah setempat melaporkan ada 800 kasus baru membuat total kasus infeksi virus corona yang terkonfirmasi di angka 3.150.,"Terkait hal tersebut duta besar Indonesia untuk Korsel, Umar Hadi, menjelaskan hingga hari Minggu (1/3/2020) tidak ada warga negara Indonesia (",) yang terinfeksi. Kedutaan Besar Republik Indonesia (,) Seoul terus berusaha menjalin komunikasi dengan komunitas khususnya yang berada di kota Daegu.,"""KBRI juga terus berupaya menyampaikan bantuan masker, hand sanitizer, dan kebutuhan lainnya kepada warga kita yang memerlukan,"" kata Umar dalam rekaman video yang diterima ",", Minggu (1/3/2020).",Umar mengapresiasi beberapa komunitas seperti organisasi mesjid dan gereja Indonesia yang untuk sementara tidak melakukan aktivitas mengumpulkan jemaah. Hal ini dilakukan atas anjuran pemerintah Korsel untuk meminimalisir penyebaran virus.,"""Sehingga misalnya pada hari ini, Minggu, beberapa gereja Indonesia melakukan kebaktikan secara online,"" kata Umar.","""Terakhir saya berterima kasih sebesar-besarnya kepada berbagai pihak di Tanah Air yang menyampaikan rasa simpati, dukungan, dan bantuan konkrit seperti pengiriman masker kepada warga Indonesia di Korea Selatan. Kita semua tetap tenang dan terus waspada,"" pungkasnya.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Selasa, 04 Feb 2020 18:46 WIB","1 WNI Tertular Virus Corona, Kemenkes Koordinasi dengan KBRI Singapura",https://health.detik.com/berita-detikhealth/d-4885768/1-wni-tertular-virus-corona-kemenkes-koordinasi-dengan-kbri-singapura,Satu warga negara Indonesia (,) di Singapura positif terinfeksi , baru (2019-nCoV). Hal ini diumumkan oleh Kementerian Kesehatan , (MOH) ketika pada Selasa (4/2/2020) sore.,"Dilansir Channel News Asia, WNI tersebut tidak memiliki riwayat perjalanan ke China, namun diketahui bekerja sebagai pembantu rumah tangga untuk salah satu warga setempat yang juga terinfeksi virus. Sang warga diduga terinfeksi saat bekerja di toko kesehatan yang kerap didatangi rombongan turis China.","""Kementerian Kesehatan telah memulai pelacakan kontak untuk mengidentifikasi individu-individu yang melakukan kontak dekat dengan kasus-kasus ini, sehingga dalam memagari dan membatasi penyebaran lebih lanjut,"" tegas Menteri Kesehatan Singapura, Gan Kim Yong.","Terkait hal tersebut Sekretaris Ditjen Pencegahan dan Pengendalian Penyakit (Sesditjen P2P) Kementerian Kesehatan (Kemenkes RI), Achmad Yurianto, mengatakan pihaknya akan berkoordinasi dengan KBRI Singapura.","""Koordinasi dan pendampingan oleh KBRI Singapura,"" kata dr Yuri pada ",.,Hanya saja karena kejadian terjadi di Singapura maka penanganannya akan diserahkan ke pemerintah setempat.,"""Ini tanggung jawab Singapura karena kejadian di Singapura,"" ungkapnya.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamis, 06 Feb 2020 16:03 WIB","Di Tengah 'Kelangkaan' Stok, Kemenkes Kirimkan 100 Ribu Masker ke Natuna",https://health.detik.com/berita-detikhealth/d-4888525/di-tengah-kelangkaan-stok-kemenkes-kirimkan-100-ribu-masker-ke-natuna,Semenjak kabar ," dikabarkan menular antarmanusia, tak hanya di Jakarta, beberapa daerah pun melaporkan kehabisan stok ",". Salah satunya di daerah tempat karantina observasi kesehatan WNI dari Wuhan, China, yakni di ",.,"Di sosial media beredar kabar bahwa masyarakat Natuna kesulitan mendapatkan masker dan meskipun tersedia, harganya dipatok cukup tinggi. Berdasarkan informasi dari Dirjen Pencegahan dan Pengendalian Penyakit Kemenkes RI, dr Anung Sugihantono, saat ini pemerintah telah menyiapkan stok masker untuk dibagikan ke masyarakat Natuna.","""Saat ini oleh tim farmasi, masih tersedia masker dan 100 ribu masker dipastikan disiapkan untuk dikirimkan ke Natuna. 30 ribu sudah dikirimkan dan hari ini akan didistribusikan sisanya,"" katanya melalui sambungan telepon kepada wartawan di Jakarta, Kamis (6/2/2020).","Diterangkan bahwa masker yang berjumlah 70 ribu akan didistribusikan segera dan akan dibagikan 5000 lembar per hari. Tak hanya masker, pasokan obat-obatan juga dibantu dari kementerian lain.","""Menteri Pertahanan juga memberikan dukungan dengan obat-obatan,"" sebut Anung.","Selain memberikan masker, Kementerian Kesehatan juga membangun Posko Kesehatan di luar tempat karantina apabila masyarakat membutuhkan sosialisasi atau informasi mengenai hal-hal terkait virus corona ",.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Selasa, 04 Feb 2020 18:38 WIB",Kemenkes RI Pastikan Tak Evakuasi WNI Positif Virus Corona di Singapura,https://health.detik.com/berita-detikhealth/d-4885748/kemenkes-ri-pastikan-tak-evakuasi-wni-positif-virus-corona-di-singapura,Enam kasus baru untuk wabah ," dilaporkan di Singapura. Empat kasus di antaranya merupakan kasus penularan lokal, yang salah satu pasiennya adalah seorang pembantu rumah tangga (PRT) asal Indonesia.",Menanggapi hal ini Sekretaris Direktur Jenderal Pencegahan dan Pengendalian Penyakit (P2P) , Achmad Yurianto mengaku belum mendapat laporan terkait kasus tersebut.,"""Belum itu. Saya belum sempat buka informasi karena masih ngurus yang di sini (Natuna),"" jelasnya saat dihubungi detikcom Selasa (4/2/2020).","Meski begitu, ia memastikan tak akan mengevakuasi WNI yang dikabarkan positif novel coronavirus tersebut.","""Ya kalau di Singapura sakit, ya kenanya di Singapura lah,"" jelasnya.","Menurutnya, langkah ini sudah sesuai dengan aturan yang dibuat oleh WHO.","""Ya nggak boleh, jangankan yang dikonfirmasi positif. Yang belum dikonfirmasi positif saja 3 orang WNI dari Wuhan kan nggak diizinkan untuk ke Indonesia kan, yang sedang batuk sama panas itu,"" tegasnya.","""Regulasi dunia, protokolnya "," mengatakan orang sakit itu tidak boleh dikemana-manain, orang sakit itu harus diisolasi, kalau jelas sakit harus diisolasi, nggak boleh dipindahin kemana-mana yang harus dilakukan adalah isolasi,"" ", ,"""Protokolnya harus diisolasi, mau warga negara mana pun protokolnya harus diisolasi,"" jelasnya.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamis, 06 Feb 2020 08:13 WIB",Nah Lho! Sengaja Menimbun Masker N95 demi Dapat 'Cuan' Bisa Kena Pidana,https://health.detik.com/berita-detikhealth/d-4887798/nah-lho-sengaja-menimbun-masker-n95-demi-dapat-cuan-bisa-kena-pidana,"Apotek dan toko-tokok alat kesehatan belakangan ini kehabisan stok masker, terutama jenis ",". Kalaupun ada yang masih menjual, harganya naik gila-gilaan. Dari yang semula cuma Rp 20 ribu per pcs menjadi Rp 3 juta per 10 pcs.","Sebagian apotek dan toko-toko yang biasa menjual masker juga mengaku kehabisan stok. Ada banyak kemungkinan yang bisa memicu kelangkaan stok, salah satunya perilaku menimbun untuk mendapatkan 'cuan' ketika harga meroket karena tingginya permintaan.",Ketua Harian Yayasan Lembaga Konsumen Indonesia (,"), Tulus Abadi, mengingatkan adanya sanksi bagi pihak-pihak yang terbukti menimbun stok masker. Menurutnya, hal itu bisa dikenai pidana.","""Menimbun kemudian tujuannya untuk mengacaukan pasokan, harga, maka dia harus diproses secara hukum,"" tegas Tulus saat dihubungi detikcom, Kamis (6/2/2020).","""Misalnya "," atau toko obat yang besar itu kemudian menimbun masker, kemudian harganya mahal itu juga ada sanksi hukumnya,"" lanjutnya.","Nah lho, siapa yang ikut-ikutan menimbun stok masker demi mengejar 'cuan'?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamis, 06 Feb 2020 09:02 WIB","Harga Masker N95 Gila-gilaan, YLKI Minta Kemenkes dan BPOM Turun Tangan",https://health.detik.com/berita-detikhealth/d-4887828/harga-masker-n95-gila-gilaan-ylki-minta-kemenkes-dan-bpom-turun-tangan,Stok masker di beberapa apotek dan toko menipis. Bahkan kini tak jarang ditemukan ,yang dijual dengan harga tinggi mencapai jutaan. Bagaimana jika stok masker benar-benar habis?,Ketua Harian ," Tulus Abadi menjelaskan ketersediaan masker menjadi tanggung jawab pemerintah. Menurutnya, stok masker di setiap apotek perlu dikontrol.","""Kementerian Kesehatan dan ","harus turun tangan lebih serius, ini kan mungkin produk yang dianggap nggak lah, cuma masker saja kok,"" jelasnya saat dihubungi ", Kamis (6/2/2020),Ia mengatakan hal utama yang perlu diawasi adalah memastikan stok masker masih tersedia dijual dengan harga normal. Demi menghindari stok masker yang dimanfaatkan oleh oknum tidak bertanggung jawab.,"""Yang penting pemerintah harus mengontrol bahwa pasokan di dalam negeri ada, dengan harga yang wajar,"" tambahnya.","Menurut Tulus, perlu juga untuk membatasi stok masker yang diberikan untuk apotek-apotek. Agar tak ada orang yang sengaja membeli banyak masker untuk kemudian diperjualbelikan kembali.","""Dan juga kemarin saya lihat di "," itu ada orang yang memborong sampai 7000 dus, nah itu juga perlu diatur saya kira ya, industri farmasi atau apotek-apotek harus ada menjual maksimal berapa,""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamis, 20 Feb 2020 07:33 WIB",Simon Cowell Mengaku Sangat Takut Tertular COVID-19,https://health.detik.com/berita-detikhealth/d-4906450/simon-cowell-mengaku-sangat-takut-tertular-covid-19,"Wabah virus corona (COVID-19) yang kian tak terkendali penyebarannya ini semakin membuat banyak orang khawatir, termasuk ",". Bos X Factor itu mengaku ketakutan akan virus ini, lantaran COVID-19 telah menginfeksi sekitar 75.166 orang dan 2.009 di antaranya meninggal dunia.","""Aku sangat takut tentang itu, bahkan saya selalu menggunakan masker, termasuk ketika bersepeda keliling kota saya tetap pakai masker,"" kata Simon seperti yang dikutip dari Metro.","Meski sedang berada di tengah wabah, Simon pun tetap berencana untuk berlibur ke Disneyland Paris bersama Eric anaknya pada pekan depan. Tentu untuk antisipasi penularan "," yang bisa terjadi di mana saja, Simon sudah mempersiapkan membawa masker dan sanitizer.","""Aku akan membawa Eric ke Disneyland Paris akhir pekan depan dan sudah pasti 100 persen kita akan pakai "," saat di kereta,"" ucap Simon.","""Bahkan kami punya banyak sanitizer, karena itu membuatku takut"" tuturnya.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
